time (ms),latency (ms),consume (ms)
0,10,0
37,34,37
40,26,3
40,15,0
41,5,1
49,2,8
59,2,10
69,2,10
79,2,10
90,3,11
99,2,9
111,4,12
120,2,9
132,3,12
143,3,11
153,2,10
163,2,10
173,2,10
184,3,11
193,2,9
205,4,12
213,2,8
225,4,12
233,2,8
244,3,11
255,2,11
267,3,12
280,5,13
288,2,8
298,2,10
308,2,10
318,2,10
328,2,10
338,2,10
348,2,10
358,2,10
368,2,10
379,3,11
389,2,10
400,3,11
410,3,10
421,3,11
432,3,11
443,3,11
454,3,11
465,2,11
474,1,9
486,2,12
497,2,11
507,2,10
517,2,10
527,2,10
537,2,10
550,5,13
560,2,10
570,2,10
581,2,11
591,2,10
603,3,12
613,3,10
625,3,12
638,6,13
648,5,10
656,3,8
666,2,10
678,3,12
688,2,10
698,2,10
708,2,10
719,2,11
729,2,10
740,2,11
750,2,10
761,2,11
773,4,12
781,2,8
793,3,12
804,2,11
815,2,11
826,2,11
837,2,11
851,4,14
861,3,10
871,2,10
881,2,10
891,2,10
902,2,11
913,2,11
924,2,11
938,5,14
948,2,10
959,2,11
969,2,10
981,2,12
992,2,11
1002,2,10
1012,2,10
1023,2,11
1033,2,10
1043,2,10
1053,2,10
1063,2,10
1075,2,12
1085,2,10
1096,1,11
1107,2,11
1117,2,10
1127,2,10
1137,2,10
1147,2,10
1157,2,10
1167,2,10
1177,2,10
1187,2,10
1197,2,10
1207,2,10
1217,2,10
1228,2,11
1238,1,10
1249,2,11
1260,2,11
1271,2,11
1281,2,10
1291,2,10
1306,7,15
1317,4,11
1325,2,8
1337,4,12
1348,2,11
1365,9,17
1376,4,11
1391,7,15
1412,14,21
1413,4,1
1421,2,8
1431,2,10
1441,2,10
1451,2,10
1461,2,10
1471,2,10
1481,2,10
1491,1,10
1502,2,11
1513,2,11
1524,2,11
1534,2,10
1544,2,10
1553,1,9
1564,2,11
1573,1,9
1584,2,11
1594,2,10
1603,1,9
1614,2,11
1625,2,11
1634,1,9
1645,2,11
1656,2,11
1665,1,9
1676,1,11
1687,2,11
1697,2,10
1706,1,9
1717,2,11
1728,2,11
1738,2,10
1748,1,10
1759,2,11
1770,2,11
1780,2,10
1791,2,11
1801,1,10
1812,2,11
1822,1,10
1833,1,11
1844,2,11
1854,1,10
1865,2,11
1875,1,10
1886,2,11
1895,1,9
1906,2,11
1917,2,11
1928,3,11
1939,2,11
1949,2,10
1959,1,10
1970,2,11
1981,2,11
1990,1,9
2001,1,11
2012,2,11
2022,2,10
2033,3,11
2043,1,10
2054,2,11
2065,2,11
2074,1,9
2085,1,11
2096,2,11
2107,2,11
2116,1,9
2127,2,11
2138,2,11
2148,1,10
2159,2,11
2169,1,10
2180,2,11
2189,1,9
2200,2,11
2209,1,9
2220,2,11
2230,1,10
2241,2,11
2251,1,10
2262,2,11
2273,2,11
2305,24,32
2305,13,0
2305,3,0
2314,1,9
2325,2,11
2336,2,11
2346,1,10
2357,2,11
2367,1,10
2378,2,11
2387,1,9
2398,2,11
2407,1,9
2418,2,11
2428,1,10
2439,2,11
2449,1,10
2460,1,11
2471,2,11
2480,1,9
2491,2,11
2501,1,10
2512,2,11
2522,1,10
2534,2,12
2545,3,11
2555,2,10
2566,2,11
2577,3,11
2587,2,10
2596,1,9
2607,2,11
2618,2,11
2628,1,10
2639,2,11
2648,1,9
2659,2,11
2668,1,9
2679,2,11
2690,2,11
2700,1,10
2711,2,11
2721,1,10
2732,2,11
2741,1,9
2752,2,11
2762,1,10
2773,2,11
2783,1,10
2794,1,11
2831,28,37
2832,18,1
2832,8,0
2872,38,40
2872,28,0
2872,17,0
2873,8,1
2912,36,39
2912,26,0
2912,15,0
2913,6,1
2952,34,39
2952,24,0
2952,14,0
2953,5,1
2992,34,39
2992,24,0
2992,14,0
2992,4,0
3032,33,40
3032,23,0
3032,13,0
3034,5,2
3044,1,10
3084,30,40
3084,20,0
3084,10,0
3124,39,40
3124,29,0
3124,18,0
3125,9,1
3164,37,39
3164,27,0
3165,18,1
3165,8,0
3206,39,41
3206,29,0
3207,19,1
3207,8,0
3244,35,37
3245,25,1
3245,15,0
3245,4,0
3284,33,39
3284,22,0
3285,13,1
3287,3,2
3297,2,10
3336,29,39
3337,20,1
3337,9,0
3376,38,39
3376,27,0
3377,18,1
3377,7,0
3416,36,39
3417,26,1
3417,16,0
3417,5,0
3456,34,39
3457,24,1
3457,13,0
3459,3,2
3471,2,12
3508,29,37
3509,20,1
3509,9,0
3548,38,39
3549,28,1
3549,18,0
3549,8,0
3589,38,40
3589,28,0
3589,18,0
3590,8,1
3629,37,39
3629,27,0
3629,17,0
3629,7,0
3669,37,40
3669,27,0
3669,17,0
3670,8,1
3711,39,41
3712,29,1
3712,19,0
3712,8,0
3748,33,36
3749,23,1
3749,13,0
3751,2,2
3760,1,9
3800,31,40
3800,21,0
3801,11,1
3840,39,39
3841,29,1
3841,19,0
3841,8,0
3880,37,39
3881,27,1
3881,17,0
3881,6,0
3920,35,39
3920,24,0
3921,15,1
3921,4,0
3960,33,39
3961,23,1
3961,13,0
3964,4,3
3974,1,10
4012,29,38
4012,19,0
4012,8,0
4052,38,40
4053,28,1
4053,18,0
4054,9,1
4092,37,38
4092,24,0
4093,13,1
4095,2,2
4105,2,10
4144,29,39
4144,19,0
4191,54,47
4192,27,1
4192,16,0
4224,36,32
4225,27,1
4226,17,1
4226,7,0
4264,35,38
4265,25,1
4265,15,0
4265,4,0
4304,33,39
4306,24,2
4307,15,1
4308,4,1
4317,2,9
4356,30,39
4356,20,0
4357,10,1
4398,41,41
4398,31,0
4398,21,0
4398,11,0
4436,39,38
4437,29,1
4437,19,0
4437,8,0
4476,37,39
4476,27,0
4477,17,1
4477,7,0
4516,35,39
4516,25,0
4516,14,0
4517,5,1
4557,34,40
4557,24,0
4557,14,0
4558,5,1
4598,32,40
4599,23,1
4599,13,0
4599,3,0
4608,2,9
4648,32,40
4648,22,0
4648,11,0
4689,40,41
4689,30,0
4689,19,0
4689,9,0
4728,37,39
4728,27,0
4729,18,1
4729,8,0
4768,37,39
4769,28,1
4769,17,0
4769,7,0
4808,35,39
4809,26,1
4809,15,0
4809,5,0
4848,33,39
4848,23,0
4849,13,1
4851,3,2
