time (ms),latency (ms),consume (ms)
0,11,0
6,3,6
16,2,10
27,3,11
37,2,10
48,2,11
58,1,10
69,2,11
80,2,11
92,2,12
102,2,10
112,1,10
123,2,11
133,1,10
144,1,11
155,2,11
165,1,10
177,2,12
188,2,11
200,2,12
210,1,10
221,1,11
232,1,11
243,1,11
255,2,12
266,2,11
277,2,11
288,2,11
299,2,11
310,1,11
321,1,11
333,2,12
343,2,10
354,1,11
365,1,11
377,2,12
387,1,10
397,0,10
408,1,11
420,2,12
430,1,10
441,1,11
451,1,10
462,1,11
473,2,11
486,4,13
495,2,9
505,1,10
515,1,10
525,1,10
536,1,11
546,1,10
557,1,11
568,1,11
579,1,11
589,1,10
599,0,10
610,1,11
621,2,11
632,2,11
642,1,10
653,2,11
664,2,11
674,2,10
684,1,10
695,2,11
705,1,10
715,1,10
726,2,11
736,1,10
746,1,10
757,1,11
767,1,10
779,2,12
789,1,10
799,1,10
809,0,10
820,1,11
831,1,11
842,1,11
853,1,11
864,1,11
875,2,11
886,2,11
897,2,11
908,1,11
918,1,10
929,1,11
940,2,11
951,1,11
962,2,11
972,1,10
983,1,11
994,1,11
1005,2,11
1016,2,11
1026,1,10
1037,1,11
1048,2,11
1059,2,11
1070,2,11
1081,2,11
1092,2,11
1102,2,10
1113,1,11
1125,2,12
1137,2,12
1147,2,10
1158,2,11
1168,2,10
1179,2,11
1190,2,11
1200,2,10
1211,2,11
1221,1,10
1231,1,10
1242,2,11
1252,1,10
1263,2,11
1274,2,11
1284,1,10
1294,1,10
1305,1,11
1317,3,12
1327,2,10
1338,1,11
1349,2,11
1360,2,11
1371,2,11
1381,1,10
1392,2,11
1404,2,12
1414,1,10
1425,2,11
1435,1,10
1446,2,11
1456,1,10
1467,2,11
1477,1,10
1488,2,11
1498,1,10
1508,1,10
1519,1,11
1530,2,11
1541,1,11
1552,2,11
1563,2,11
1574,2,11
1584,1,10
1595,2,11
1605,1,10
1616,1,11
1627,2,11
1637,1,10
1648,2,11
1659,2,11
1672,4,13
1680,2,8
1691,2,11
1701,1,10
1712,2,11
1723,2,11
1733,1,10
1743,1,10
1754,1,11
1765,2,11
1776,2,11
1787,2,11
1797,1,10
1808,2,11
1820,3,12
1832,3,12
1843,3,11
1853,2,10
1863,1,10
1874,1,11
1886,3,12
1895,1,9
1906,2,11
1916,1,10
1927,2,11
1937,1,10
1948,2,11
1958,1,10
1969,2,11
1979,1,10
1991,3,12
2001,1,10
2012,2,11
2022,1,10
2033,1,11
2044,2,11
2054,1,10
2065,1,11
2076,2,11
2086,1,10
2097,1,11
2107,1,10
2118,1,11
2128,1,10
2139,1,11
2150,2,11
2160,1,10
2171,1,11
2181,1,10
2192,1,11
2203,2,11
2213,1,10
2224,2,11
2234,1,10
2245,1,11
2255,1,10
2266,1,11
2277,2,11
2287,1,10
2298,1,11
2309,2,11
2331,13,22
2331,2,0
2340,1,9
2351,1,11
2361,1,10
2372,1,11
2383,2,11
2393,1,10
2404,2,11
2414,1,10
2425,1,11
2435,1,10
2446,1,11
2457,1,11
2467,1,10
2478,2,11
2488,1,10
2499,2,11
2509,1,10
2521,3,12
2532,1,11
2543,2,11
2553,1,10
2563,1,10
2575,2,12
2585,2,10
2595,1,10
2606,2,11
2616,1,10
2627,2,11
2637,1,10
2648,2,11
2658,1,10
