time (ms),latency (ms),consume (ms)
0,1,0
4,1,4
6,0,2
9,0,3
10,0,1
12,0,2
13,0,1
15,1,2
17,0,2
18,0,1
20,0,2
21,0,1
22,0,1
25,0,3
26,0,1
29,0,3
30,0,1
33,0,3
35,1,2
37,0,2
38,0,1
40,0,2
41,0,1
42,0,1
45,0,3
46,0,1
48,1,2
50,0,2
51,0,1
53,1,2
55,0,2
56,0,1
59,0,3
60,0,1
62,0,2
63,0,1
65,1,2
67,0,2
68,0,1
70,0,2
71,0,1
72,0,1
75,0,3
77,1,2
79,0,2
82,0,3
83,0,1
85,1,2
87,0,2
88,0,1
90,0,2
91,0,1
92,0,1
95,0,3
96,0,1
98,0,2
99,0,1
101,1,2
103,0,2
104,0,1
106,0,2
108,1,2
110,0,2
111,0,1
114,0,3
116,1,2
118,0,2
119,0,1
121,0,2
122,0,1
123,0,1
126,0,3
127,0,1
129,1,2
131,0,2
132,0,1
134,0,2
135,0,1
136,0,1
139,0,3
141,0,2
142,0,1
144,1,2
146,0,2
148,1,2
150,0,2
152,1,2
154,0,2
156,1,2
158,0,2
159,0,1
161,0,2
162,0,1
163,0,1
165,0,2
166,0,1
167,0,1
170,0,3
172,0,2
173,0,1
174,0,1
177,0,3
178,0,1
180,0,2
181,0,1
182,0,1
184,0,2
185,0,1
186,0,1
189,0,3
190,0,1
192,0,2
193,0,1
195,1,2
197,0,2
198,0,1
200,0,2
201,0,1
203,1,2
205,0,2
206,0,1
208,0,2
209,0,1
211,1,2
213,0,2
214,0,1
217,0,3
218,0,1
221,0,3
222,0,1
226,0,4
234,1,8
237,1,3
239,0,2
241,1,2
243,0,2
244,0,1
246,0,2
247,0,1
249,1,2
251,0,2
252,0,1
254,0,2
255,0,1
256,0,1
259,0,3
260,0,1
263,1,3
266,0,3
269,0,3
273,1,4
276,1,3
279,1,3
282,1,3
286,0,4
288,0,2
290,1,2
293,1,3
295,0,2
297,0,2
298,0,1
299,0,1
302,0,3
303,0,1
305,1,2
307,0,2
308,0,1
311,0,3
312,0,1
314,1,2
316,0,2
317,0,1
320,0,3
321,0,1
323,1,2
325,0,2
326,0,1
328,0,2
329,0,1
330,0,1
332,0,2
333,0,1
334,0,1
336,0,2
337,0,1
338,0,1
341,0,3
342,0,1
344,1,2
346,0,2
347,0,1
349,1,2
351,0,2
353,1,2
355,0,2
357,1,2
360,1,3
363,1,3
365,0,2
366,0,1
368,0,2
369,0,1
371,1,2
373,0,2
374,0,1
376,0,2
377,0,1
378,0,1
381,0,3
382,0,1
384,1,2
386,0,2
387,0,1
389,1,2
391,0,2
392,0,1
394,0,2
395,0,1
396,0,1
399,0,3
400,0,1
402,1,2
404,0,2
405,0,1
407,0,2
408,0,1
409,0,1
412,0,3
413,0,1
415,1,2
417,0,2
418,0,1
421,0,3
422,0,1
424,0,2
425,0,1
426,0,1
429,0,3
430,0,1
433,0,3
434,0,1
436,0,2
437,0,1
438,0,1
441,0,3
442,0,1
444,1,2
446,0,2
448,1,2
450,0,2
451,0,1
454,0,3
455,0,1
458,0,3
459,0,1
462,0,3
463,0,1
465,0,2
466,0,1
467,0,1
470,0,3
471,0,1
473,1,2
475,0,2
477,1,2
479,0,2
480,0,1
482,0,2
483,0,1
484,0,1
487,0,3
488,0,1
490,1,2
492,0,2
493,0,1
496,0,3
497,0,1
499,0,2
500,0,1
501,0,1
504,0,3
505,0,1
507,1,2
509,0,2
510,0,1
513,0,3
514,0,1
516,0,2
517,0,1
518,0,1
521,0,3
522,0,1
523,0,1
526,0,3
527,0,1
529,1,2
531,0,2
532,0,1
534,0,2
535,0,1
536,0,1
539,0,3
540,0,1
542,1,2
544,0,2
545,0,1
547,0,2
548,0,1
549,0,1
552,0,3
553,0,1
555,1,2
557,0,2
558,0,1
561,0,3
562,0,1
564,0,2
565,0,1
566,0,1
569,0,3
570,0,1
572,1,2
574,0,2
575,0,1
577,1,2
579,0,2
580,0,1
583,0,3
584,0,1
586,1,2
588,0,2
589,0,1
592,0,3
593,0,1
595,0,2
596,0,1
597,0,1
600,0,3
601,0,1
602,0,1
605,0,3
606,0,1
608,1,2
610,0,2
611,0,1
613,1,2
615,0,2
616,0,1
619,0,3
620,0,1
622,1,2
624,0,2
625,0,1
627,0,2
628,0,1
629,0,1
631,0,2
632,0,1
633,0,1
635,0,2
636,0,1
637,0,1
639,0,2
640,0,1
641,0,1
644,0,3
645,0,1
647,0,2
648,0,1
650,1,2
