time (ms),latency (ms),consume (ms)
0,12,0
5,11,5
8,12,3
11,13,3
14,14,3
16,14,2
17,13,1
19,14,2
21,14,2
22,13,1
24,13,2
26,13,2
27,13,1
29,13,2
31,14,2
32,13,1
34,13,2
36,14,2
38,14,2
40,15,2
42,15,2
44,15,2
46,16,2
47,15,1
49,15,2
51,16,2
53,16,2
55,16,2
57,17,2
59,17,2
61,18,2
64,19,3
66,19,2
68,19,2
69,17,1
71,18,2
73,18,2
75,19,2
76,17,1
78,16,2
79,16,1
81,14,2
82,13,1
84,13,2
85,13,1
88,14,3
90,13,2
91,13,1
93,10,2
95,9,2
96,9,1
98,9,2
100,9,2
101,8,1
103,8,2
104,8,1
106,8,2
108,7,2
110,7,2
112,8,2
114,8,2
115,7,1
118,9,3
120,9,2
122,10,2
126,12,4
128,12,2
130,13,2
132,13,2
133,13,1
135,13,2
137,12,2
139,12,2
140,12,1
142,12,2
144,11,2
146,12,2
147,11,1
149,11,2
151,12,2
152,11,1
154,12,2
156,12,2
158,13,2
160,13,2
162,13,2
164,14,2
165,12,1
167,12,2
168,12,1
169,11,1
171,11,2
173,12,2
174,11,1
175,11,1
177,11,2
179,11,2
180,11,1
181,10,1
183,10,2
184,9,1
186,10,2
188,10,2
189,10,1
190,9,1
191,9,1
193,9,2
195,10,2
196,9,1
198,9,2
199,9,1
201,9,2
202,9,1
204,9,2
206,10,2
207,9,1
209,10,2
211,10,2
212,10,1
214,10,2
215,10,1
216,9,1
218,9,2
220,9,2
222,10,2
223,9,1
225,9,2
226,8,1
228,9,2
229,8,1
231,9,2
232,8,1
234,8,2
235,8,1
237,8,2
239,8,2
240,8,1
242,8,2
243,8,1
245,8,2
247,9,2
248,8,1
249,8,1
251,8,2
252,7,1
254,8,2
256,8,2
257,8,1
259,8,2
261,9,2
262,8,1
264,9,2
266,9,2
268,9,2
269,9,1
271,9,2
272,9,1
274,9,2
275,9,1
277,9,2
278,9,1
280,9,2
281,9,1
283,9,2
284,9,1
286,9,2
287,9,1
288,8,1
291,10,3
293,10,2
295,11,2
296,10,1
298,11,2
300,12,2
301,11,1
302,10,1
304,11,2
306,11,2
307,11,1
309,11,2
311,12,2
314,13,3
315,12,1
317,12,2
319,12,2
320,11,1
322,12,2
324,12,2
325,11,1
327,11,2
329,11,2
330,10,1
332,11,2
333,10,1
335,10,2
337,10,2
338,9,1
340,10,2
341,9,1
344,10,3
345,9,1
347,10,2
348,9,1
350,10,2
351,9,1
352,9,1
354,9,2
356,10,2
357,9,1
359,10,2
360,10,1
361,9,1
363,10,2
365,10,2
367,11,2
370,12,3
371,12,1
386,26,15
388,26,2
390,26,2
391,26,1
394,27,3
395,27,1
396,26,1
397,25,1
399,26,2
403,28,4
407,31,4
410,32,3
412,32,2
414,33,2
415,32,1
417,33,2
418,32,1
420,33,2
421,33,1
423,33,2
424,33,1
426,33,2
427,32,1
429,33,2
430,33,1
431,32,1
432,32,1
434,32,2
436,32,2
437,32,1
438,29,1
440,29,2
441,29,1
442,27,1
444,27,2
445,27,1
447,27,2
448,27,1
450,27,2
452,26,2
453,25,1
454,25,1
455,24,1
457,25,2
458,24,1
459,24,1
460,24,1
462,24,2
463,23,1
464,23,1
465,23,1
467,23,2
468,23,1
469,22,1
470,22,1
471,22,1
473,22,2
474,22,1
475,21,1
476,21,1
477,20,1
479,21,2
480,20,1
481,20,1
483,21,2
484,20,1
485,20,1
487,20,2
488,20,1
489,19,1
491,20,2
492,19,1
493,19,1
495,20,2
496,19,1
497,19,1
499,19,2
501,20,2
503,20,2
504,20,1
506,21,2
508,21,2
509,21,1
511,21,2
512,21,1
514,22,2
516,22,2
518,23,2
519,22,1
521,23,2
523,23,2
524,23,1
526,23,2
527,23,1
529,23,2
530,23,1
532,24,2
533,23,1
535,24,2
536,23,1
538,24,2
539,23,1
542,24,3
544,25,2
546,25,2
547,24,1
549,25,2
550,24,1
555,28,5
556,27,1
558,28,2
559,28,1
561,28,2
562,28,1
564,28,2
565,28,1
567,28,2
568,28,1
570,29,2
571,28,1
573,28,2
574,28,1
576,28,2
577,28,1
579,29,2
581,29,2
582,28,1
583,27,1
585,27,2
586,27,1
588,28,2
589,27,1
590,25,1
592,25,2
593,25,1
595,26,2
597,26,2
598,24,1
600,25,2
601,24,1
603,25,2
604,24,1
606,24,2
607,24,1
608,24,1
610,24,2
611,24,1
612,23,1
614,24,2
615,24,1
617,24,2
618,24,1
619,24,1
620,23,1
622,24,2
624,24,2
625,24,1
627,22,2
628,21,1
629,21,1
630,21,1
632,21,2
633,21,1
635,21,2
636,21,1
638,21,2
639,21,1
640,21,1
642,21,2
643,21,1
645,21,2
646,21,1
647,20,1
649,20,2
650,19,1
651,16,1
653,16,2
654,15,1
655,15,1
657,15,2
658,15,1
659,15,1
661,15,2
662,15,1
663,15,1
665,15,2
666,15,1
667,13,1
669,13,2
670,12,1
671,11,1
673,11,2
674,10,1
675,9,1
677,10,2
678,10,1
679,9,1
681,10,2
682,9,1
683,9,1
685,10,2
686,10,1
687,9,1
688,9,1
690,10,2
691,9,1
693,10,2
694,9,1
696,10,2
697,10,1
698,10,1
700,10,2
701,10,1
703,9,2
704,8,1
706,9,2
707,9,1
709,9,2
710,9,1
712,9,2
713,9,1
714,8,1
716,9,2
718,10,2
719,9,1
721,10,2
722,9,1
723,9,1
725,9,2
726,9,1
727,9,1
728,8,1
730,9,2
731,8,1
732,8,1
734,9,2
735,9,1
737,9,2
738,9,1
739,9,1
741,9,2
742,9,1
743,8,1
745,9,2
746,9,1
747,8,1
749,9,2
751,10,2
752,9,1
754,10,2
755,10,1
757,10,2
758,10,1
760,11,2
761,10,1
763,11,2
764,11,1
766,11,2
767,10,1
768,10,1
769,9,1
770,9,1
772,9,2
773,9,1
775,10,2
776,9,1
777,9,1
779,10,2
781,9,2
782,9,1
784,10,2
785,9,1
787,10,2
788,8,1
