time (ms),latency (ms),consume (ms)
0,12,0
4,11,4
4,10,0
5,9,1
5,6,0
5,4,0
6,3,1
11,4,5
11,2,0
12,1,1
14,1,2
16,2,2
17,1,1
20,2,3
22,2,2
24,2,2
25,2,1
27,2,2
29,2,2
31,2,2
32,2,1
33,1,1
36,3,3
36,1,0
38,2,2
40,2,2
42,2,2
42,1,0
44,2,2
46,2,2
47,1,1
48,1,1
50,1,2
52,2,2
53,1,1
55,1,2
57,1,2
58,1,1
60,1,2
62,1,2
64,2,2
66,2,2
67,1,1
69,1,2
71,2,2
73,2,2
75,2,2
76,2,1
78,2,2
79,1,1
81,2,2
83,2,2
84,1,1
86,1,2
88,2,2
89,1,1
91,2,2
92,1,1
94,1,2
96,2,2
97,1,1
99,1,2
101,2,2
102,1,1
104,1,2
106,2,2
107,1,1
109,2,2
110,1,1
112,2,2
114,2,2
115,1,1
117,2,2
118,1,1
119,1,1
122,2,3
125,4,3
125,2,0
126,2,1
128,2,2
131,3,3
131,2,0
132,1,1
135,2,3
137,2,2
138,2,1
140,2,2
143,4,3
143,2,0
145,2,2
146,2,1
147,1,1
149,2,2
150,1,1
152,2,2
154,2,2
155,2,1
156,1,1
158,2,2
159,1,1
160,1,1
162,1,2
164,2,2
165,2,1
167,2,2
168,1,1
169,1,1
171,2,2
172,1,1
174,2,2
175,1,1
176,1,1
178,1,2
180,1,2
181,1,1
183,1,2
185,2,2
186,1,1
188,1,2
190,2,2
191,1,1
193,2,2
194,1,1
196,1,2
198,2,2
199,1,1
201,1,2
203,1,2
206,2,3
209,4,3
209,2,0
210,2,1
211,1,1
213,2,2
214,1,1
216,1,2
218,2,2
219,1,1
221,2,2
222,1,1
224,2,2
225,1,1
227,2,2
228,1,1
230,2,2
231,1,1
233,1,2
234,1,1
236,1,2
237,1,1
239,1,2
240,1,1
242,1,2
243,1,1
245,2,2
246,1,1
248,2,2
249,1,1
251,2,2
252,1,1
253,1,1
255,1,2
256,1,1
258,2,2
259,1,1
260,1,1
262,1,2
263,1,1
265,2,2
266,1,1
268,2,2
269,1,1
271,2,2
272,1,1
273,1,1
275,1,2
276,1,1
278,1,2
279,1,1
281,1,2
282,1,1
284,2,2
285,1,1
287,2,2
288,1,1
289,1,1
291,1,2
292,1,1
294,2,2
295,1,1
296,1,1
299,2,3
303,5,4
303,1,0
305,1,2
306,1,1
308,1,2
309,1,1
311,1,2
312,1,1
314,1,2
315,1,1
317,1,2
318,1,1
320,1,2
321,1,1
323,1,2
324,1,1
326,1,2
327,1,1
329,1,2
330,1,1
332,1,2
333,1,1
335,1,2
336,1,1
337,1,1
351,13,14
351,12,0
351,10,0
352,9,1
352,8,0
352,7,0
352,5,0
352,4,0
353,3,1
354,3,1
355,1,1
356,1,1
358,1,2
359,1,1
361,1,2
362,1,1
364,1,2
365,1,1
367,1,2
369,2,2
370,1,1
372,1,2
373,1,1
375,1,2
376,1,1
378,1,2
380,2,2
381,1,1
383,1,2
385,2,2
386,1,1
388,2,2
389,1,1
391,1,2
393,2,2
395,2,2
396,1,1
398,1,2
401,2,3
402,1,1
404,2,2
405,1,1
407,1,2
409,2,2
410,1,1
412,1,2
414,2,2
415,1,1
416,1,1
421,4,5
421,3,0
421,1,0
422,0,1
424,1,2
425,1,1
427,1,2
428,1,1
430,2,2
431,1,1
432,1,1
434,1,2
435,1,1
437,1,2
438,1,1
439,1,1
441,1,2
443,2,2
444,1,1
445,1,1
447,1,2
448,1,1
449,1,1
451,1,2
452,1,1
453,1,1
455,1,2
456,1,1
457,1,1
459,1,2
460,1,1
462,2,2
465,1,3
467,2,2
468,1,1
469,1,1
471,1,2
472,1,1
473,1,1
475,1,2
476,1,1
478,1,2
479,1,1
481,2,2
482,1,1
483,1,1
485,1,2
486,1,1
488,1,2
489,1,1
491,2,2
492,1,1
493,1,1
495,1,2
497,1,2
498,1,1
500,2,2
501,1,1
502,1,1
504,1,2
505,1,1
507,2,2
508,1,1
509,1,1
510,0,1
512,1,2
513,1,1
515,1,2
516,1,1
518,2,2
519,1,1
520,1,1
522,1,2
523,1,1
524,1,1
526,1,2
527,1,1
528,1,1
530,1,2
531,1,1
533,2,2
534,1,1
535,1,1
537,1,2
538,1,1
539,1,1
541,1,2
542,1,1
543,1,1
545,1,2
546,1,1
548,1,2
549,1,1
550,1,1
552,1,2
553,1,1
554,1,1
556,1,2
557,1,1
559,1,2
560,1,1
561,1,1
563,1,2
564,1,1
566,2,2
568,2,2
569,1,1
570,1,1
572,1,2
573,1,1
574,1,1
576,1,2
577,1,1
579,1,2
581,1,2
583,1,2
584,1,1
586,1,2
588,2,2
589,1,1
591,1,2
593,2,2
594,1,1
595,1,1
597,2,2
598,1,1
599,1,1
600,1,1
602,1,2
603,1,1
604,1,1
606,1,2
607,1,1
608,1,1
610,1,2
611,1,1
612,1,1
614,1,2
615,1,1
617,2,2
617,1,0
619,1,2
620,1,1
622,2,2
623,1,1
624,1,1
626,2,2
627,1,1
628,1,1
629,1,1
631,1,2
632,1,1
633,1,1
635,2,2
636,1,1
637,1,1
638,1,1
640,1,2
641,1,1
643,2,2
644,1,1
645,1,1
647,2,2
648,1,1
649,1,1
650,1,1
652,1,2
653,1,1
654,1,1
656,1,2
657,1,1
658,1,1
660,1,2
661,1,1
662,1,1
664,1,2
665,1,1
666,1,1
668,1,2
669,1,1
670,1,1
672,1,2
673,1,1
674,1,1
676,1,2
677,1,1
678,1,1
680,1,2
681,1,1
682,1,1
684,1,2
685,1,1
686,1,1
688,1,2
689,1,1
690,1,1
692,1,2
693,1,1
694,1,1
696,1,2
697,1,1
698,1,1
700,1,2
701,1,1
703,2,2
704,1,1
706,1,2
707,1,1
708,1,1
710,1,2
711,1,1
712,1,1
714,1,2
715,1,1
716,1,1
718,1,2
719,1,1
721,2,2
722,2,1
723,1,1
724,1,1
726,2,2
727,1,1
728,1,1
730,2,2
731,1,1
733,2,2
734,1,1
736,2,2
737,1,1
738,1,1
739,1,1
741,1,2
742,1,1
743,1,1
745,1,2
746,1,1
747,1,1
749,1,2
750,1,1
751,1,1
753,1,2
754,1,1
756,1,2
757,1,1
771,2,14
773,2,2
774,1,1
775,1,1
777,2,2
778,1,1
780,2,2
782,1,2
784,2,2
785,1,1
787,1,2
789,1,2
