time (ms),latency (ms),consume (ms)
0,15,0
23,28,23
23,22,0
25,18,2
25,12,0
47,28,22
48,22,1
49,18,1
50,13,1
77,34,27
77,27,0
79,18,2
79,13,0
103,31,24
103,23,0
105,19,2
105,13,0
128,30,23
128,24,0
129,20,1
130,15,1
152,30,22
152,22,0
152,15,0
153,10,1
174,25,21
174,20,0
174,14,0
175,9,1
197,26,22
197,21,0
197,15,0
198,10,1
220,26,22
221,21,1
222,17,1
222,11,0
243,26,21
244,21,1
244,16,0
244,10,0
265,24,21
266,20,1
266,14,0
267,10,1
302,39,35
302,34,0
302,17,0
303,12,1
322,25,19
322,19,0
323,15,1
334,20,11
344,25,10
344,19,0
345,14,1
346,10,1
365,24,19
365,19,0
365,14,0
366,9,1
387,25,21
388,21,1
388,16,0
388,10,0
409,25,21
409,19,0
409,14,0
414,14,5
435,29,21
436,21,1
439,19,3
439,13,0
455,23,16
455,18,0
456,14,1
456,9,0
480,28,24
481,23,1
483,19,2
485,15,2
501,24,16
501,18,0
502,14,1
502,8,0
525,26,23
525,20,0
525,14,0
526,10,1
548,26,22
548,21,0
548,15,0
549,10,1
568,23,19
569,19,1
569,14,0
570,9,1
591,25,21
592,20,1
592,15,0
592,9,0
613,24,21
615,21,2
615,16,0
615,11,0
639,29,24
639,23,0
639,18,0
640,13,1
661,25,21
661,20,0
661,14,0
662,9,1
685,27,23
685,20,0
686,15,1
686,9,0
707,24,21
707,19,0
707,14,0
708,9,1
734,30,26
734,25,0
735,17,1
735,11,0
761,30,26
761,24,0
762,19,1
762,13,0
788,34,26
788,25,0
791,21,3
793,14,2
812,27,19
812,20,0
812,14,0
813,10,1
832,23,19
845,31,13
846,27,1
847,22,1
855,25,8
855,19,0
855,14,0
855,9,0
876,25,21
877,20,1
877,14,0
877,9,0
898,25,21
899,20,1
899,14,0
900,10,1
921,25,21
921,19,0
921,14,0
921,8,0
943,25,22
943,20,0
944,15,1
945,10,1
970,30,25
971,22,1
973,19,2
974,14,1
991,26,17
