time (ms),latency (ms),consume (ms)
0,49,0
11,44,11
20,51,9
30,56,10
33,56,3
35,52,2
37,51,2
38,51,1
41,53,3
43,50,2
46,50,3
48,50,2
51,52,3
59,51,8
65,55,6
67,51,2
71,54,4
75,56,4
80,57,5
83,56,3
86,58,3
90,39,4
102,39,12
105,35,3
112,33,7
114,30,2
116,28,2
119,24,3
123,24,4
125,21,2
132,27,7
134,28,2
137,16,3
141,11,4
143,7,2
146,7,3
148,3,2
155,4,7
160,4,5
163,2,3
169,3,6
172,2,3
177,2,5
180,2,3
182,1,2
191,6,9
194,2,3
205,6,11
212,2,7
216,2,4
219,2,3
222,2,3
227,2,5
229,0,2
230,0,1
231,0,1
232,0,1
235,1,3
236,1,1
237,1,1
238,0,1
244,1,6
247,1,3
249,1,2
250,1,1
251,1,1
252,1,1
253,1,1
255,1,2
256,0,1
257,0,1
259,1,2
260,1,1
262,1,2
264,1,2
265,1,1
266,1,1
267,0,1
272,1,5
273,1,1
276,1,3
277,1,1
280,1,3
281,1,1
282,1,1
283,1,1
284,1,1
286,1,2
288,1,2
292,1,4
293,1,1
295,0,2
297,1,2
298,1,1
299,1,1
300,1,1
303,0,3
305,1,2
306,1,1
307,1,1
308,1,1
312,1,4
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
319,0,2
321,1,2
322,1,1
323,1,1
324,1,1
327,0,3
331,1,4
332,1,1
333,1,1
334,1,1
335,0,1
336,0,1
337,0,1
339,1,2
340,1,1
343,0,3
347,0,4
350,1,3
351,1,1
352,1,1
353,1,1
354,0,1
356,1,2
357,1,1
358,1,1
359,1,1
364,1,5
367,0,3
369,1,2
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
377,1,1
378,0,1
380,1,2
381,1,1
383,0,2
385,1,2
386,1,1
387,0,1
388,0,1
391,0,3
393,1,2
394,1,1
395,0,1
396,0,1
398,1,2
399,0,1
401,1,2
402,1,1
408,1,6
409,0,1
411,1,2
412,0,1
413,0,1
415,1,2
416,1,1
417,1,1
420,1,3
421,1,1
422,1,1
423,1,1
427,0,4
428,0,1
431,2,3
432,0,1
433,1,1
434,1,1
434,0,0
435,0,1
436,1,1
437,1,1
437,0,0
438,0,1
439,0,1
440,1,1
441,1,1
441,0,0
442,0,1
443,1,1
447,0,4
448,0,1
451,0,3
452,0,1
453,1,1
454,1,1
454,0,0
455,0,1
456,1,1
457,1,1
457,0,0
458,0,1
459,1,1
460,1,1
460,0,0
461,0,1
462,1,1
463,1,1
463,0,0
479,12,16
480,13,1
481,14,1
481,13,0
482,14,1
482,14,0
483,14,1
483,12,0
483,12,0
484,13,1
484,12,0
485,13,1
487,15,2
487,10,0
488,11,1
488,11,0
489,11,1
489,11,0
489,11,0
490,11,1
491,0,1
