time (ms),latency (ms),consume (ms)
0,19,0
16,26,16
25,26,9
34,17,9
41,14,7
49,14,8
57,15,8
61,10,4
65,7,4
69,7,4
74,8,5
78,7,4
82,7,4
86,7,4
90,7,4
118,31,28
126,32,8
127,29,1
129,27,2
132,20,3
134,15,2
137,15,3
141,6,4
146,8,5
150,8,4
153,6,3
157,6,4
160,6,3
164,6,4
168,7,4
171,6,3
175,6,4
179,7,4
182,6,3
186,6,4
190,7,4
195,8,5
198,7,3
202,6,4
206,7,4
234,31,28
239,30,5
239,25,0
240,23,1
250,29,10
253,29,3
256,5,3
260,6,4
263,6,3
266,5,3
269,5,3
272,5,3
275,5,3
278,5,3
281,5,3
284,5,3
287,5,3
290,5,3
293,5,3
297,6,4
300,6,3
305,8,5
308,7,3
318,12,10
322,12,4
354,35,32
358,35,4
361,35,3
362,29,1
365,30,3
368,30,3
371,31,3
374,31,3
375,29,1
379,29,4
379,25,0
382,25,3
386,26,4
389,25,3
394,27,5
397,27,3
403,29,6
406,28,3
407,26,1
408,23,1
411,23,3
412,17,1
415,17,3
421,19,6
425,20,4
428,18,3
432,18,4
464,47,32
466,46,2
471,47,5
473,46,2
474,43,1
476,42,2
479,42,3
481,40,2
484,40,3
485,38,1
487,37,2
491,38,4
491,35,0
495,36,4
495,34,0
498,34,3
502,35,4
503,34,1
504,32,1
505,31,1
507,30,2
508,28,1
511,29,3
514,29,3
515,27,1
517,27,2
542,49,25
546,50,4
547,48,1
548,47,1
555,52,7
559,49,4
560,47,1
563,44,3
564,42,1
571,46,7
573,45,2
576,45,3
581,45,5
592,49,11
592,37,0
595,37,3
598,37,3
602,39,4
605,39,3
606,37,1
614,43,8
620,46,6
622,45,2
628,49,6
629,47,1
632,48,3
674,86,42
676,86,2
677,84,1
679,83,2
680,81,1
681,81,1
682,79,1
687,81,5
688,77,1
688,71,0
689,68,1
690,66,1
690,64,0
692,62,2
693,60,1
693,59,0
697,59,4
701,61,4
702,60,1
704,58,2
707,59,3
707,57,0
711,58,4
715,59,4
716,57,1
719,57,3
750,85,31
754,87,4
756,86,2
757,84,1
759,84,2
760,64,1
765,66,5
765,63,0
768,63,3
771,63,3
771,61,0
775,62,4
778,62,3
778,60,0
781,60,3
783,59,2
784,57,1
788,58,4
792,61,4
794,60,2
796,59,2
800,59,4
802,59,2
808,62,6
812,64,4
812,60,0
825,70,13
827,69,2
829,69,2
829,66,0
831,65,2
832,63,1
835,64,3
837,64,2
842,66,5
843,64,1
845,63,2
847,62,2
848,61,1
853,63,5
854,61,1
855,60,1
855,57,0
860,59,5
860,57,0
863,57,3
866,57,3
866,55,0
869,55,3
874,38,5
875,37,1
879,39,4
903,60,24
905,59,2
908,59,3
909,58,1
914,58,5
916,58,2
917,56,1
919,55,2
923,56,4
925,55,2
925,54,0
928,54,3
931,54,3
934,54,3
938,55,4
938,53,0
941,54,3
944,54,3
947,54,3
949,53,2
953,55,4
953,52,0
954,50,1
955,49,1
957,47,2
957,45,0
965,50,8
966,48,1
968,48,2
969,47,1
969,43,0
971,42,2
972,41,1
972,39,0
973,37,1
976,37,3
977,35,1
977,32,0
978,31,1
980,30,2
980,28,0
981,17,1
983,17,2
983,16,0
987,18,4
987,17,0
988,16,1
990,16,2
990,15,0
994,18,4
996,18,2
996,17,0
1010,29,14
1014,32,4
1014,30,0
1016,31,2
1017,31,1
1018,30,1
1018,29,0
1020,29,2
1021,29,1
1021,28,0
1023,28,2
1024,27,1
1024,26,0
1027,27,3
1028,27,1
1028,26,0
1029,25,1
1029,24,0
1030,23,1
1030,22,0
1031,22,1
1032,21,1
1032,20,0
1034,21,2
1035,20,1
1035,19,0
1053,35,18
1053,34,0
1056,35,3
1056,34,0
1056,32,0
1060,35,4
1060,34,0
1060,18,0
1063,19,3
1063,18,0
1063,17,0
1067,19,4
1067,18,0
1067,16,0
1070,18,3
1070,16,0
1071,16,1
1071,14,0
1072,14,1
1075,16,3
1076,15,1
1076,14,0
1082,18,6
1082,17,0
1085,19,3
1085,17,0
1098,29,13
1104,33,6
1104,31,0
1104,30,0
1106,31,2
1106,29,0
1106,28,0
1111,31,5
1111,30,0
1111,28,0
1112,28,1
1112,26,0
