time (ms),latency (ms),consume (ms)
0,18,0
0,4,0
6,4,6
12,2,6
19,2,7
26,2,7
33,1,7
41,2,8
52,5,11
61,3,9
70,3,9
78,2,8
87,3,9
97,4,10
109,3,12
117,2,8
124,2,7
132,2,8
142,5,10
149,2,7
156,1,7
163,1,7
170,1,7
177,1,7
184,1,7
191,1,7
199,1,8
208,1,9
215,1,7
224,1,9
231,1,7
238,2,7
246,2,8
253,1,7
260,1,7
267,1,7
274,2,7
281,2,7
289,2,8
297,2,8
306,3,9
313,2,7
320,2,7
326,1,6
333,1,7
341,2,8
348,1,7
355,1,7
364,2,9
371,2,7
401,20,30
401,15,0
401,9,0
401,4,0
405,2,4
410,2,5
417,2,7
424,2,7
431,2,7
439,2,8
447,2,8
456,2,9
463,2,7
472,2,9
481,2,9
488,2,7
495,1,7
502,1,7
509,1,7
515,1,6
522,1,7
529,1,7
536,1,7
543,2,7
549,1,6
555,1,6
562,1,7
568,1,6
575,1,7
584,3,9
591,2,7
599,3,8
608,4,9
619,6,11
626,2,7
633,1,7
641,2,8
648,2,7
654,1,6
660,1,6
666,0,6
673,1,7
681,2,8
689,3,8
696,1,7
703,1,7
710,1,7
717,1,7
723,1,6
731,2,8
739,1,8
745,1,6
751,1,6
757,1,6
762,0,5
768,0,6
774,1,6
780,1,6
786,0,6
792,1,6
798,1,6
806,3,8
811,0,5
817,0,6
827,1,10
833,1,6
839,1,6
845,1,6
853,1,8
859,1,6
865,1,6
872,1,7
878,1,6
884,1,6
891,2,7
898,2,7
904,1,6
910,1,6
916,1,6
922,1,6
929,1,7
935,1,6
941,1,6
948,1,7
955,2,7
961,1,6
967,1,6
973,1,6
979,1,6
984,0,5
990,0,6
996,1,6
1002,1,6
1009,2,7
1015,1,6
1021,0,6
1028,1,7
1034,1,6
1040,1,6
1046,1,6
1052,1,6
1058,0,6
1064,0,6
1070,0,6
1076,0,6
1082,0,6
1088,1,6
1094,1,6
1102,1,8
1108,1,6
1113,0,5
1119,0,6
1125,1,6
1131,1,6
1137,1,6
1143,1,6
1148,0,5
1154,0,6
1160,1,6
1166,0,6
1172,0,6
1178,1,6
1184,1,6
1190,1,6
1196,1,6
1201,0,5
1207,0,6
1213,1,6
1219,1,6
1225,1,6
1230,0,5
1237,1,7
1243,1,6
1249,1,6
1254,0,5
1260,0,6
1267,2,7
1274,1,7
1280,1,6
1286,1,6
1291,0,5
1302,1,11
1311,1,9
1316,0,5
1322,0,6
1328,0,6
1334,1,6
1340,1,6
1346,0,6
1352,1,6
1358,1,6
1363,0,5
1369,0,6
1375,1,6
1380,0,5
1386,0,6
1392,1,6
1398,1,6
1403,0,5
1409,0,6
1415,1,6
1420,0,5
1426,0,6
1432,1,6
1438,1,6
1443,0,5
1449,0,6
1460,6,11
1463,1,3
1468,0,5
1474,1,6
1481,1,7
1493,7,12
1496,2,3
1503,2,7
1509,1,6
1516,1,7
1523,1,7
1529,1,6
1536,1,7
1543,2,7
1549,1,6
1555,1,6
1562,1,7
1568,1,6
1575,1,7
1583,3,8
1590,2,7
1597,1,7
1605,1,8
1612,1,7
1618,1,6
1629,5,11
1640,5,11
1647,1,7
1654,1,7
1661,1,7
1667,1,6
1674,1,7
1685,3,11
1693,3,8
1700,1,7
1707,1,7
1716,2,9
1722,1,6
1730,1,8
1737,1,7
1744,2,7
1751,2,7
1758,2,7
1765,2,7
1771,1,6
1779,2,8
1786,2,7
1794,2,8
1802,2,8
1809,2,7
1822,8,13
1829,2,7
1835,1,6
1842,1,7
1848,1,6
1855,1,7
1863,3,8
1869,1,6
1876,1,7
1884,3,8
1891,1,7
1898,1,7
1905,2,7
1911,1,6
1918,2,7
1925,2,7
1931,1,6
1937,1,6
1944,1,7
1951,2,7
1958,2,7
1965,2,7
1972,2,7
1979,2,7
1987,2,8
1993,1,6
2000,1,7
2006,1,6
2013,1,7
2021,3,8
2031,1,10
2038,2,7
2045,1,7
2057,7,12
2064,1,7
2071,1,7
2078,1,7
2085,1,7
2092,1,7
2099,1,7
2106,1,7
2113,1,7
2120,1,7
2127,1,7
2134,1,7
2141,2,7
2148,2,7
2154,1,6
2161,1,7
2168,1,7
2175,2,7
2181,1,6
2197,1,16
2204,0,7
2211,1,7
2217,1,6
2223,1,6
2230,1,7
2236,1,6
2245,4,9
2251,1,6
2261,4,10
2267,1,6
2274,1,7
2280,1,6
2287,2,7
2293,1,6
2300,1,7
2306,1,6
2313,1,7
2319,1,6
2325,1,6
2331,1,6
2338,1,7
2344,1,6
2350,1,6
2356,1,6
2362,0,6
2369,1,7
2375,1,6
2381,1,6
2387,1,6
2394,1,7
2400,1,6
2406,1,6
2412,1,6
