time (ms),latency (ms),consume (ms)
0,11,0
5,3,5
15,2,10
27,3,12
37,2,10
49,2,12
59,1,10
70,2,11
81,2,11
92,2,11
102,2,10
113,2,11
124,2,11
134,1,10
145,2,11
156,2,11
166,2,10
177,1,11
188,2,11
198,1,10
209,1,11
220,1,11
231,2,11
242,2,11
252,1,10
263,2,11
274,2,11
284,1,10
296,2,12
306,1,10
317,2,11
327,1,10
338,1,11
349,2,11
360,2,11
371,2,11
381,1,10
392,2,11
403,2,11
413,1,10
424,2,11
435,2,11
445,2,10
456,2,11
467,2,11
478,2,11
489,2,11
499,1,10
510,2,11
521,2,11
532,2,11
543,2,11
553,1,10
565,2,12
576,2,11
588,2,12
599,2,11
610,1,11
621,2,11
632,2,11
643,2,11
654,2,11
664,1,10
675,1,11
686,2,11
697,2,11
707,2,10
717,1,10
728,1,11
738,1,10
749,1,11
760,1,11
771,2,11
781,1,10
792,2,11
802,1,10
813,2,11
823,1,10
834,1,11
845,2,11
857,2,12
867,1,10
878,1,11
889,1,11
900,2,11
911,2,11
922,1,11
932,1,10
943,1,11
954,1,11
964,1,10
975,1,11
986,1,11
997,2,11
1007,1,10
1018,1,11
1029,1,11
1040,2,11
1050,1,10
1062,2,12
1072,1,10
1083,2,11
1093,1,10
1104,2,11
1114,1,10
1125,2,11
1135,1,10
1146,2,11
1156,1,10
1167,2,11
1177,1,10
1188,2,11
1198,1,10
1209,2,11
1219,1,10
1230,1,11
1240,1,10
1251,1,11
1262,2,11
1272,1,10
1283,2,11
1293,1,10
1305,2,12
1316,2,11
1327,2,11
1338,1,11
1349,2,11
1360,2,11
1370,1,10
1380,1,10
1391,2,11
1401,1,10
1412,2,11
1422,1,10
1432,1,10
1443,1,11
1454,1,11
1464,1,10
1475,1,11
1486,2,11
1496,1,10
1507,1,11
1518,2,11
1528,1,10
1539,1,11
1550,2,11
1560,1,10
1571,1,11
1583,2,12
1594,2,11
1604,1,10
1615,2,11
1625,1,10
1636,1,11
1646,1,10
1657,1,11
1667,1,10
1678,1,11
1688,1,10
1699,1,11
1709,1,10
1720,2,11
1730,1,10
1741,1,11
1751,1,10
1762,1,11
1772,1,10
1783,1,11
1794,2,11
1804,1,10
1814,1,10
1825,2,11
1835,1,10
1846,2,11
1858,3,12
