time (ms),latency (ms),consume (ms)
0,8,0
0,6,0
1,6,1
1,6,0
1,6,0
1,6,0
1,5,0
1,5,0
2,6,1
2,5,0
2,5,0
18,16,16
18,16,0
18,15,0
18,15,0
18,15,0
18,15,0
18,14,0
19,15,1
19,15,0
19,15,0
19,15,0
19,15,0
20,15,1
20,15,0
20,14,0
20,14,0
20,14,0
20,14,0
20,14,0
20,13,0
22,13,2
22,13,0
23,13,1
24,14,1
24,13,0
24,13,0
24,13,0
24,13,0
24,13,0
24,13,0
24,12,0
26,14,2
40,19,14
40,19,0
41,20,1
41,18,0
41,18,0
41,18,0
41,18,0
41,16,0
41,16,0
41,16,0
41,16,0
41,14,0
41,14,0
41,14,0
42,15,1
42,15,0
42,15,0
42,14,0
42,14,0
42,14,0
42,12,0
42,11,0
42,8,0
43,9,1
43,9,0
43,9,0
43,9,0
43,8,0
43,8,0
43,8,0
43,8,0
45,10,2
56,12,11
56,12,0
56,12,0
56,12,0
56,12,0
56,12,0
57,12,1
57,12,0
58,13,1
58,13,0
58,13,0
58,13,0
58,12,0
58,12,0
58,12,0
58,11,0
58,11,0
58,10,0
58,10,0
58,9,0
58,9,0
58,8,0
59,9,1
59,9,0
59,9,0
59,9,0
59,8,0
59,8,0
59,8,0
59,8,0
59,8,0
61,10,2
72,12,11
72,12,0
72,12,0
72,12,0
72,12,0
72,12,0
72,12,0
72,11,0
73,12,1
73,12,0
73,12,0
73,12,0
73,12,0
74,12,1
74,12,0
74,12,0
74,12,0
74,12,0
74,11,0
74,10,0
74,10,0
74,10,0
75,11,1
75,10,0
78,13,3
78,11,0
78,11,0
78,11,0
78,10,0
78,10,0
78,10,0
79,11,1
85,9,6
85,9,0
85,9,0
85,9,0
85,9,0
85,8,0
85,8,0
85,8,0
85,8,0
85,8,0
85,7,0
85,7,0
85,7,0
85,6,0
85,6,0
86,7,1
86,7,0
86,7,0
86,7,0
86,7,0
86,7,0
86,7,0
86,6,0
86,6,0
86,6,0
87,7,1
87,7,0
87,7,0
87,7,0
87,7,0
87,7,0
88,7,1
97,10,9
97,10,0
98,10,1
98,10,0
98,10,0
98,10,0
98,10,0
98,10,0
98,10,0
107,19,9
107,18,0
107,18,0
107,18,0
107,18,0
107,18,0
107,18,0
107,18,0
107,18,0
108,19,1
108,18,0
108,18,0
108,18,0
108,18,0
108,16,0
108,16,0
108,15,0
108,15,0
108,15,0
108,15,0
108,15,0
108,15,0
108,15,0
114,13,6
114,13,0
114,13,0
114,13,0
114,13,0
114,10,0
114,10,0
114,10,0
114,10,0
114,10,0
114,10,0
115,10,1
115,10,0
115,10,0
115,10,0
115,10,0
116,11,1
116,11,0
116,11,0
116,11,0
116,10,0
116,10,0
116,10,0
116,10,0
116,10,0
116,10,0
116,10,0
116,10,0
116,10,0
116,10,0
118,9,2
118,9,0
123,10,5
123,10,0
123,10,0
123,10,0
123,9,0
123,9,0
123,8,0
123,8,0
123,8,0
123,8,0
123,8,0
124,9,1
124,9,0
124,8,0
124,8,0
124,7,0
124,7,0
124,7,0
124,7,0
124,7,0
124,7,0
124,7,0
124,7,0
124,7,0
124,6,0
124,6,0
124,6,0
124,6,0
125,7,1
125,7,0
125,6,0
126,7,1
132,7,6
133,8,1
133,8,0
133,8,0
133,7,0
133,7,0
133,7,0
133,7,0
133,7,0
133,7,0
133,7,0
133,7,0
133,6,0
133,6,0
133,6,0
133,6,0
133,6,0
133,6,0
133,6,0
133,6,0
134,7,1
134,7,0
134,6,0
134,6,0
134,6,0
134,6,0
134,6,0
134,6,0
134,6,0
134,6,0
134,5,0
134,5,0
142,7,8
142,7,0
142,7,0
142,7,0
142,7,0
142,7,0
142,7,0
142,7,0
142,7,0
142,6,0
142,6,0
142,6,0
143,7,1
143,7,0
143,7,0
143,7,0
143,7,0
143,7,0
143,6,0
143,6,0
143,6,0
143,6,0
143,6,0
143,6,0
143,6,0
143,6,0
143,6,0
143,5,0
143,5,0
143,5,0
144,6,1
144,6,0
152,8,8
152,8,0
152,8,0
152,8,0
152,8,0
152,7,0
152,7,0
152,7,0
152,7,0
152,7,0
152,7,0
152,7,0
152,7,0
152,7,0
153,7,1
153,7,0
153,7,0
153,7,0
153,7,0
153,7,0
153,7,0
153,7,0
153,7,0
153,6,0
153,6,0
153,6,0
153,6,0
153,6,0
153,6,0
153,6,0
153,5,0
154,6,1
170,16,16
170,16,0
170,16,0
170,16,0
170,16,0
170,16,0
170,15,0
170,15,0
170,15,0
170,15,0
170,15,0
170,15,0
170,15,0
170,15,0
170,15,0
170,14,0
170,14,0
170,14,0
171,15,1
171,15,0
171,15,0
171,15,0
171,14,0
171,14,0
171,14,0
172,15,1
172,15,0
