time (ms),latency (ms),consume (ms)
0,12,0
33,29,33
34,19,1
34,8,0
38,2,4
49,2,11
60,3,11
69,1,9
79,1,10
90,2,11
100,1,10
112,3,12
121,2,9
133,3,12
145,3,12
156,2,11
166,2,10
177,2,11
190,4,13
200,3,10
211,2,11
220,1,9
233,4,13
241,1,8
253,2,12
263,1,10
274,2,11
287,4,13
296,1,9
307,1,11
317,1,10
328,1,11
338,1,10
349,1,11
359,1,10
368,0,9
378,0,10
389,1,11
399,0,10
410,1,11
420,0,10
431,1,11
442,1,11
452,1,10
462,1,10
473,1,11
482,0,9
492,0,10
503,1,11
513,1,10
522,0,9
533,0,11
544,1,11
554,1,10
565,1,11
575,1,10
584,0,9
595,0,11
606,1,11
616,1,10
625,0,9
636,1,11
646,1,10
656,0,10
667,1,11
678,1,11
689,1,11
700,1,11
709,0,9
720,0,11
731,1,11
740,0,9
750,0,10
761,1,11
772,1,11
782,0,10
793,1,11
804,1,11
814,1,10
823,0,9
834,1,11
846,2,12
856,1,10
865,0,9
876,1,11
887,1,11
897,1,10
906,0,9
916,0,10
928,2,12
938,1,10
947,0,9
958,1,11
969,1,11
978,0,9
989,0,11
1000,1,11
1010,1,10
1019,0,9
1033,2,14
1045,2,12
1054,1,9
1065,2,11
1076,2,11
1086,1,10
1096,1,10
1107,1,11
1118,2,11
1129,1,11
1140,2,11
1150,1,10
1161,2,11
1170,1,9
1180,1,10
1191,2,11
1202,2,11
1212,2,10
1222,2,10
1232,1,10
1242,1,10
1254,3,12
1263,2,9
1272,1,9
1283,1,11
1298,6,15
1310,4,12
1318,1,8
1331,4,13
1342,1,11
1365,14,23
1372,4,7
1387,7,15
1395,1,8
1406,1,11
1416,1,10
1427,1,11
1437,1,10
1447,1,10
1458,1,11
1469,2,11
1479,1,10
1490,1,11
1501,2,11
1512,2,11
1523,1,11
1533,1,10
1544,1,11
1555,2,11
1565,1,10
1576,2,11
1587,2,11
1597,1,10
1607,1,10
1617,1,10
1627,1,10
1637,1,10
1648,1,11
1658,1,10
1668,1,10
1679,2,11
1689,1,10
1700,1,11
1711,2,11
1720,1,9
1731,2,11
1741,1,10
1751,1,10
1761,1,10
1771,1,10
1782,1,11
1793,2,11
1803,1,10
1814,1,11
1824,1,10
1834,1,10
1845,2,11
1855,1,10
1866,1,11
1877,2,11
1886,1,9
1897,2,11
1907,1,10
1918,1,11
1929,2,11
1940,1,11
1950,1,10
1960,1,10
1971,2,11
1983,3,12
1991,1,8
2002,1,11
2013,2,11
2024,1,11
2035,1,11
2046,1,11
2056,1,10
2066,1,10
2076,1,10
2086,1,10
2096,1,10
2107,1,11
2117,1,10
2127,1,10
2137,1,10
2148,1,11
2158,1,10
2168,1,10
2179,2,11
2190,2,11
2221,23,31
2222,14,1
