time (ms),latency (ms),consume (ms)
0,48,0
3,37,3
3,26,0
3,15,0
3,2,0
14,2,11
24,1,10
34,1,10
45,1,11
56,1,11
67,2,11
79,3,12
88,2,9
99,2,11
110,2,11
120,1,10
130,1,10
140,1,10
152,3,12
161,2,9
173,3,12
183,2,10
195,4,12
203,1,8
215,3,12
225,2,10
236,2,11
248,3,12
258,2,10
269,2,11
283,4,14
290,1,7
301,2,11
312,2,11
323,3,11
332,1,9
342,1,10
353,1,11
364,1,11
375,2,11
386,2,11
396,1,10
407,2,11
417,2,10
428,2,11
439,2,11
450,2,11
461,2,11
471,2,10
480,1,9
490,1,10
501,1,11
512,2,11
525,3,13
535,2,10
545,2,10
555,2,10
564,1,9
574,1,10
585,1,11
596,2,11
607,2,11
621,5,14
631,2,10
643,4,12
654,2,11
663,1,9
673,1,10
684,1,11
695,1,11
706,1,11
717,2,11
728,2,11
739,2,11
749,2,10
759,1,10
770,2,11
781,2,11
791,2,10
800,1,9
810,1,10
823,3,13
832,1,9
843,1,11
854,1,11
865,2,11
875,1,10
886,1,11
897,1,11
910,4,13
921,2,11
932,2,11
943,2,11
956,4,13
964,2,8
976,3,12
988,3,12
998,2,10
1007,1,9
1017,1,10
1028,1,11
1039,1,11
1050,2,11
1061,2,11
1070,1,9
1080,1,10
1091,1,11
1102,1,11
1113,1,11
1124,2,11
1135,2,11
1146,2,11
1156,2,10
1165,1,9
1177,3,12
1187,2,10
1196,1,9
1206,1,10
1217,1,11
1229,2,12
1239,1,10
1251,3,12
1260,2,9
1270,2,10
1283,4,13
1295,2,12
1306,3,11
1317,4,11
1328,3,11
1342,6,14
1352,3,10
1368,7,16
1377,2,9
1386,1,9
1396,1,10
1407,1,11
1418,2,11
1429,2,11
1438,1,9
1448,1,10
1459,1,11
1470,1,11
1481,2,11
1492,2,11
1502,2,10
1511,1,9
1521,1,10
1531,1,10
1542,1,11
1552,1,10
1563,1,11
1574,2,11
1585,2,11
1596,2,11
1605,1,9
1627,13,22
1627,3,0
1636,2,9
1645,1,9
1656,2,11
1665,1,9
1676,2,11
1686,1,10
1697,2,11
1708,2,11
1718,1,10
1729,2,11
1739,1,10
1750,2,11
1760,1,10
1771,2,11
1780,1,9
1790,1,10
1801,1,11
1812,2,11
1823,2,11
1834,2,11
1843,1,9
1853,1,10
1864,1,11
1875,2,11
1886,2,11
1895,1,9
1905,1,10
1915,1,10
1926,1,11
1937,2,11
1948,1,11
1959,2,11
1970,2,11
1980,2,10
1989,1,9
1999,1,10
2014,5,15
2024,2,10
2033,1,9
2043,1,10
2054,1,11
2065,2,11
2076,2,11
2085,1,9
2095,1,10
2106,1,11
2117,2,11
2128,2,11
2139,2,11
2148,1,9
2158,1,10
2169,1,11
2180,2,11
2191,2,11
2200,1,9
2210,1,10
2221,1,11
2232,2,11
2243,2,11
2254,2,11
2264,2,10
2275,1,11
2286,2,11
2297,2,11
2306,1,9
2316,1,10
2327,1,11
2338,2,11
2349,2,11
2358,1,9
2369,1,11
2380,2,11
2391,2,11
2402,2,11
2411,1,9
2421,1,10
2433,2,12
2443,2,10
2452,1,9
2462,1,10
2473,1,11
2484,2,11
2495,2,11
2506,2,11
2515,1,9
2526,1,11
2537,2,11
