time (ms),latency (ms),consume (ms)
0,9,0
11,2,11
23,2,12
35,2,12
47,2,12
59,2,12
71,1,12
83,1,12
96,2,13
108,2,12
121,2,13
132,1,11
144,1,12
159,4,15
171,1,12
184,2,13
196,1,12
208,1,12
223,4,15
236,2,13
249,2,13
262,2,13
274,1,12
285,1,11
298,1,13
312,2,14
324,1,12
338,2,14
351,1,13
365,1,14
379,3,14
395,2,16
409,2,14
422,2,13
434,2,12
446,1,12
457,1,11
470,2,13
483,3,13
496,2,13
508,2,12
519,1,11
531,1,12
542,1,11
554,1,12
567,2,13
579,1,12
595,5,16
607,1,12
619,1,12
631,2,12
643,2,12
654,0,11
666,1,12
679,3,13
691,1,12
703,1,12
715,1,12
726,1,11
737,1,11
749,1,12
761,1,12
773,1,12
786,1,13
797,1,11
810,2,13
822,2,12
833,1,11
845,1,12
857,1,12
868,1,11
882,2,14
893,1,11
905,1,12
917,1,12
929,1,12
941,1,12
954,1,13
967,1,13
980,2,13
992,1,12
1005,2,13
1018,2,13
1033,4,15
1046,1,13
1059,1,13
1071,1,12
1082,1,11
1097,1,15
1109,1,12
1120,0,11
1132,1,12
1143,1,11
1155,1,12
1167,2,12
1180,2,13
1192,2,12
1203,1,11
1215,1,12
1226,1,11
1238,1,12
1249,1,11
1261,1,12
1272,1,11
1284,1,12
1296,1,12
1309,1,13
1320,1,11
1332,1,12
1344,1,12
1363,1,19
1376,3,13
1390,1,14
1402,2,12
1414,2,12
1426,1,12
1438,1,12
1450,1,12
1464,4,14
1477,2,13
1490,2,13
1503,1,13
1515,1,12
1529,2,14
1541,1,12
1555,1,14
1567,2,12
1578,1,11
1591,2,13
1602,1,11
1615,2,13
1627,2,12
1639,1,12
1650,1,11
1661,0,11
1676,4,15
1683,1,7
1693,0,10
1704,1,11
1714,1,10
1724,0,10
1735,1,11
1745,1,10
1756,1,11
1768,1,12
1779,1,11
1792,2,13
1803,1,11
1815,1,12
1826,1,11
1839,2,13
1850,1,11
1861,1,11
1873,1,12
1884,1,11
1895,0,11
1908,1,13
1920,1,12
1934,0,14
1946,1,12
1957,1,11
1969,1,12
1980,1,11
1991,1,11
2003,1,12
2015,1,12
2026,1,11
2044,1,18
2056,3,12
2065,1,9
2075,1,10
2086,2,11
2096,1,10
2106,1,10
2117,1,11
2127,1,10
2138,2,11
2148,1,10
2159,2,11
2169,1,10
2179,1,10
2190,1,11
2202,1,12
2214,1,12
2225,1,11
2238,1,13
2251,2,13
2264,1,13
2276,1,12
2288,1,12
2302,2,14
2320,1,18
2334,1,14
2346,1,12
2358,1,12
2370,1,12
2382,2,12
2393,1,11
2405,1,12
2417,2,12
2428,1,11
2440,1,12
2451,1,11
2462,0,11
2474,1,12
2485,1,11
2496,1,11
2507,1,11
2519,1,12
2530,0,11
2542,1,12
2554,1,12
2565,1,11
2577,1,12
2588,1,11
2600,2,12
2611,1,11
2631,9,20
2637,1,6
2648,1,11
2659,1,11
2670,1,11
2684,4,14
2694,1,10
2705,1,11
2716,1,11
2727,1,11
2738,1,11
2750,2,12
2761,1,11
2772,1,11
2783,1,11
2795,1,12
2806,1,11
2817,1,11
2829,2,12
2843,4,14
2854,1,11
2866,1,12
2877,1,11
2889,1,12
2901,2,12
2914,2,13
2928,3,14
2942,2,14
2956,2,14
2968,1,12
2981,1,13
2997,2,16
3010,3,13
3023,3,13
3035,2,12
3049,3,14
3061,1,12
3074,2,13
3086,1,12
3097,1,11
3109,1,12
3120,1,11
3131,1,11
3143,1,12
3155,1,12
3167,1,12
3178,1,11
3191,1,13
3202,0,11
3214,1,12
3225,1,11
3236,1,11
3248,1,12
3259,1,11
3270,1,11
3282,1,12
3294,2,12
3306,1,12
3317,1,11
3329,1,12
3341,1,12
3352,1,11
3364,1,12
3375,1,11
3386,0,11
3398,1,12
3409,1,11
3421,1,12
3433,1,12
3445,2,12
3456,1,11
3468,2,12
3479,1,11
3491,1,12
3502,1,11
3514,1,12
3526,2,12
3537,1,11
3549,1,12
3563,3,14
3577,1,14
3588,1,11
3600,1,12
3615,4,15
3627,1,12
3639,2,12
3650,1,11
3662,1,12
3674,1,12
3685,1,11
3697,1,12
3708,1,11
3720,1,12
3731,1,11
3743,1,12
3755,1,12
3766,1,11
3778,1,12
3790,1,12
3802,1,12
3814,2,12
3825,1,11
3843,2,18
3854,1,11
3866,1,12
3878,1,12
3889,1,11
3903,3,14
3915,2,12
3926,1,11
3938,1,12
3955,6,17
3967,1,12
3979,1,12
3991,1,12
4003,2,12
4014,1,11
4026,1,12
4038,1,12
4050,1,12
4062,1,12
4074,1,12
4086,2,12
4098,2,12
4109,1,11
4121,1,12
4133,1,12
4145,1,12
4157,1,12
4169,1,12
4181,2,12
4192,1,11
4204,1,12
4216,2,12
4227,1,11
4239,1,12
4251,1,12
4263,1,12
4275,2,12
4287,2,12
4298,1,11
4310,1,12
4321,0,11
4333,1,12
4345,1,12
4356,1,11
4368,1,12
4379,1,11
4391,1,12
4403,1,12
4414,1,11
4426,1,12
4438,1,12
4451,2,13
4463,1,12
4474,1,11
4486,1,12
4498,1,12
4510,2,12
4524,1,14
4539,2,15
4555,6,16
4571,5,16
4583,1,12
4596,2,13
4607,1,11
4651,14,44
4663,1,12
4675,1,12
4687,1,12
4699,1,12
4711,2,12
4722,1,11
4734,1,12
4746,1,12
4757,1,11
4769,1,12
4780,1,11
4792,1,12
4804,1,12
4816,1,12
4828,1,12
4842,2,14
4853,1,11
4865,1,12
4878,2,13
4889,1,11
4901,1,12
4913,1,12
4924,1,11
4936,1,12
4948,1,12
4960,1,12
4972,1,12
4984,1,12
4997,2,13
5009,2,12
5021,2,12
5033,2,12
5045,2,12
5057,2,12
5068,1,11
5080,1,12
5092,1,12
5103,0,11
5115,1,12
5129,1,14
5141,1,12
5153,2,12
5165,1,12
5177,2,12
5189,1,12
5201,1,12
5219,7,18
5231,1,12
5243,1,12
5255,1,12
5267,1,12
5279,1,12
5291,1,12
5303,1,12
5316,2,13
5329,2,13
5342,1,13
5355,2,13
5368,2,13
5381,2,13
5393,1,12
5406,2,13
5418,1,12
5431,2,13
5443,1,12
5455,1,12
5468,2,13
5480,1,12
5493,2,13
5506,2,13
5518,1,12
5531,2,13
5543,1,12
5556,1,13
5569,2,13
5581,2,12
5593,1,12
5605,1,12
5617,1,12
5629,1,12
5641,1,12
5653,2,12
5665,2,12
5677,1,12
5690,2,13
5702,1,12
5714,1,12
5726,1,12
5738,1,12
5749,1,11
5761,1,12
5773,1,12
5785,1,12
5796,0,11
5808,1,12
5821,2,13
5833,2,12
5844,1,11
5856,1,12
5868,1,12
5883,4,15
5898,2,15
5910,1,12
5922,1,12
5934,1,12
5947,2,13
5958,1,11
5970,1,12
5982,1,12
5994,1,12
6006,1,12
6019,2,13
6031,1,12
6043,1,12
6055,2,12
6068,2,13
6080,2,12
6093,2,13
6105,1,12
6117,1,12
6132,4,15
6151,2,19
6166,1,15
6179,2,13
6191,1,12
6203,1,12
6218,4,15
6231,2,13
6245,2,14
6258,2,13
6271,2,13
6283,1,12
6296,2,13
6308,1,12
6320,1,12
6332,1,12
6344,1,12
6355,1,11
6367,1,12
6379,1,12
6393,4,14
6405,1,12
6418,2,13
6429,1,11
6441,1,12
6452,1,11
6464,1,12
6477,2,13
6489,1,12
6501,1,12
6513,1,12
6525,1,12
6537,1,12
6549,1,12
6560,1,11
6572,1,12
6584,1,12
6595,1,11
6611,5,16
6622,1,11
6634,1,12
6645,1,11
6657,1,12
6669,1,12
6698,15,29
6698,5,0
6704,0,6
6715,1,11
6726,2,11
6736,1,10
6747,2,11
6757,1,10
6768,1,11
6779,2,11
6789,1,10
6800,1,11
6810,1,10
6821,1,11
6831,1,10
6843,1,12
6855,1,12
6867,1,12
6878,1,11
6890,1,12
6901,1,11
6913,1,12
6924,1,11
6935,1,11
6946,0,11
6958,1,12
6970,1,12
6981,1,11
6993,1,12
7005,2,12
7016,1,11
7027,0,11
7039,1,12
7050,1,11
7063,2,13
7074,1,11
7085,1,11
7096,0,11
7107,0,11
7119,1,12
7130,1,11
7141,1,11
7152,1,11
7164,1,12
7175,1,11
7186,1,11
7199,2,13
7211,1,12
7222,1,11
7238,1,16
7249,1,11
7261,1,12
7274,1,13
7285,1,11
7297,1,12
7308,1,11
7319,1,11
7331,1,12
7342,1,11
7353,0,11
7365,1,12
7376,1,11
7387,0,11
7399,1,12
7410,1,11
7421,0,11
7433,1,12
7444,1,11
7455,1,11
7467,1,12
7478,1,11
7489,1,11
7500,0,11
7515,4,15
7528,1,13
7540,1,12
7551,1,11
7562,1,11
7574,1,12
7585,1,11
7596,1,11
7607,0,11
7619,1,12
7630,1,11
7642,1,12
7653,1,11
7664,0,11
7676,1,12
7687,0,11
7699,1,12
7711,2,12
7726,1,15
7738,1,12
7749,0,11
7761,1,12
7772,1,11
7783,1,11
7794,1,11
7805,1,11
7816,1,11
7827,1,11
7838,0,11
7849,0,11
7860,0,11
7871,0,11
7883,1,12
7894,1,11
7905,1,11
7916,1,11
7927,0,11
7939,1,12
7950,1,11
7961,1,11
7972,0,11
7984,1,12
7994,0,10
8006,1,12
8027,7,21
8039,1,12
8051,1,12
8062,1,11
8073,1,11
8088,1,15
8099,0,11
8111,1,12
8122,1,11
8133,0,11
8145,1,12
8157,1,12
8168,1,11
8180,2,12
8191,1,11
8203,1,12
8214,1,11
8226,1,12
8237,1,11
8249,1,12
8260,1,11
8272,1,12
8283,1,11
8294,1,11
8305,1,11
8317,1,12
8328,1,11
8339,0,11
8351,1,12
8362,1,11
8373,0,11
8385,1,12
8396,1,11
8407,1,11
8418,0,11
8429,0,11
8447,7,18
8459,1,12
8470,1,11
8481,1,11
8492,1,11
8503,1,11
8514,1,11
8525,1,11
8536,0,11
8547,0,11
8559,1,12
8570,1,11
8581,1,11
8593,1,12
8604,1,11
8615,1,11
8626,1,11
8637,1,11
8648,1,11
8659,1,11
8670,1,11
8681,1,11
8692,1,11
8704,1,12
8715,1,11
8727,1,12
8738,1,11
8749,0,11
8760,0,11
8772,1,12
8783,1,11
8794,1,11
8806,1,12
8817,1,11
8829,1,12
8840,1,11
8852,1,12
8863,1,11
8874,0,11
8886,1,12
8897,1,11
8908,0,11
8920,1,12
8931,1,11
8942,1,11
8953,0,11
8965,1,12
8976,1,11
8988,1,12
9000,1,12
9011,0,11
9023,1,12
9034,1,11
9045,0,11
9057,1,12
9068,1,11
9079,0,11
9091,1,12
9102,1,11
9113,1,11
9125,1,12
9136,1,11
9147,0,11
9159,1,12
9170,1,11
9182,1,12
9197,1,15
9209,1,12
9221,1,12
9232,1,11
9250,1,18
9262,1,12
9274,1,12
9285,1,11
9296,1,11
9308,1,12
9319,1,11
9331,1,12
9342,1,11
9353,0,11
9365,1,12
9377,1,12
9389,1,12
9401,1,12
9412,1,11
9424,1,12
9435,1,11
9447,1,12
9459,1,12
9470,1,11
9482,1,12
9494,1,12
9505,1,11
9517,1,12
9529,1,12
9541,1,12
9552,1,11
9564,1,12
9575,1,11
9587,1,12
9598,1,11
9609,0,11
9621,1,12
9632,1,11
9644,1,12
9655,1,11
9666,0,11
9678,1,12
9689,1,11
9700,1,11
9711,1,11
9722,0,11
9733,0,11
9744,0,11
9756,1,12
9767,1,11
9778,1,11
9788,0,10
9800,1,12
9811,1,11
9822,1,11
9833,1,11
9844,1,11
9855,1,11
9866,1,11
9877,1,11
9887,0,10
9898,0,11
9909,0,11
9920,0,11
9931,0,11
9942,0,11
9953,0,11
9965,1,12
9976,1,11
9987,0,11
10001,1,14
10012,1,11
10023,0,11
10035,1,12
10046,1,11
10056,0,10
10068,1,12
10079,1,11
10090,1,11
10101,1,11
10112,1,11
10123,1,11
10134,0,11
10146,1,12
10157,1,11
10168,1,11
10179,1,11
10190,0,11
10202,1,12
10213,1,11
10224,1,11
10235,0,11
10247,1,12
10258,1,11
10274,1,16
10285,1,11
10296,1,11
10308,1,12
10319,1,11
10330,0,11
10342,1,12
10353,1,11
10365,1,12
10376,1,11
10387,0,11
