time (ms),latency (ms),consume (ms)
0,10,0
5,3,5
11,3,6
18,3,7
23,2,5
30,3,7
35,2,5
41,2,6
48,4,7
54,2,6
60,2,6
65,1,5
71,2,6
76,1,5
82,2,6
87,1,5
93,2,6
99,2,6
105,2,6
111,2,6
116,1,5
122,2,6
127,1,5
133,2,6
138,1,5
144,2,6
150,2,6
155,1,5
161,2,6
167,1,6
173,2,6
179,2,6
185,2,6
191,2,6
196,1,5
202,2,6
208,2,6
218,6,10
219,2,1
225,2,6
231,2,6
236,2,5
242,2,6
247,2,5
253,2,6
258,1,5
264,2,6
270,2,6
275,1,5
281,1,6
287,2,6
292,1,5
298,2,6
303,1,5
309,1,6
315,2,6
320,1,5
326,2,6
331,1,5
337,1,6
343,2,6
348,1,5
354,2,6
360,2,6
365,1,5
371,2,6
376,1,5
382,1,6
388,2,6
393,1,5
399,2,6
405,2,6
410,1,5
416,2,6
421,1,5
427,2,6
432,1,5
438,2,6
444,2,6
449,1,5
455,2,6
460,1,5
466,1,6
473,2,7
478,1,5
484,2,6
489,1,5
495,2,6
500,1,5
506,2,6
511,1,5
517,2,6
525,4,8
528,1,3
534,2,6
539,1,5
545,2,6
551,2,6
556,1,5
562,2,6
567,1,5
573,2,6
578,1,5
584,2,6
589,1,5
595,2,6
600,1,5
606,2,6
612,2,6
617,1,5
623,2,6
628,1,5
634,2,6
640,2,6
645,2,5
651,2,6
656,1,5
662,2,6
669,4,7
675,2,6
680,1,5
686,2,6
692,2,6
698,2,6
704,2,6
709,1,5
715,2,6
721,2,6
726,2,5
732,2,6
737,1,5
742,1,5
748,2,6
753,1,5
759,1,6
765,1,6
771,2,6
776,1,5
781,1,5
787,2,6
792,1,5
798,2,6
803,1,5
809,2,6
814,1,5
820,2,6
826,2,6
831,2,5
836,1,5
842,2,6
847,1,5
853,2,6
858,1,5
864,1,6
869,1,5
875,1,6
880,1,5
886,2,6
891,1,5
897,2,6
902,1,5
908,2,6
913,1,5
919,2,6
924,1,5
930,2,6
935,1,5
941,2,6
946,1,5
952,1,6
958,2,6
963,1,5
969,2,6
975,2,6
980,1,5
986,2,6
992,2,6
998,2,6
1003,1,5
1009,1,6
1015,2,6
