time (ms),latency (ms),consume (ms)
0,7,0
2,1,2
6,3,4
7,1,1
9,1,2
11,0,2
23,4,12
26,2,3
32,5,6
35,2,3
38,1,3
41,1,3
43,1,2
48,3,5
52,1,4
54,1,2
56,0,2
59,1,3
63,2,4
67,2,4
70,1,3
72,1,2
75,1,3
77,1,2
79,1,2
82,1,3
86,2,4
89,1,3
94,2,5
100,2,6
102,1,2
108,3,6
112,3,4
115,2,3
116,1,1
118,0,2
121,1,3
124,2,3
126,1,2
130,2,4
133,2,3
135,1,2
137,1,2
140,1,3
142,1,2
145,2,3
147,0,2
152,3,5
154,1,2
157,1,3
159,1,2
162,2,3
164,1,2
166,1,2
169,1,3
172,1,3
175,2,3
178,2,3
181,2,3
183,1,2
186,1,3
188,1,2
191,1,3
194,1,3
197,1,3
200,1,3
203,2,3
205,1,2
207,0,2
210,1,3
212,1,2
214,1,2
217,1,3
220,1,3
222,1,2
225,1,3
227,1,2
229,1,2
233,2,4
238,4,5
241,1,3
244,2,3
246,1,2
250,1,4
253,1,3
255,1,2
257,1,2
260,1,3
262,1,2
265,1,3
267,1,2
270,1,3
272,1,2
274,1,2
276,1,2
278,0,2
281,1,3
283,1,2
285,1,2
287,1,2
289,1,2
291,1,2
293,1,2
295,0,2
297,0,2
300,1,3
302,1,2
304,1,2
306,1,2
308,1,2
311,1,3
316,4,5
318,1,2
321,1,3
323,1,2
326,2,3
328,1,2
331,2,3
333,1,2
335,1,2
337,1,2
339,1,2
342,1,3
344,1,2
346,1,2
348,0,2
351,1,3
353,1,2
355,1,2
357,0,2
360,1,3
362,1,2
364,1,2
367,1,3
369,1,2
372,2,3
374,1,2
376,1,2
380,2,4
383,1,3
386,1,3
388,1,2
390,1,2
393,2,3
396,2,3
398,1,2
401,2,3
403,0,2
406,1,3
408,1,2
410,1,2
414,2,4
416,1,2
419,1,3
422,1,3
424,1,2
429,2,5
432,2,3
436,1,4
438,1,2
441,1,3
444,1,3
447,1,3
450,2,3
452,1,2
455,1,3
458,1,3
461,2,3
463,1,2
466,1,3
469,1,3
471,1,2
474,1,3
477,2,3
479,1,2
481,1,2
484,1,3
486,1,2
489,1,3
491,1,2
494,1,3
498,3,4
500,1,2
503,1,3
506,2,3
509,2,3
514,3,5
518,1,4
522,2,4
523,0,1
525,0,2
528,1,3
530,0,2
532,1,2
534,1,2
535,0,1
537,0,2
539,1,2
541,1,2
542,0,1
544,1,2
546,1,2
547,0,1
549,0,2
551,1,2
553,1,2
554,0,1
556,0,2
558,1,2
560,1,2
562,1,2
563,0,1
565,0,2
567,0,2
569,0,2
571,0,2
574,1,3
582,7,8
583,2,1
584,1,1
585,0,1
587,0,2
592,3,5
594,1,2
596,1,2
598,1,2
601,2,3
602,1,1
604,2,2
606,1,2
607,0,1
609,1,2
611,1,2
613,1,2
614,0,1
617,2,3
620,2,3
622,1,2
624,1,2
626,1,2
627,0,1
629,0,2
632,2,3
635,2,3
636,0,1
638,0,2
641,1,3
642,0,1
644,1,2
647,2,3
649,1,2
652,1,3
656,3,4
658,1,2
661,1,3
665,1,4
667,1,2
669,1,2
671,1,2
673,1,2
675,1,2
677,1,2
679,1,2
681,0,2
683,0,2
685,0,2
687,1,2
689,1,2
691,1,2
692,0,1
694,0,2
696,1,2
698,1,2
700,1,2
702,1,2
704,1,2
705,0,1
707,1,2
709,1,2
711,1,2
712,0,1
714,0,2
716,1,2
718,1,2
720,1,2
722,1,2
724,1,2
726,1,2
727,0,1
729,0,2
731,1,2
733,1,2
734,0,1
736,0,2
738,1,2
740,1,2
742,1,2
743,0,1
745,0,2
747,1,2
751,3,4
753,1,2
755,1,2
756,0,1
758,0,2
760,1,2
761,0,1
763,0,2
765,1,2
767,1,2
769,1,2
771,1,2
773,1,2
775,1,2
776,0,1
778,0,2
780,1,2
782,0,2
784,1,2
794,1,10
796,0,2
798,0,2
800,0,2
802,1,2
808,4,6
810,1,2
812,1,2
814,1,2
819,4,5
821,1,2
823,1,2
825,1,2
827,1,2
829,1,2
831,1,2
832,0,1
834,1,2
836,1,2
838,1,2
840,1,2
842,1,2
843,0,1
845,1,2
847,1,2
849,1,2
851,1,2
853,1,2
855,1,2
857,1,2
859,1,2
860,0,1
862,0,2
864,1,2
866,1,2
868,1,2
869,0,1
871,0,2
873,0,2
875,0,2
878,1,3
880,1,2
882,1,2
884,1,2
886,1,2
888,1,2
890,1,2
892,1,2
893,0,1
895,0,2
897,0,2
901,3,4
902,0,1
904,0,2
906,0,2
908,0,2
911,1,3
916,4,5
920,3,4
929,7,9
934,3,5
939,2,5
941,1,2
944,1,3
980,8,36
983,1,3
985,1,2
987,1,2
989,0,2
991,0,2
993,0,2
995,0,2
997,0,2
999,0,2
1001,0,2
1003,1,2
1005,1,2
1008,1,3
1010,1,2
1012,1,2
1014,1,2
1016,1,2
1018,0,2
1020,0,2
1022,0,2
1024,0,2
1026,0,2
1029,1,3
1031,1,2
1033,1,2
1035,1,2
1037,1,2
1039,1,2
1041,0,2
1044,1,3
1046,1,2
1048,1,2
1051,1,3
1053,1,2
1057,2,4
1061,3,4
1063,1,2
1067,2,4
1071,2,4
1078,2,7
1082,2,4
1085,2,3
1088,1,3
1094,4,6
1098,3,4
1102,3,4
1105,2,3
1109,2,4
1113,2,4
1117,3,4
1120,2,3
1123,2,3
1127,2,4
1130,2,3
1133,1,3
1135,1,2
1137,1,2
1140,1,3
1143,2,3
1148,3,5
1151,2,3
1154,1,3
1158,2,4
1161,2,3
1165,2,4
1168,2,3
1171,1,3
1175,2,4
1179,3,4
1182,2,3
1185,2,3
1187,1,2
1190,2,3
1193,2,3
1196,1,3
1199,1,3
1202,2,3
1205,2,3
1208,2,3
1210,1,2
1213,1,3
1215,1,2
1218,1,3
1221,2,3
1223,1,2
1226,1,3
1229,2,3
1231,1,2
1234,1,3
1237,2,3
1240,2,3
1242,1,2
1245,1,3
1248,2,3
1250,1,2
1253,2,3
1255,1,2
1258,2,3
1260,1,2
1263,1,3
1268,4,5
1274,1,6
1277,1,3
1280,2,3
1283,2,3
1285,1,2
1288,2,3
1290,1,2
1293,2,3
1295,1,2
1298,1,3
1301,2,3
1303,1,2
1305,1,2
1308,1,3
1311,2,3
1313,1,2
1317,2,4
1320,2,3
1323,2,3
1329,5,6
1333,2,4
1337,1,4
1344,5,7
1347,2,3
1349,1,2
1353,2,4
1356,2,3
1359,1,3
1361,1,2
1364,1,3
1367,1,3
1370,2,3
1372,1,2
1375,1,3
1377,1,2
1380,1,3
1383,2,3
1385,1,2
1388,2,3
1392,3,4
1394,1,2
1397,1,3
1400,2,3
1402,1,2
1404,1,2
1406,1,2
1409,1,3
1412,1,3
1414,1,2
1416,1,2
1418,1,2
1419,0,1
1421,1,2
1423,1,2
1424,0,1
1426,0,2
1428,1,2
1432,3,4
1434,1,2
