time (ms),latency (ms),consume (ms)
0,12,0
3,7,3
4,2,1
11,4,7
15,2,4
20,1,5
26,2,6
32,2,6
38,3,6
43,2,5
49,2,6
54,2,5
59,1,5
65,2,6
70,1,5
76,2,6
84,3,8
89,2,5
95,2,6
101,1,6
107,1,6
114,2,7
119,1,5
125,1,6
131,1,6
137,2,6
143,2,6
148,1,5
154,2,6
160,2,6
168,4,8
172,2,4
177,1,5
183,2,6
189,1,6
195,2,6
200,1,5
206,1,6
212,2,6
217,1,5
223,2,6
228,1,5
234,2,6
239,1,5
245,2,6
250,1,5
256,2,6
261,1,5
267,2,6
273,2,6
278,1,5
284,2,6
289,1,5
295,2,6
301,2,6
306,2,5
312,2,6
318,1,6
324,2,6
330,2,6
335,2,5
341,2,6
346,2,5
352,2,6
357,1,5
363,2,6
368,1,5
373,1,5
379,1,6
385,2,6
390,1,5
396,2,6
401,1,5
407,2,6
412,1,5
418,2,6
423,1,5
429,2,6
434,1,5
440,2,6
447,2,7
454,2,7
460,2,6
467,2,7
473,1,6
480,2,7
485,1,5
492,2,7
497,1,5
503,2,6
508,1,5
514,1,6
520,1,6
527,2,7
533,2,6
539,1,6
545,1,6
551,1,6
557,1,6
564,2,7
570,1,6
576,1,6
582,1,6
588,1,6
594,1,6
601,2,7
607,1,6
613,1,6
619,1,6
626,2,7
632,2,6
638,1,6
644,1,6
650,1,6
656,1,6
664,1,8
670,1,6
676,2,6
681,1,5
687,2,6
692,1,5
698,1,6
705,2,7
711,2,6
717,2,6
722,1,5
728,2,6
734,2,6
739,1,5
745,2,6
750,1,5
756,2,6
762,1,6
768,2,6
773,2,5
778,1,5
784,2,6
789,1,5
795,2,6
800,1,5
806,2,6
811,1,5
816,1,5
823,2,7
828,2,5
833,1,5
839,2,6
844,1,5
850,2,6
855,1,5
861,2,6
866,2,5
871,1,5
877,2,6
882,1,5
888,2,6
893,1,5
899,2,6
904,1,5
910,2,6
915,1,5
920,1,5
926,2,6
931,1,5
937,2,6
942,1,5
948,2,6
953,1,5
959,2,6
964,1,5
970,2,6
975,2,5
980,1,5
986,2,6
991,1,5
997,2,6
1002,1,5
1008,2,6
1013,1,5
1019,2,6
1024,1,5
1030,2,6
1035,1,5
1040,1,5
1046,2,6
1051,1,5
1057,2,6
1063,2,6
1069,1,6
1075,2,6
1080,1,5
1086,1,6
1092,2,6
1098,2,6
1103,2,5
1108,1,5
1114,2,6
1119,1,5
1124,1,5
1130,2,6
1135,1,5
1141,2,6
1160,1,19
1166,2,6
1171,1,5
1177,2,6
1182,1,5
1187,1,5
1193,2,6
1198,1,5
1204,2,6
1209,1,5
1215,1,6
1221,2,6
1226,1,5
1232,2,6
1237,1,5
1253,11,16
1254,6,1
1255,1,1
1260,1,5
1266,1,6
1272,1,6
1278,2,6
1284,1,6
1291,2,7
1296,1,5
1302,2,6
1307,1,5
1312,1,5
1318,2,6
1323,1,5
1329,2,6
1334,1,5
1339,1,5
1345,2,6
1350,1,5
1356,2,6
1361,1,5
1367,2,6
1372,1,5
1378,2,6
1383,2,5
1389,2,6
1394,1,5
1400,2,6
1405,1,5
1410,1,5
1416,2,6
1421,1,5
1427,2,6
1432,1,5
1438,1,6
1443,1,5
1449,1,6
1457,2,8
1464,1,7
1470,1,6
1477,2,7
1482,1,5
1488,2,6
1493,1,5
1499,2,6
1504,2,5
1509,1,5
1515,2,6
1520,1,5
1525,1,5
1531,1,6
1536,1,5
1542,2,6
1547,1,5
1553,1,6
1559,2,6
1564,1,5
1570,2,6
1575,1,5
1580,1,5
1586,2,6
1591,1,5
1596,1,5
1602,2,6
1607,1,5
1613,2,6
1618,1,5
1623,1,5
1629,2,6
1634,1,5
1639,1,5
1645,2,6
1650,1,5
1656,2,6
1661,1,5
1667,2,6
1672,2,5
1677,1,5
1684,3,7
1688,1,4
1693,1,5
1699,2,6
1704,1,5
1709,1,5
1715,1,6
1720,1,5
1726,2,6
1731,1,5
1737,2,6
1742,2,5
1747,1,5
1753,2,6
1759,2,6
1764,2,5
1769,2,5
1774,1,5
1780,2,6
1785,1,5
1791,2,6
1796,1,5
1801,1,5
1807,1,6
1813,2,6
1818,1,5
1825,3,7
1829,2,4
1834,1,5
1840,2,6
1845,1,5
1851,2,6
1856,1,5
1862,2,6
1867,1,5
1873,2,6
1878,2,5
1883,1,5
1889,2,6
1894,1,5
1899,1,5
1905,2,6
1910,1,5
1916,2,6
1921,1,5
1927,2,6
1933,3,6
1937,1,4
1943,2,6
1948,1,5
1954,2,6
1959,1,5
1964,1,5
1970,2,6
1975,1,5
1981,2,6
1986,1,5
1991,1,5
1997,2,6
2002,1,5
2008,2,6
2013,1,5
2018,1,5
2024,1,6
2030,2,6
2035,2,5
2040,1,5
2045,1,5
2051,1,6
2056,1,5
2062,2,6
2067,1,5
2073,2,6
2078,1,5
2084,2,6
2089,1,5
2095,1,6
2101,2,6
2106,1,5
2112,2,6
2118,2,6
2124,2,6
2129,1,5
2136,2,7
2141,1,5
2147,2,6
2152,1,5
2171,3,19
2175,1,4
2181,2,6
2186,1,5
2191,1,5
2197,2,6
2202,1,5
2207,1,5
2213,1,6
2218,1,5
2224,2,6
2230,2,6
2234,1,4
2240,2,6
2245,1,5
2250,1,5
2256,1,6
2261,1,5
2266,1,5
2272,1,6
2277,1,5
2282,1,5
2288,1,6
2293,1,5
2299,2,6
2304,1,5
2309,1,5
2315,1,6
2320,1,5
2325,1,5
2331,1,6
2336,1,5
2342,2,6
2347,1,5
2352,1,5
2358,2,6
2363,1,5
2368,1,5
2374,1,6
2379,1,5
2385,2,6
2390,1,5
2395,1,5
2401,2,6
2406,1,5
2412,2,6
2417,1,5
2422,1,5
2428,1,6
2434,1,6
2440,1,6
2446,1,6
2453,2,7
2459,2,6
2464,1,5
2469,1,5
2475,2,6
2480,1,5
2486,2,6
2491,1,5
2496,1,5
2501,1,5
2507,1,6
2512,1,5
2518,2,6
2523,1,5
2528,1,5
2534,2,6
2539,1,5
2544,1,5
2550,2,6
2555,1,5
2561,2,6
2566,1,5
2571,1,5
2577,2,6
2582,1,5
