time (ms),latency (ms),consume (ms)
0,17,0
5,16,5
6,16,1
6,15,0
6,15,0
6,14,0
7,15,1
7,14,0
7,14,0
7,13,0
7,13,0
8,13,1
8,13,0
8,12,0
8,12,0
9,12,1
9,11,0
9,10,0
10,11,1
10,10,0
10,9,0
10,8,0
11,9,1
11,8,0
11,8,0
11,7,0
12,8,1
12,7,0
13,8,1
13,7,0
13,6,0
14,5,1
14,2,0
15,2,1
15,1,0
16,1,1
17,1,1
18,2,1
18,1,0
19,1,1
20,2,1
21,2,1
21,2,0
21,1,0
21,1,0
23,2,2
23,2,0
25,3,2
26,3,1
26,3,0
27,3,1
28,4,1
28,3,0
29,4,1
30,4,1
30,3,0
30,3,0
31,3,1
31,3,0
32,3,1
32,2,0
33,2,1
34,3,1
34,2,0
35,2,1
36,3,1
36,2,0
37,3,1
38,3,1
38,2,0
39,3,1
39,2,0
40,2,1
40,2,0
41,2,1
41,1,0
42,2,1
43,2,1
43,2,0
44,3,1
44,2,0
45,3,1
46,3,1
46,2,0
46,1,0
47,2,1
48,2,1
48,1,0
48,1,0
49,1,1
50,2,1
50,1,0
51,2,1
51,1,0
52,2,1
53,2,1
53,1,0
54,2,1
54,1,0
55,2,1
55,1,0
56,1,1
56,1,0
57,1,1
57,1,0
57,1,0
58,1,1
59,2,1
59,2,0
59,1,0
60,2,1
60,2,0
61,2,1
61,2,0
61,2,0
61,1,0
62,2,1
63,2,1
63,1,0
64,2,1
64,1,0
65,1,1
68,4,3
69,4,1
70,5,1
70,4,0
71,5,1
71,5,0
71,4,0
72,5,1
72,4,0
72,4,0
73,4,1
73,4,0
73,3,0
74,4,1
74,3,0
74,3,0
75,3,1
75,2,0
75,2,0
76,3,1
76,2,0
76,2,0
77,2,1
77,1,0
77,1,0
78,1,1
78,1,0
79,1,1
79,1,0
80,1,1
81,2,1
81,1,0
81,1,0
82,1,1
82,1,0
83,1,1
83,1,0
84,1,1
85,2,1
85,1,0
85,1,0
86,1,1
86,1,0
87,1,1
87,1,0
88,1,1
89,2,1
89,1,0
90,2,1
90,1,0
90,1,0
91,1,1
91,1,0
92,1,1
92,1,0
93,1,1
93,1,0
94,1,1
94,1,0
96,3,2
97,2,1
97,1,0
97,1,0
98,1,1
99,2,1
99,1,0
99,1,0
100,1,1
100,1,0
101,1,1
101,1,0
102,1,1
102,1,0
103,1,1
103,1,0
104,2,1
104,1,0
105,2,1
105,1,0
106,2,1
106,1,0
106,1,0
107,1,1
108,2,1
108,1,0
108,1,0
109,1,1
109,1,0
110,2,1
110,1,0
111,2,1
111,1,0
111,1,0
112,1,1
112,1,0
113,2,1
113,2,0
113,1,0
113,1,0
114,2,1
114,1,0
114,1,0
114,1,0
115,2,1
115,1,0
115,1,0
116,2,1
119,4,3
119,1,0
119,1,0
120,2,1
120,2,0
120,2,0
121,2,1
121,2,0
121,2,0
122,2,1
122,2,0
122,2,0
123,2,1
123,2,0
123,1,0
124,2,1
124,2,0
125,2,1
125,2,0
125,2,0
126,2,1
126,2,0
126,2,0
127,2,1
127,2,0
127,1,0
129,2,2
129,2,0
130,2,1
130,2,0
131,3,1
131,3,0
131,2,0
131,2,0
132,2,1
132,2,0
132,2,0
133,3,1
133,2,0
134,3,1
134,3,0
134,3,0
135,3,1
135,3,0
135,3,0
136,3,1
136,3,0
