time (ms),latency (ms),consume (ms)
0,8,0
7,6,7
7,4,0
8,3,1
9,1,1
12,2,3
13,1,1
15,1,2
18,2,3
20,1,2
22,1,2
23,0,1
25,0,2
30,3,5
32,1,2
34,1,2
36,1,2
38,1,2
41,2,3
43,0,2
45,0,2
47,0,2
49,1,2
51,1,2
53,1,2
55,1,2
58,1,3
60,1,2
61,0,1
64,0,3
67,1,3
71,1,4
74,2,3
76,1,2
77,0,1
80,1,3
82,1,2
85,2,3
89,2,4
92,1,3
94,1,2
96,1,2
98,1,2
100,1,2
102,1,2
105,2,3
107,1,2
109,1,2
115,1,6
117,1,2
119,1,2
120,0,1
122,0,2
124,0,2
126,1,2
128,1,2
130,1,2
131,0,1
133,1,2
135,1,2
137,1,2
139,1,2
141,1,2
143,1,2
144,0,1
147,1,3
149,1,2
151,1,2
153,1,2
155,1,2
156,0,1
159,1,3
161,1,2
163,1,2
165,0,2
168,1,3
169,0,1
171,0,2
174,1,3
178,2,4
181,1,3
183,1,2
185,1,2
188,1,3
190,1,2
192,1,2
194,0,2
197,1,3
199,1,2
201,1,2
203,0,2
206,1,3
208,1,2
210,0,2
213,1,3
215,1,2
217,0,2
219,0,2
221,0,2
223,0,2
225,0,2
228,1,3
230,1,2
232,1,2
234,1,2
236,1,2
238,1,2
239,0,1
241,0,2
243,0,2
245,1,2
248,2,3
250,0,2
252,0,2
254,1,2
257,1,3
263,1,6
265,1,2
267,1,2
268,0,1
270,0,2
272,0,2
274,0,2
276,0,2
279,1,3
281,1,2
283,1,2
285,1,2
287,1,2
289,1,2
291,1,2
293,1,2
295,1,2
297,1,2
298,0,1
300,1,2
302,1,2
304,1,2
306,1,2
308,1,2
310,1,2
313,2,3
315,1,2
318,2,3
320,1,2
322,1,2
325,2,3
327,1,2
329,1,2
331,1,2
333,1,2
335,1,2
336,0,1
338,0,2
340,1,2
342,1,2
344,1,2
346,1,2
351,1,5
352,0,1
354,0,2
356,1,2
358,1,2
360,1,2
361,0,1
363,1,2
365,1,2
367,1,2
369,1,2
371,1,2
372,0,1
374,0,2
376,1,2
378,1,2
380,1,2
383,2,3
385,1,2
386,0,1
388,0,2
390,1,2
392,1,2
395,2,3
397,1,2
399,1,2
401,1,2
403,1,2
405,1,2
408,2,3
412,1,4
415,1,3
416,0,1
421,1,5
423,0,2
425,0,2
427,1,2
429,1,2
431,0,2
433,0,2
435,0,2
437,1,2
439,1,2
441,1,2
449,1,8
451,1,2
453,1,2
454,0,1
456,0,2
458,1,2
460,1,2
462,1,2
463,0,1
465,0,2
467,1,2
469,1,2
471,1,2
473,1,2
476,1,3
502,25,26
503,21,1
503,18,0
503,16,0
503,14,0
505,14,2
505,11,0
505,9,0
505,7,0
505,5,0
505,4,0
505,1,0
507,1,2
508,0,1
510,1,2
512,1,2
514,1,2
515,0,1
518,1,3
521,1,3
523,1,2
525,1,2
527,1,2
529,1,2
531,1,2
534,2,3
538,3,4
538,1,0
540,1,2
541,0,1
545,2,4
547,1,2
549,1,2
550,1,1
552,1,2
554,1,2
555,0,1
557,1,2
559,1,2
561,1,2
563,1,2
565,1,2
566,0,1
568,0,2
570,1,2
572,1,2
574,1,2
575,0,1
577,0,2
579,1,2
581,1,2
583,1,2
584,0,1
586,0,2
588,1,2
590,1,2
592,1,2
594,1,2
595,0,1
597,0,2
599,1,2
601,1,2
603,1,2
604,0,1
606,0,2
608,1,2
611,2,3
613,1,2
615,1,2
616,0,1
618,0,2
620,1,2
622,1,2
624,1,2
625,0,1
627,0,2
629,1,2
631,1,2
633,1,2
635,1,2
637,1,2
638,0,1
640,0,2
644,2,4
646,0,2
648,0,2
650,1,2
652,1,2
654,1,2
655,0,1
657,0,2
659,1,2
661,1,2
663,1,2
665,1,2
667,1,2
668,0,1
670,0,2
672,1,2
674,1,2
675,0,1
677,0,2
684,1,7
686,1,2
688,1,2
689,0,1
691,1,2
693,1,2
697,3,4
699,1,2
700,0,1
702,0,2
706,0,4
708,0,2
710,1,2
712,1,2
714,1,2
715,0,1
717,0,2
719,1,2
721,1,2
723,1,2
724,0,1
726,1,2
728,1,2
730,1,2
731,0,1
733,0,2
735,1,2
737,1,2
739,1,2
741,1,2
743,1,2
745,1,2
747,1,2
749,1,2
751,1,2
753,0,2
755,1,2
757,1,2
758,0,1
760,0,2
762,1,2
764,1,2
765,0,1
767,0,2
769,1,2
771,1,2
772,0,1
774,0,2
776,1,2
778,1,2
780,1,2
782,1,2
785,2,3
787,0,2
789,0,2
791,0,2
793,1,2
796,1,3
799,2,3
805,4,6
809,3,4
811,1,2
813,1,2
815,1,2
836,5,21
848,3,12
850,1,2
851,0,1
853,0,2
855,1,2
857,1,2
858,0,1
860,0,2
862,1,2
864,1,2
866,1,2
867,0,1
869,1,2
871,1,2
873,1,2
874,0,1
876,1,2
878,1,2
