time (ms),latency (ms),consume (ms)
0,25,0
2,15,2
3,14,1
3,9,0
5,7,2
5,5,0
5,2,0
8,2,3
12,3,4
15,2,3
18,2,3
20,1,2
23,1,3
30,5,7
32,1,2
35,1,3
38,2,3
42,2,4
48,5,6
51,2,3
53,1,2
56,1,3
59,1,3
62,1,3
71,7,9
75,2,4
79,2,4
82,2,3
84,1,2
88,1,4
91,1,3
95,2,4
98,2,3
101,1,3
104,1,3
107,1,3
110,1,3
114,2,4
117,2,3
121,2,4
123,1,2
127,2,4
129,1,2
132,1,3
134,1,2
137,1,3
141,2,4
144,2,3
148,1,4
151,1,3
154,2,3
157,2,3
159,1,2
162,1,3
165,2,3
167,1,2
170,1,3
173,2,3
175,1,2
178,1,3
181,1,3
183,1,2
186,1,3
189,1,3
192,2,3
194,1,2
197,1,3
200,2,3
203,2,3
205,1,2
208,1,3
210,1,2
213,1,3
216,1,3
219,2,3
221,1,2
224,1,3
226,1,2
229,1,3
232,2,3
236,1,4
239,2,3
242,2,3
244,1,2
247,1,3
250,2,3
252,1,2
264,10,12
267,2,3
270,2,3
273,1,3
277,3,4
279,1,2
282,1,3
285,1,3
288,2,3
290,1,2
293,1,3
296,2,3
298,1,2
301,1,3
303,1,2
306,1,3
309,2,3
312,2,3
315,1,3
318,2,3
320,1,2
323,1,3
326,2,3
328,1,2
332,2,4
335,2,3
338,2,3
340,1,2
347,1,7
350,2,3
353,2,3
356,1,3
359,1,3
362,2,3
364,1,2
367,1,3
370,2,3
372,1,2
375,1,3
378,1,3
381,2,3
383,1,2
386,1,3
389,2,3
391,1,2
394,1,3
397,2,3
399,1,2
402,1,3
405,2,3
407,1,2
410,1,3
413,2,3
415,1,2
418,1,3
420,1,2
463,37,43
463,32,0
463,31,0
463,29,0
463,27,0
463,26,0
463,25,0
464,24,1
464,23,0
464,22,0
468,24,4
468,23,0
468,22,0
468,20,0
468,19,0
470,19,2
470,18,0
470,15,0
470,14,0
470,12,0
470,11,0
470,10,0
470,5,0
476,1,6
479,2,3
481,1,2
484,1,3
486,1,2
489,1,3
491,1,2
494,1,3
497,2,3
501,3,4
504,1,3
506,1,2
509,1,3
512,2,3
514,1,2
517,1,3
520,1,3
523,2,3
525,1,2
528,1,3
534,4,6
537,2,3
540,2,3
543,2,3
545,1,2
548,1,3
550,1,2
553,1,3
556,2,3
558,1,2
561,2,3
563,1,2
566,1,3
568,1,2
571,1,3
574,2,3
576,1,2
579,2,3
581,1,2
584,2,3
587,2,3
589,1,2
591,1,2
594,1,3
597,2,3
599,1,2
602,2,3
604,1,2
607,1,3
610,2,3
612,1,2
615,2,3
617,1,2
620,1,3
622,1,2
625,1,3
634,5,9
637,2,3
639,1,2
642,1,3
645,2,3
647,1,2
650,1,3
652,1,2
655,1,3
658,2,3
660,1,2
663,1,3
666,2,3
668,1,2
674,4,6
680,4,6
683,2,3
687,2,4
691,2,4
696,3,5
703,5,7
709,5,6
714,3,5
717,2,3
721,2,4
725,2,4
730,4,5
738,3,8
741,2,3
745,2,4
748,2,3
751,2,3
754,1,3
760,2,6
762,1,2
765,1,3
767,1,2
769,1,2
771,0,2
774,1,3
776,1,2
778,1,2
780,1,2
783,1,3
785,1,2
787,1,2
789,1,2
791,0,2
794,1,3
796,1,2
798,1,2
800,1,2
803,1,3
805,1,2
807,1,2
809,0,2
812,1,3
814,1,2
816,1,2
818,1,2
820,1,2
823,1,3
825,1,2
827,1,2
829,1,2
831,1,2
833,1,2
835,0,2
838,1,3
840,1,2
842,1,2
844,1,2
847,2,3
849,1,2
851,1,2
853,1,2
855,0,2
858,1,3
862,3,4
864,1,2
866,1,2
869,1,3
871,1,2
873,1,2
875,1,2
878,1,3
880,1,2
882,1,2
884,1,2
887,1,3
889,1,2
891,1,2
893,0,2
896,1,3
898,1,2
900,1,2
903,1,3
911,1,8
915,1,4
917,1,2
919,1,2
921,1,2
924,1,3
926,1,2
928,1,2
930,1,2
932,0,2
936,1,4
938,1,2
940,1,2
943,1,3
945,1,2
948,1,3
950,1,2
954,3,4
956,1,2
958,1,2
961,1,3
963,1,2
965,1,2
967,1,2
969,1,2
972,1,3
974,1,2
976,1,2
978,1,2
980,0,2
983,1,3
985,1,2
987,1,2
989,1,2
992,1,3
994,1,2
996,1,2
998,1,2
1001,1,3
1003,1,2
1006,1,3
1008,1,2
1011,1,3
1013,1,2
1016,1,3
1019,2,3
1021,1,2
1024,1,3
1026,1,2
1029,1,3
1031,1,2
1035,2,4
1038,1,3
1040,1,2
1043,2,3
1045,1,2
1048,1,3
1051,2,3
1055,3,4
1062,5,7
1066,3,4
1072,1,6
1075,1,3
1077,1,2
1079,1,2
1086,4,7
1088,1,2
1090,1,2
1093,2,3
1095,1,2
1097,1,2
1099,1,2
1102,1,3
1104,1,2
1106,1,2
1109,1,3
1111,1,2
1113,1,2
1115,1,2
1117,1,2
1120,1,3
1122,1,2
1124,1,2
1126,1,2
1128,1,2
1130,1,2
1132,1,2
1135,1,3
1137,1,2
1139,1,2
1141,1,2
1143,1,2
1146,1,3
1148,1,2
1150,1,2
1152,1,2
1154,1,2
1156,1,2
1158,0,2
1161,1,3
1163,1,2
1165,1,2
1167,1,2
1169,1,2
1173,1,4
1176,1,3
1178,1,2
1180,1,2
1182,1,2
1184,0,2
1187,1,3
1189,1,2
1191,1,2
1193,1,2
1196,1,3
1198,1,2
1200,1,2
1202,1,2
1205,1,3
1207,1,2
1209,1,2
1211,1,2
1213,1,2
1216,1,3
1218,1,2
1220,1,2
1223,1,3
1225,1,2
1227,1,2
1230,1,3
1232,1,2
1235,1,3
1237,1,2
1240,1,3
1242,1,2
1245,1,3
1247,1,2
1250,1,3
1252,1,2
1255,1,3
1257,1,2
1260,1,3
1262,1,2
1265,1,3
1267,1,2
1270,2,3
1272,1,2
1275,1,3
1278,2,3
1280,1,2
1282,1,2
1285,1,3
1287,1,2
1290,1,3
1309,18,19
1310,11,1
1310,9,0
1310,6,0
1310,4,0
1310,2,0
1312,2,2
1315,2,3
1317,1,2
1319,1,2
1322,2,3
1331,8,9
1331,4,0
1331,2,0
1333,1,2
1335,1,2
1337,1,2
1340,1,3
1342,1,2
1345,1,3
1347,1,2
1350,1,3
1352,1,2
1355,2,3
1358,2,3
1360,1,2
1363,1,3
1366,1,3
1369,1,3
1371,1,2
1374,1,3
1380,5,6
1383,2,3
1386,2,3
1394,7,8
1396,1,2
1399,1,3
1409,9,10
1434,10,25
1441,2,7
1443,1,2
1445,1,2
1448,1,3
1450,1,2
1452,1,2
1455,1,3
1457,1,2
1459,1,2
1462,1,3
1464,1,2
1466,1,2
1470,2,4
1472,1,2
1474,1,2
1477,1,3
1479,1,2
1482,1,3
1484,1,2
1486,1,2
1489,1,3
1491,1,2
1493,1,2
1496,1,3
1502,5,6
1504,1,2
1507,1,3
1509,1,2
1511,1,2
1513,1,2
1516,1,3
1518,1,2
1520,1,2
1524,1,4
1526,1,2
1528,1,2
1531,1,3
1533,1,2
1536,1,3
1538,1,2
1541,1,3
1543,1,2
1546,1,3
1548,1,2
1550,1,2
1553,1,3
1556,1,3
1559,1,3
1562,2,3
1568,1,6
1571,2,3
1573,1,2
1576,1,3
1579,2,3
1582,2,3
1585,2,3
1587,1,2
1589,1,2
1591,1,2
1593,1,2
1596,1,3
1598,1,2
1600,1,2
1602,1,2
1605,1,3
1607,1,2
1609,1,2
1611,1,2
1614,1,3
1616,1,2
1618,1,2
1620,1,2
1623,1,3
1625,1,2
1627,1,2
1629,1,2
1632,1,3
1634,1,2
1636,1,2
1638,1,2
1640,1,2
1643,1,3
1645,1,2
1647,1,2
1649,1,2
1651,1,2
1654,1,3
1656,1,2
1658,1,2
1660,1,2
1663,1,3
1665,1,2
1667,1,2
1669,1,2
1671,1,2
1674,1,3
1676,1,2
1678,1,2
1680,1,2
1682,1,2
1685,1,3
1687,1,2
1689,1,2
1691,1,2
1694,1,3
1696,1,2
1698,1,2
1700,1,2
1702,0,2
1705,1,3
1707,1,2
1709,1,2
1712,1,3
1714,1,2
1716,1,2
1719,1,3
1721,1,2
1724,2,3
1726,1,2
1728,1,2
1730,1,2
1732,1,2
1736,2,4
1739,1,3
1741,1,2
1743,1,2
1746,2,3
1749,1,3
1751,1,2
1753,1,2
1756,1,3
1758,1,2
1761,2,3
1763,1,2
1765,1,2
1767,1,2
1770,1,3
1772,1,2
1774,1,2
1776,1,2
1779,1,3
1781,1,2
1783,1,2
1785,0,2
1788,1,3
1790,1,2
1792,1,2
1798,5,6
1800,1,2
1802,1,2
1805,1,3
1808,2,3
1811,2,3
1819,7,8
1821,1,2
1823,1,2
1825,1,2
1827,1,2
1829,0,2
1832,1,3
1834,1,2
1836,1,2
1838,1,2
1840,1,2
1842,1,2
1844,1,2
1846,0,2
1849,1,3
1851,1,2
1853,1,2
1855,1,2
1858,1,3
1860,1,2
1862,1,2
1864,1,2
1866,1,2
1869,1,3
1871,1,2
1874,1,3
1876,1,2
1879,1,3
1881,1,2
1884,2,3
1886,1,2
1888,1,2
1891,2,3
1893,1,2
1895,1,2
1897,1,2
1903,4,6
1905,1,2
1908,1,3
1910,1,2
1913,1,3
1915,1,2
1918,2,3
1920,1,2
1923,2,3
1925,1,2
1928,1,3
1930,1,2
1932,1,2
1934,1,2
1936,1,2
1938,0,2
1941,1,3
1943,1,2
1945,1,2
1947,1,2
1949,1,2
1953,2,4
1955,1,2
1960,3,5
1962,1,2
1965,2,3
1967,1,2
1970,1,3
1972,1,2
1977,3,5
1980,1,3
1982,1,2
1984,1,2
1987,2,3
1990,2,3
1992,1,2
1994,1,2
1997,1,3
1999,1,2
2002,1,3
2004,1,2
2006,0,2
2009,1,3
2011,1,2
2013,1,2
2015,1,2
2018,1,3
2021,1,3
2024,2,3
2026,1,2
2028,1,2
2036,1,8
2039,2,3
2041,1,2
2044,1,3
2047,2,3
2050,2,3
2053,1,3
2055,1,2
2057,1,2
2059,1,2
2061,1,2
2063,1,2
2065,1,2
2068,2,3
2070,1,2
2072,1,2
2075,1,3
2077,1,2
2079,1,2
2081,1,2
2086,2,5
2089,2,3
2091,1,2
2094,1,3
2096,1,2
2099,1,3
2101,1,2
2103,1,2
2106,1,3
2108,1,2
2110,1,2
2113,2,3
2115,1,2
2117,1,2
2119,1,2
2122,1,3
2124,1,2
2126,1,2
2128,1,2
2130,1,2
2132,0,2
2135,1,3
2137,1,2
2139,1,2
2141,1,2
2143,1,2
2146,1,3
2148,1,2
2151,1,3
2153,1,2
2156,1,3
2158,1,2
2160,1,2
2163,1,3
2165,1,2
2167,1,2
2169,1,2
2172,1,3
2174,1,2
2176,1,2
2178,1,2
2180,1,2
2182,0,2
2185,1,3
2192,1,7
2194,1,2
2196,1,2
2198,1,2
2200,1,2
2202,0,2
2205,1,3
2207,1,2
2209,1,2
2211,1,2
2213,1,2
2215,1,2
2217,1,2
2219,1,2
2221,1,2
2223,0,2
2225,0,2
2227,0,2
2229,0,2
2231,1,2
2233,1,2
2235,1,2
2237,1,2
2239,0,2
2241,0,2
2243,0,2
2245,0,2
2247,0,2
2249,0,2
2251,1,2
2253,1,2
2255,1,2
2257,1,2
2259,1,2
2261,1,2
2263,1,2
2265,1,2
2267,1,2
2269,1,2
2271,1,2
2273,1,2
2275,1,2
2277,1,2
2278,0,1
2280,0,2
2282,0,2
2284,0,2
2286,1,2
2288,1,2
2290,1,2
2292,1,2
2294,1,2
2296,1,2
2298,1,2
2300,1,2
2302,1,2
2304,1,2
2306,1,2
2308,1,2
2310,1,2
2312,1,2
2314,1,2
2316,1,2
2318,1,2
2320,1,2
2322,1,2
2324,1,2
2327,2,3
2329,1,2
2331,1,2
2333,1,2
2336,1,3
2338,1,2
2342,1,4
2344,1,2
2346,1,2
2348,1,2
2350,0,2
2352,0,2
2354,1,2
2356,1,2
2358,1,2
2360,1,2
2362,1,2
2364,1,2
2366,1,2
2372,1,6
2374,1,2
2376,1,2
2377,0,1
2379,0,2
2381,0,2
2383,0,2
2385,0,2
2387,0,2
2389,1,2
2391,0,2
2393,1,2
2395,1,2
2397,1,2
2399,1,2
2401,1,2
2403,1,2
2405,1,2
2407,1,2
2409,1,2
2411,1,2
2414,2,3
2416,1,2
2418,1,2
2420,1,2
2422,1,2
2426,0,4
2431,0,5
2433,0,2
2435,0,2
2437,1,2
2439,1,2
2441,1,2
2443,1,2
2445,1,2
2447,1,2
2449,1,2
2451,1,2
2452,0,1
2454,0,2
2456,0,2
2458,0,2
2460,1,2
2462,1,2
2464,1,2
2466,1,2
2468,1,2
2470,1,2
2472,1,2
2474,1,2
2476,1,2
2478,1,2
2480,1,2
2482,1,2
2484,1,2
2486,1,2
2488,1,2
2490,1,2
2492,1,2
2494,1,2
2496,1,2
2498,1,2
2500,1,2
2502,1,2
2505,1,3
2507,1,2
2509,1,2
2512,1,3
2514,1,2
2515,0,1
2517,0,2
2519,0,2
2521,1,2
2523,1,2
2525,1,2
2527,1,2
2529,1,2
2531,1,2
2533,1,2
2535,1,2
2537,1,2
2539,1,2
2540,0,1
2542,0,2
2544,0,2
2546,1,2
2548,1,2
2550,1,2
2555,0,5
2557,0,2
2559,0,2
2561,1,2
2563,0,2
2568,1,5
2570,1,2
2572,1,2
2574,1,2
2576,1,2
2578,1,2
2579,0,1
2581,0,2
2583,1,2
2585,1,2
2587,1,2
2589,1,2
2590,0,1
2592,0,2
2594,0,2
2596,0,2
2598,1,2
2600,1,2
2602,1,2
2604,1,2
2606,1,2
2608,1,2
2610,1,2
2612,1,2
2614,1,2
2617,1,3
2619,1,2
2621,1,2
2624,1,3
2626,1,2
2628,1,2
2631,1,3
2633,1,2
2635,1,2
2637,0,2
2640,1,3
2642,1,2
2644,1,2
2646,1,2
2649,1,3
2651,1,2
2653,1,2
2655,1,2
2658,1,3
2660,1,2
2663,1,3
2665,1,2
2668,1,3
2671,1,3
2674,2,3
2676,1,2
2678,1,2
2681,1,3
2683,1,2
2686,1,3
2688,1,2
2691,1,3
2693,1,2
2695,1,2
2697,1,2
2700,1,3
2702,1,2
2704,1,2
2706,0,2
2709,1,3
2711,1,2
2713,1,2
2715,1,2
2718,1,3
2720,1,2
2722,1,2
2726,1,4
2729,1,3
2732,1,3
2735,1,3
2738,2,3
2740,1,2
2743,1,3
2746,2,3
2748,1,2
2751,1,3
2760,1,9
2763,1,3
2766,2,3
2768,1,2
2771,1,3
2774,2,3
2777,2,3
2779,1,2
2782,1,3
2784,1,2
2787,1,3
2790,1,3
2793,2,3
2795,1,2
2798,1,3
2801,1,3
2804,2,3
2807,2,3
2809,1,2
2812,1,3
2815,1,3
2818,2,3
2820,1,2
2823,1,3
2826,1,3
2829,2,3
2831,1,2
2834,1,3
2837,1,3
2840,2,3
2842,1,2
2845,1,3
2848,2,3
2850,1,2
2853,1,3
2856,2,3
2859,2,3
2862,2,3
2864,1,2
2867,1,3
2870,2,3
2872,1,2
2875,2,3
2877,1,2
2880,1,3
2882,1,2
2885,1,3
2887,1,2
2890,2,3
2892,1,2
2895,1,3
2897,1,2
2899,1,2
2902,1,3
2908,1,6
2911,2,3
2913,1,2
2915,1,2
2917,1,2
2920,1,3
2922,1,2
2924,1,2
2927,1,3
2929,1,2
2932,2,3
2934,1,2
2937,1,3
2939,1,2
2941,1,2
2943,1,2
2946,1,3
2948,1,2
2950,1,2
2953,1,3
2955,0,2
2958,1,3
2960,1,2
2963,1,3
2965,1,2
2967,1,2
2970,1,3
2972,1,2
2974,1,2
2977,1,3
2979,1,2
2981,1,2
2984,1,3
2986,1,2
2989,2,3
2991,1,2
2993,1,2
2995,1,2
2997,1,2
3000,1,3
3002,1,2
3004,1,2
3006,1,2
3009,1,3
3011,1,2
3013,1,2
3015,1,2
3018,1,3
3021,2,3
3023,1,2
3025,1,2
3028,1,3
3030,1,2
3041,3,11
3043,1,2
3046,1,3
3048,1,2
3051,1,3
3053,1,2
3055,1,2
3058,1,3
3060,1,2
3063,1,3
3065,1,2
3067,1,2
3070,1,3
3073,1,3
3075,1,2
3078,1,3
3080,1,2
3083,1,3
3091,1,8
3092,1,1
3093,1,1
3095,1,2
3097,2,2
3098,1,1
3100,2,2
3101,1,1
3102,1,1
3106,3,4
3106,2,0
3107,1,1
3110,3,3
3110,1,0
3118,2,8
3118,1,0
3126,4,8
3126,3,0
3128,1,2
3142,8,14
3142,7,0
3142,6,0
3142,4,0
3146,3,4
3146,1,0
3166,12,20
3166,11,0
3166,10,0
3166,8,0
3169,3,3
3169,1,0
3178,4,9
3178,3,0
3178,2,0
3190,8,12
3190,7,0
3195,5,5
3196,5,1
3196,3,0
3196,2,0
3207,5,11
3207,4,0
3207,3,0
3208,2,1
3211,1,3
3212,1,1
3213,1,1
3214,0,1
3216,1,2
3217,1,1
3218,1,1
3219,0,1
3221,1,2
3222,1,1
3223,1,1
3224,1,1
3226,1,2
3227,1,1
3228,1,1
3229,1,1
3231,1,2
3232,1,1
3233,1,1
3236,3,3
3236,1,0
3237,1,1
3238,1,1
3239,1,1
3240,0,1
3242,1,2
3243,1,1
3244,0,1
3246,1,2
3247,1,1
3248,0,1
3250,1,2
3251,1,1
3253,2,2
3254,2,1
3255,1,1
3256,1,1
3260,4,4
3266,1,6
3267,1,1
3269,1,2
3270,1,1
3271,1,1
3273,1,2
3274,1,1
3286,4,12
3286,3,0
3286,1,0
3292,2,6
3293,2,1
3295,1,2
3296,1,1
3297,1,1
3299,1,2
3300,1,1
3302,1,2
3303,1,1
3304,1,1
3305,1,1
3306,0,1
3308,1,2
3310,1,2
3313,1,3
3314,1,1
3315,1,1
3316,0,1
3322,5,6
3322,4,0
3322,2,0
3326,3,4
3328,1,2
3342,8,14
3342,7,0
3342,6,0
3342,4,0
3350,7,8
3350,5,0
3355,4,5
3355,3,0
3355,1,0
3362,5,7
3369,6,7
3369,4,0
3374,3,5
3382,7,8
3382,5,0
3387,4,5
3387,2,0
3387,1,0
3399,5,12
3399,4,0
3399,2,0
3399,1,0
3406,5,7
3414,7,8
3414,6,0
3414,4,0
3418,3,4
3418,1,0
3430,8,12
3430,7,0
3435,5,5
3435,4,0
3436,3,1
3436,2,0
3447,5,11
3447,4,0
3447,3,0
3447,1,0
3459,5,12
3459,4,0
3459,3,0
3459,1,0
3466,5,7
3471,4,5
3471,3,0
3471,1,0
3478,3,7
3478,1,0
3482,3,4
3486,3,4
3491,4,5
3494,3,3
3494,2,0
3502,5,8
3505,1,3
3507,1,2
3509,1,2
3511,1,2
3513,1,2
3515,0,2
3518,1,3
3520,1,2
3522,1,2
3524,1,2
3526,0,2
3529,1,3
3531,1,2
3533,1,2
3535,1,2
3537,1,2
3539,0,2
3542,1,3
3544,1,2
3546,1,2
3548,1,2
3550,1,2
3553,1,3
3555,1,2
3557,1,2
3559,1,2
3561,1,2
3563,1,2
3566,1,3
3568,1,2
3570,1,2
3572,1,2
3575,1,3
3577,1,2
3580,1,3
3582,1,2
3584,1,2
3586,1,2
3589,1,3
3591,1,2
3593,1,2
3595,1,2
3597,1,2
3599,0,2
3602,1,3
3604,1,2
3606,1,2
3608,0,2
3611,1,3
3613,1,2
3615,1,2
3617,1,2
3619,1,2
3621,0,2
3624,1,3
3626,1,2
3628,1,2
3630,1,2
3632,1,2
3634,1,2
3637,1,3
3639,1,2
3641,1,2
3643,1,2
3645,1,2
3647,1,2
3650,1,3
3652,1,2
3654,1,2
3657,1,3
3659,1,2
3661,1,2
3664,1,3
3666,1,2
3668,1,2
3671,1,3
3673,1,2
3676,1,3
3679,1,3
3682,2,3
3685,2,3
3687,1,2
3690,2,3
3692,1,2
3695,2,3
3697,1,2
3700,1,3
3702,1,2
3704,1,2
3706,1,2
3709,1,3
3711,1,2
3714,2,3
3716,1,2
3718,1,2
3720,1,2
3723,1,3
3725,1,2
3727,1,2
3729,1,2
3731,1,2
3733,1,2
3735,1,2
3737,1,2
3740,1,3
3742,1,2
3744,1,2
3746,1,2
3748,1,2
3750,1,2
3752,1,2
3755,1,3
3757,1,2
3759,1,2
3761,1,2
3763,1,2
3765,0,2
3767,1,2
3769,1,2
3771,0,2
3773,0,2
3775,0,2
3777,0,2
3779,0,2
3781,0,2
3784,1,3
3786,1,2
3788,1,2
3790,1,2
3792,1,2
3794,1,2
3796,1,2
3798,1,2
3800,1,2
3802,1,2
3804,1,2
3806,1,2
3808,1,2
3811,1,3
3813,1,2
3815,1,2
3818,1,3
3820,1,2
3822,1,2
3825,1,3
3827,1,2
3829,1,2
3831,0,2
3833,0,2
3835,0,2
3837,0,2
3839,0,2
3841,0,2
3843,0,2
3845,0,2
3847,0,2
3849,0,2
3851,0,2
3853,0,2
3855,0,2
3857,0,2
3862,3,5
3868,1,6
3870,1,2
3872,1,2
3875,2,3
3877,1,2
3879,1,2
3881,0,2
3883,0,2
3885,1,2
3887,1,2
3889,0,2
3891,0,2
3893,0,2
3895,0,2
3898,1,3
3900,1,2
3902,1,2
3904,1,2
3906,1,2
3908,1,2
3910,1,2
3912,1,2
3914,1,2
3916,1,2
3918,1,2
3920,1,2
3922,0,2
3925,1,3
3927,1,2
3929,1,2
3931,1,2
3933,1,2
3935,1,2
3937,1,2
3939,1,2
3941,0,2
3943,1,2
3945,1,2
3948,0,3
3950,1,2
3952,1,2
3954,1,2
3960,4,6
3960,1,0
3961,0,1
3963,0,2
3965,0,2
3967,0,2
3969,0,2
3972,1,3
3974,1,2
3976,1,2
3979,1,3
3981,1,2
3983,1,2
3985,1,2
3987,1,2
3989,0,2
3992,1,3
3994,1,2
3996,1,2
3998,1,2
4000,1,2
4002,1,2
4004,0,2
4006,0,2
4008,0,2
4011,1,3
4013,1,2
4015,1,2
4017,1,2
4019,1,2
4022,2,3
4024,1,2
4026,1,2
4028,1,2
4030,1,2
4032,1,2
4034,1,2
4036,1,2
4038,1,2
4040,0,2
4042,1,2
4045,1,3
4047,1,2
4049,1,2
4051,0,2
4053,0,2
4055,0,2
4057,0,2
4060,1,3
4062,1,2
4066,3,4
4071,1,5
4073,0,2
4076,1,3
4078,1,2
4080,1,2
4082,1,2
4084,1,2
4086,1,2
4088,1,2
4090,1,2
4092,1,2
4100,1,8
4102,1,2
4104,1,2
4106,1,2
4108,1,2
4112,1,4
4114,1,2
4116,1,2
4118,1,2
4121,1,3
4123,1,2
4125,1,2
4128,2,3
4129,0,1
4131,0,2
4133,0,2
4135,0,2
4137,0,2
4139,0,2
4142,1,3
4144,1,2
4146,1,2
4148,1,2
4150,1,2
4151,0,1
4153,0,2
4155,0,2
4157,0,2
4159,0,2
4161,0,2
4164,1,3
4166,1,2
4168,1,2
4170,1,2
4172,1,2
4174,1,2
4176,1,2
4178,1,2
4180,1,2
4182,1,2
4184,1,2
4186,1,2
4188,1,2
4190,1,2
4192,1,2
4194,1,2
4196,1,2
4198,1,2
4200,1,2
4203,1,3
4205,1,2
4207,1,2
4209,1,2
4211,1,2
4212,0,1
4214,0,2
4216,0,2
4218,0,2
4220,0,2
4222,0,2
4224,0,2
4227,1,3
4229,1,2
4231,1,2
4233,1,2
4236,1,3
4238,1,2
4241,1,3
4243,1,2
4245,1,2
4248,1,3
4250,1,2
4252,1,2
4259,5,7
4261,1,2
4263,1,2
4265,1,2
4268,1,3
4270,1,2
4273,1,3
4275,1,2
4278,1,3
4280,1,2
4282,1,2
4285,1,3
4287,1,2
4290,2,3
4292,1,2
4294,1,2
4297,1,3
4302,1,5
4305,1,3
4307,1,2
4309,1,2
4312,1,3
4314,1,2
4317,1,3
4319,1,2
4321,1,2
4324,1,3
4326,1,2
4329,2,3
4331,1,2
4333,1,2
4336,1,3
4338,1,2
4341,2,3
4343,1,2
4346,1,3
4349,2,3
4351,1,2
4354,1,3
4357,2,3
4359,1,2
4361,1,2
4364,1,3
4366,1,2
4368,1,2
4375,5,7
4377,1,2
4379,1,2
4381,1,2
4384,1,3
4386,1,2
4388,1,2
4390,1,2
4392,1,2
4394,0,2
4397,1,3
4399,1,2
