time (ms),latency (ms),consume (ms)
0,8,0
35,33,35
35,28,0
35,22,0
36,17,1
36,12,0
36,6,0
38,2,2
43,1,5
49,2,6
55,2,6
62,3,7
65,1,3
71,2,6
78,2,7
83,1,5
89,2,6
94,1,5
101,2,7
106,2,5
112,2,6
116,1,4
121,1,5
128,3,7
132,2,4
138,2,6
144,2,6
152,4,8
157,2,5
163,2,6
167,1,4
173,2,6
179,2,6
185,2,6
189,1,4
195,1,6
200,1,5
206,2,6
212,2,6
217,1,5
224,3,7
229,2,5
234,2,5
239,1,5
244,1,5
250,1,6
255,1,5
260,1,5
265,1,5
270,1,5
275,1,5
281,1,6
287,2,6
294,3,7
299,1,5
305,1,6
310,1,5
316,1,6
321,1,5
326,1,5
332,1,6
340,4,8
345,3,5
348,1,3
354,1,6
361,2,7
366,1,5
372,1,6
377,1,5
383,1,6
388,1,5
393,1,5
398,1,5
403,1,5
408,1,5
415,2,7
420,2,5
425,1,5
430,1,5
435,1,5
441,1,6
448,3,7
453,1,5
459,1,6
464,1,5
470,1,6
475,1,5
481,1,6
487,2,6
494,3,7
500,2,6
506,2,6
511,1,5
517,2,6
522,1,5
528,2,6
533,1,5
539,2,6
544,1,5
550,2,6
555,1,5
561,2,6
566,1,5
572,2,6
577,1,5
583,2,6
588,1,5
593,1,5
599,1,6
604,1,5
610,1,6
615,1,5
620,1,5
626,2,6
631,1,5
636,1,5
642,1,6
648,2,6
653,1,5
659,2,6
664,1,5
670,2,6
675,1,5
682,3,7
690,4,8
696,2,6
701,1,5
708,3,7
714,2,6
725,8,11
730,3,5
741,6,11
745,1,4
750,1,5
756,1,6
761,1,5
767,1,6
772,1,5
778,2,6
783,1,5
788,1,5
794,1,6
799,1,5
804,1,5
809,1,5
815,1,6
820,1,5
826,2,6
831,1,5
860,19,29
860,14,0
860,9,0
860,4,0
863,2,3
868,1,5
873,1,5
878,1,5
884,1,6
889,1,5
895,1,6
900,1,5
906,1,6
911,1,5
916,1,5
921,1,5
927,1,6
932,1,5
938,1,6
943,1,5
949,1,6
954,1,5
960,1,6
965,1,5
971,1,6
976,1,5
982,2,6
987,1,5
992,1,5
998,1,6
1004,2,6
1009,1,5
1014,1,5
1019,1,5
1026,2,7
1031,1,5
1037,1,6
1043,2,6
1048,1,5
1053,1,5
1059,1,6
1064,1,5
1070,1,6
1076,2,6
1081,1,5
1088,3,7
1092,1,4
1098,2,6
1103,1,5
1108,1,5
1114,1,6
1119,1,5
1125,1,6
1130,1,5
1135,1,5
1140,1,5
1146,1,6
1151,1,5
1157,1,6
1162,1,5
1167,1,5
1173,1,6
1190,13,17
1191,9,1
1191,4,0
1194,2,3
1199,2,5
1205,1,6
1210,1,5
1215,1,5
1220,1,5
1225,1,5
1232,2,7
1238,1,6
1243,1,5
1248,1,5
1254,2,6
1260,1,6
1265,1,5
1270,1,5
1276,2,6
1282,1,6
1287,1,5
1292,1,5
1297,1,5
1302,1,5
1308,1,6
1313,1,5
1319,2,6
1324,1,5
1329,1,5
1335,1,6
1340,1,5
1346,1,6
1351,1,5
1357,1,6
1362,1,5
1368,2,6
1373,1,5
1378,1,5
1384,1,6
1389,1,5
1395,1,6
1400,1,5
1406,1,6
1411,1,5
1416,1,5
1421,1,5
1427,1,6
1432,1,5
1437,1,5
1442,1,5
1447,1,5
1453,2,6
1457,1,4
1462,1,5
1468,1,6
1473,1,5
1479,1,6
1484,1,5
1490,1,6
1495,1,5
1501,2,6
1506,1,5
1511,1,5
1517,1,6
1522,1,5
1528,1,6
1533,1,5
1539,2,6
1544,1,5
1549,1,5
1555,1,6
1560,1,5
1566,1,6
1571,1,5
1577,2,6
1582,1,5
1588,2,6
1593,1,5
1598,1,5
1604,1,6
1609,1,5
1615,1,6
1620,1,5
1626,1,6
1631,1,5
1637,1,6
1642,1,5
1648,1,6
1653,1,5
1659,2,6
1664,1,5
1669,1,5
1675,1,6
1680,1,5
1686,1,6
1691,1,5
1697,2,6
1702,1,5
1707,1,5
1713,1,6
1718,1,5
1724,1,6
1729,1,5
1735,2,6
1740,1,5
1745,1,5
1751,1,6
1756,1,5
1762,1,6
1768,1,6
1773,1,5
1779,2,6
1784,1,5
1789,1,5
1795,1,6
1800,1,5
1806,2,6
1812,2,6
1817,1,5
1822,1,5
1828,1,6
1833,1,5
1839,1,6
1844,1,5
1850,2,6
1855,1,5
1860,1,5
1866,1,6
1871,1,5
1877,1,6
1882,1,5
1888,2,6
1893,1,5
1898,1,5
1904,1,6
1909,1,5
1915,1,6
1920,1,5
1926,1,6
1931,1,5
1937,2,6
1942,1,5
1947,1,5
1953,1,6
1958,1,5
1964,1,6
1969,1,5
1975,2,6
1980,1,5
1985,1,5
1991,1,6
1996,1,5
2002,1,6
2008,2,6
2013,1,5
2019,1,6
2024,1,5
2029,1,5
2035,1,6
2040,1,5
2046,1,6
2051,1,5
2057,1,6
2062,1,5
2068,2,6
2073,1,5
2079,1,6
2085,2,6
2090,1,5
2095,1,5
2101,1,6
2106,1,5
2112,1,6
2117,1,5
2128,3,11
2138,8,10
2145,3,7
2149,1,4
2155,1,6
2161,2,6
2167,2,6
2172,1,5
2200,23,28
2200,3,0
2203,1,3
2208,1,5
2213,1,5
2218,1,5
2223,1,5
2229,2,6
2235,1,6
2240,1,5
2246,2,6
2252,1,6
2257,1,5
2262,1,5
2267,1,5
2272,1,5
2278,2,6
2284,1,6
2289,1,5
2294,1,5
2299,1,5
2304,1,5
2310,1,6
2315,1,5
2320,1,5
2325,1,5
2331,1,6
2336,1,5
2342,1,6
2347,1,5
2353,1,6
2358,1,5
2364,2,6
2369,1,5
2375,2,6
2380,1,5
2386,1,6
2396,1,10
2402,1,6
2408,2,6
2413,1,5
2419,1,6
2425,2,6
2429,1,4
2434,1,5
2440,1,6
2446,2,6
2451,1,5
2457,2,6
2462,1,5
2468,1,6
2473,1,5
2479,1,6
2484,1,5
2490,1,6
2496,1,6
2501,1,5
2507,2,6
2512,1,5
2517,1,5
2523,1,6
2528,1,5
2533,1,5
2538,1,5
2544,1,6
2549,1,5
2555,1,6
2560,1,5
2566,1,6
2571,1,5
2577,1,6
2582,1,5
2588,2,6
2593,1,5
2599,1,6
2604,1,5
2610,2,6
2615,2,5
2621,2,6
2625,1,4
2630,1,5
2635,1,5
2640,1,5
2646,1,6
2651,1,5
2657,2,6
2662,1,5
2667,1,5
2673,1,6
2678,1,5
2684,2,6
2689,1,5
2695,2,6
2700,1,5
2706,1,6
2712,2,6
2717,1,5
2722,1,5
2727,1,5
2733,2,6
