time (ms),latency (ms),consume (ms)
0,11,0
5,3,5
15,2,10
27,3,12
36,2,9
47,2,11
58,1,11
69,1,11
80,1,11
91,2,11
101,1,10
112,1,11
123,2,11
134,2,11
144,1,10
155,1,11
166,2,11
177,2,11
188,2,11
199,2,11
209,1,10
220,2,11
230,1,10
241,2,11
251,1,10
262,2,11
272,1,10
284,3,12
294,2,10
304,1,10
314,1,10
325,1,11
336,2,11
347,2,11
357,1,10
368,2,11
378,1,10
389,2,11
400,2,11
411,1,11
422,2,11
432,1,10
443,2,11
453,1,10
464,1,11
475,2,11
485,1,10
496,2,11
506,1,10
517,1,11
528,2,11
538,1,10
549,2,11
559,1,10
570,2,11
581,2,11
591,1,10
602,1,11
613,2,11
623,1,10
634,1,11
645,2,11
655,1,10
666,1,11
676,1,10
687,1,11
698,2,11
708,1,10
719,2,11
729,1,10
740,2,11
750,1,10
761,2,11
771,1,10
782,1,11
795,2,13
805,1,10
816,1,11
826,1,10
837,1,11
848,2,11
858,1,10
869,1,11
880,2,11
891,2,11
901,2,10
911,1,10
922,2,11
932,1,10
943,2,11
953,1,10
964,2,11
974,1,10
984,1,10
995,1,11
1006,1,11
1017,1,11
1028,2,11
1038,1,10
1049,1,11
1059,1,10
1070,1,11
1080,1,10
1091,1,11
1101,1,10
1112,2,11
1122,1,10
1133,2,11
1143,1,10
1154,2,11
1164,1,10
1175,1,11
1186,2,11
1197,1,11
1209,2,12
1220,1,11
1230,1,10
1241,1,11
1251,1,10
1262,2,11
1273,1,11
1284,1,11
1295,2,11
1305,1,10
1316,1,11
1327,2,11
1338,2,11
1348,1,10
1359,2,11
1369,1,10
1380,1,11
1392,2,12
1403,1,11
1414,1,11
1426,2,12
1436,1,10
1446,1,10
1457,1,11
1467,1,10
1478,2,11
1488,1,10
1499,2,11
1509,1,10
1521,3,12
1531,1,10
1542,1,11
1553,2,11
1563,1,10
1574,1,11
1585,2,11
1595,1,10
1605,1,10
1616,2,11
1626,1,10
1636,1,10
1647,1,11
1657,1,10
1668,1,11
1678,1,10
1689,2,11
1699,1,10
1710,1,11
1721,1,11
1732,1,11
1742,1,10
1753,1,11
1763,1,10
1774,2,11
1784,1,10
1795,2,11
1805,1,10
1815,1,10
1826,1,11
1836,1,10
1847,2,11
