time (ms),latency (ms),consume (ms)
0,11,0
4,6,4
7,3,3
13,4,6
17,2,4
23,2,6
28,1,5
34,2,6
40,2,6
46,2,6
51,1,5
57,2,6
63,2,6
69,2,6
74,1,5
80,2,6
86,2,6
92,2,6
98,2,6
104,2,6
109,2,5
115,2,6
120,1,5
126,1,6
132,2,6
138,2,6
143,1,5
149,2,6
155,2,6
161,2,6
166,1,5
172,2,6
178,1,6
184,2,6
190,2,6
196,2,6
202,2,6
208,2,6
214,2,6
220,1,6
226,2,6
232,2,6
238,2,6
243,1,5
249,1,6
255,2,6
261,2,6
267,2,6
273,2,6
279,2,6
285,2,6
291,2,6
296,1,5
302,2,6
308,2,6
314,2,6
320,2,6
325,1,5
331,2,6
337,2,6
342,1,5
348,2,6
353,1,5
359,2,6
365,2,6
370,2,5
376,2,6
381,2,5
386,1,5
392,2,6
397,1,5
403,2,6
408,1,5
414,2,6
421,2,7
427,1,6
433,1,6
440,2,7
448,4,8
451,2,3
457,2,6
462,1,5
468,2,6
474,2,6
479,1,5
485,2,6
490,1,5
495,1,5
501,2,6
506,1,5
512,2,6
517,1,5
523,2,6
529,2,6
534,2,5
540,2,6
545,1,5
551,2,6
556,1,5
562,2,6
567,1,5
573,2,6
578,1,5
584,2,6
589,1,5
595,2,6
600,2,5
605,1,5
611,2,6
617,2,6
622,1,5
628,2,6
633,1,5
639,2,6
644,1,5
650,2,6
655,1,5
661,2,6
666,1,5
672,2,6
678,2,6
683,1,5
689,2,6
695,2,6
700,2,5
706,2,6
711,1,5
717,2,6
722,1,5
728,2,6
733,1,5
739,2,6
744,1,5
750,2,6
755,1,5
761,2,6
766,1,5
772,2,6
777,2,5
782,1,5
788,2,6
793,1,5
799,2,6
804,1,5
810,2,6
815,1,5
821,2,6
826,1,5
832,2,6
837,2,5
842,1,5
848,2,6
853,1,5
859,2,6
864,1,5
869,1,5
875,1,6
880,1,5
886,2,6
891,1,5
897,2,6
902,1,5
907,1,5
913,1,6
918,1,5
924,2,6
929,1,5
935,2,6
940,1,5
946,2,6
951,1,5
957,2,6
962,1,5
967,1,5
973,2,6
979,2,6
984,2,5
989,1,5
995,2,6
1000,1,5
1006,2,6
1011,1,5
1017,2,6
1022,1,5
1027,1,5
1033,2,6
1039,2,6
1044,1,5
1051,2,7
1056,1,5
1062,2,6
1068,1,6
1075,1,7
1082,2,7
1088,2,6
1093,1,5
1099,2,6
1104,1,5
1110,1,6
1116,2,6
1121,1,5
1127,1,6
1133,2,6
1138,1,5
1144,1,6
1150,2,6
1155,1,5
1161,2,6
1166,1,5
1172,1,6
1178,2,6
1184,2,6
1189,1,5
1195,2,6
1200,1,5
1206,1,6
1212,2,6
1230,14,18
1232,11,2
1234,7,2
1235,2,1
1240,1,5
1246,2,6
1251,1,5
1257,1,6
1263,2,6
1268,2,5
1273,1,5
1279,2,6
1285,2,6
1290,1,5
1296,2,6
1301,1,5
1306,1,5
1312,2,6
1318,2,6
1322,1,4
1329,2,7
1334,1,5
1340,2,6
1345,1,5
1350,1,5
1356,2,6
1361,1,5
1368,2,7
1374,2,6
1379,1,5
1385,2,6
1390,1,5
1396,1,6
1402,2,6
1408,2,6
1413,1,5
1419,2,6
1425,2,6
1431,1,6
1437,2,6
1443,2,6
1449,2,6
1454,2,5
1459,1,5
1465,2,6
1471,2,6
1477,2,6
1483,1,6
1489,2,6
1494,1,5
1500,2,6
1505,1,5
1511,1,6
1517,2,6
1522,1,5
1528,2,6
1534,2,6
1539,1,5
1545,2,6
1550,1,5
1556,2,6
1561,1,5
1566,1,5
1572,1,6
1577,1,5
1583,2,6
1589,2,6
1594,2,5
1599,1,5
1604,1,5
1611,2,7
1617,1,6
1623,2,6
1628,1,5
1634,1,6
1640,2,6
1645,1,5
1651,2,6
1656,1,5
1663,2,7
1668,2,5
1673,1,5
1679,2,6
1684,2,5
1689,1,5
1695,2,6
1700,1,5
1706,2,6
1711,1,5
1716,1,5
1722,2,6
1727,1,5
1733,2,6
1738,1,5
1743,1,5
1749,2,6
1754,1,5
1759,1,5
1765,1,6
1770,1,5
1776,2,6
1782,2,6
1787,2,5
1792,1,5
1798,2,6
1803,1,5
1809,2,6
1814,1,5
1819,1,5
1825,2,6
1830,1,5
1836,2,6
1841,1,5
1846,1,5
1852,2,6
1857,1,5
1863,2,6
1868,1,5
1873,1,5
1879,2,6
1884,1,5
1890,2,6
1895,1,5
1900,1,5
1906,2,6
1911,1,5
1917,2,6
1922,1,5
1928,2,6
1933,2,5
1938,1,5
1944,2,6
1949,1,5
1954,1,5
1960,2,6
1965,1,5
1971,2,6
1976,1,5
1981,1,5
1987,2,6
1992,1,5
1998,2,6
2003,1,5
2008,1,5
2014,1,6
2019,1,5
2025,2,6
2030,1,5
2035,1,5
2041,2,6
2046,1,5
2051,1,5
2057,1,6
2063,2,6
2069,2,6
2075,1,6
2081,2,6
2086,1,5
2091,1,5
2097,2,6
2102,1,5
2108,2,6
2113,1,5
2119,2,6
2124,1,5
2130,2,6
2156,6,26
2158,1,2
2163,1,5
2169,2,6
2174,1,5
2179,1,5
2185,1,6
2190,1,5
2196,2,6
2201,1,5
2206,1,5
2212,2,6
2217,1,5
2222,1,5
2228,2,6
2233,1,5
2239,2,6
2244,1,5
2249,1,5
2255,2,6
2260,1,5
2265,1,5
2271,1,6
2276,1,5
2282,2,6
2287,1,5
2293,2,6
2298,1,5
2303,1,5
2309,2,6
2314,1,5
2319,1,5
2325,1,6
2331,2,6
2336,2,5
2341,1,5
2347,2,6
2352,1,5
2358,2,6
2363,1,5
2369,2,6
2374,2,5
2379,1,5
2385,2,6
2390,1,5
2395,1,5
2401,2,6
2406,1,5
2412,2,6
2417,2,5
2422,1,5
2427,1,5
2433,1,6
2438,1,5
2444,2,6
2452,4,8
2454,1,2
2460,2,6
2465,1,5
2470,1,5
2476,1,6
2481,1,5
2487,2,6
2492,1,5
2497,1,5
2503,2,6
2508,1,5
2513,1,5
2519,1,6
2524,1,5
2530,2,6
2535,1,5
2540,1,5
2546,2,6
2551,1,5
2556,1,5
2562,1,6
2567,1,5
2573,2,6
2578,1,5
2584,2,6
2589,1,5
2594,1,5
2600,2,6
2605,1,5
2610,1,5
2616,2,6
2621,1,5
2627,2,6
2632,1,5
2637,1,5
2644,1,7
2649,1,5
2655,2,6
2660,1,5
2665,1,5
2671,1,6
2676,1,5
2682,2,6
2687,1,5
2692,1,5
2698,2,6
2703,1,5
2708,1,5
2714,2,6
2719,1,5
2724,1,5
2730,1,6
2736,2,6
2740,1,4
2746,2,6
2751,1,5
2756,1,5
2762,2,6
2767,1,5
2772,1,5
2778,2,6
2783,1,5
2789,2,6
2794,1,5
2799,1,5
2805,2,6
2810,2,5
2815,1,5
2821,2,6
2826,1,5
2832,2,6
2837,1,5
2843,2,6
2848,1,5
2854,2,6
2859,1,5
2866,2,7
2871,1,5
2876,1,5
2882,2,6
2887,1,5
2892,1,5
2898,2,6
2903,1,5
2909,2,6
2914,2,5
2919,1,5
2924,1,5
2930,1,6
2935,1,5
2940,1,5
2946,1,6
2951,1,5
2957,2,6
2962,1,5
2967,1,5
2973,2,6
2978,1,5
2983,1,5
2989,2,6
2994,1,5
2999,1,5
3005,2,6
3010,1,5
3016,1,6
3022,1,6
3028,1,6
3034,1,6
3040,1,6
3046,1,6
3052,1,6
3058,1,6
3064,1,6
3070,1,6
3079,4,9
3082,1,3
3088,1,6
3093,1,5
3099,1,6
3105,2,6
3110,1,5
3116,2,6
3121,1,5
3127,1,6
3132,1,5
3138,1,6
3143,1,5
3149,1,6
3154,1,5
3160,1,6
3166,2,6
3171,1,5
3177,2,6
3182,1,5
3188,2,6
3193,1,5
3199,2,6
3204,1,5
3210,1,6
3215,1,5
3221,1,6
3227,2,6
3232,1,5
3238,1,6
3244,2,6
3249,1,5
3254,1,5
3260,2,6
3265,1,5
3270,1,5
3276,1,6
3281,1,5
3286,1,5
3292,1,6
3298,2,6
3303,1,5
3308,1,5
3314,2,6
3319,1,5
3324,1,5
3330,2,6
3335,1,5
3340,1,5
3346,2,6
3351,1,5
3356,1,5
3362,2,6
3367,1,5
3372,1,5
3378,2,6
3383,1,5
3389,2,6
3394,1,5
3399,1,5
3405,2,6
3410,1,5
3415,1,5
3421,2,6
3426,1,5
3431,1,5
3437,2,6
3442,1,5
3452,5,10
3454,1,2
3460,1,6
3466,1,6
3472,1,6
3477,1,5
3483,1,6
3489,2,6
3494,1,5
3500,1,6
3505,1,5
3511,1,6
3516,1,5
3522,1,6
3528,2,6
3533,1,5
3538,1,5
3544,1,6
3550,2,6
3555,1,5
3561,2,6
3566,1,5
3572,1,6
3577,1,5
3583,2,6
3588,1,5
3594,2,6
3599,1,5
3605,2,6
3610,1,5
3616,2,6
3621,1,5
3626,1,5
3632,1,6
3637,1,5
3643,1,6
3648,1,5
3654,1,6
3659,1,5
3665,1,6
3670,1,5
3676,1,6
3681,1,5
3687,2,6
3692,1,5
3698,2,6
3703,1,5
3709,2,6
3714,1,5
3719,1,5
3725,1,6
3730,1,5
3736,1,6
3741,1,5
3747,1,6
3752,1,5
3758,1,6
3763,1,5
3769,2,6
3774,1,5
3780,2,6
3785,1,5
3791,2,6
3796,1,5
3802,2,6
3807,1,5
3813,2,6
3818,2,5
3823,1,5
3829,2,6
3834,2,5
3839,1,5
3844,1,5
3850,1,6
3855,1,5
3860,1,5
3866,1,6
3871,1,5
3876,1,5
3882,1,6
3887,1,5
3892,1,5
3898,1,6
3903,1,5
3909,2,6
3914,1,5
3919,1,5
3925,1,6
3930,1,5
3935,1,5
3941,1,6
3946,1,5
3951,1,5
3957,1,6
3962,1,5
3967,1,5
3973,1,6
3978,1,5
3984,2,6
3989,1,5
3994,1,5
4000,2,6
4005,1,5
4010,1,5
4016,1,6
4021,1,5
4026,1,5
4032,1,6
4037,1,5
4043,2,6
4048,1,5
4053,1,5
4059,1,6
4064,1,5
4069,1,5
4075,1,6
4080,1,5
4085,1,5
4091,1,6
4096,1,5
4101,1,5
4107,1,6
4112,1,5
4118,1,6
4123,1,5
4129,1,6
4135,2,6
4140,1,5
4146,1,6
4151,1,5
4157,1,6
4162,1,5
4168,1,6
4173,1,5
4179,1,6
4184,1,5
4190,1,6
4195,1,5
4201,1,6
4207,2,6
4212,1,5
4218,2,6
4223,1,5
4229,1,6
4235,2,6
4240,1,5
4246,2,6
4251,1,5
4256,1,5
4262,2,6
4267,1,5
4272,1,5
4278,2,6
4283,1,5
4288,1,5
4294,2,6
4299,1,5
4304,1,5
4310,1,6
4315,1,5
4321,2,6
4326,1,5
4331,1,5
4337,2,6
4342,1,5
4347,1,5
4353,2,6
4358,1,5
4363,1,5
4369,2,6
4374,1,5
4379,1,5
4385,2,6
4390,1,5
4395,1,5
4401,2,6
4406,1,5
4411,1,5
4417,1,6
4422,1,5
4427,1,5
4433,1,6
4438,1,5
4443,1,5
4449,2,6
4454,1,5
4459,1,5
4467,3,8
4472,1,5
4478,2,6
4483,1,5
4488,1,5
4494,2,6
4499,1,5
4505,2,6
4510,1,5
4515,1,5
4521,2,6
4526,1,5
4531,1,5
4537,2,6
4542,1,5
4547,1,5
4553,2,6
4558,1,5
4563,1,5
4569,1,6
4574,1,5
4579,1,5
4585,1,6
4590,1,5
4596,2,6
4601,1,5
4606,1,5
4612,2,6
4617,1,5
4622,1,5
4628,1,6
4633,1,5
4639,2,6
4644,1,5
4649,1,5
4655,2,6
4660,1,5
4665,1,5
4671,2,6
4676,1,5
4681,1,5
4687,2,6
4692,1,5
4698,2,6
4703,1,5
4708,1,5
4714,2,6
4719,1,5
4724,1,5
4730,2,6
4735,1,5
4740,1,5
4746,2,6
4751,1,5
4756,1,5
4762,2,6
4767,1,5
4772,1,5
4778,2,6
4783,1,5
4788,1,5
4794,2,6
4799,1,5
4804,1,5
4810,2,6
4815,1,5
4820,1,5
4826,2,6
4831,1,5
4836,1,5
4842,2,6
4847,1,5
4852,1,5
4857,1,5
4863,1,6
4868,1,5
4874,2,6
4879,1,5
4884,1,5
4890,1,6
4895,1,5
4901,2,6
4906,1,5
4911,1,5
4917,2,6
4922,1,5
4927,1,5
4933,2,6
4938,1,5
4943,1,5
4948,1,5
4954,1,6
4959,1,5
4964,1,5
4970,1,6
4976,1,6
4982,2,6
4987,1,5
4992,1,5
4998,2,6
5003,1,5
5008,1,5
5014,2,6
5019,1,5
5024,1,5
5030,2,6
5035,1,5
5040,1,5
5046,2,6
5051,1,5
5056,1,5
5062,2,6
5067,1,5
5072,1,5
5078,2,6
5083,1,5
5088,1,5
5094,2,6
5099,1,5
5105,2,6
5110,2,5
5116,2,6
5121,2,5
5126,1,5
5131,1,5
5137,2,6
5142,1,5
5147,1,5
5152,1,5
5158,1,6
5163,1,5
5168,1,5
5174,1,6
5179,1,5
5184,1,5
5190,1,6
5195,1,5
5201,2,6
5206,1,5
5211,1,5
5216,1,5
5222,1,6
5227,1,5
5233,2,6
5238,1,5
5243,1,5
5248,1,5
5254,1,6
5259,1,5
5265,2,6
5270,1,5
5275,1,5
5280,1,5
5286,1,6
5291,1,5
5297,2,6
5302,1,5
5307,1,5
5312,1,5
5318,1,6
5323,1,5
5329,2,6
5334,1,5
5339,1,5
5344,1,5
5350,1,6
5355,1,5
5360,1,5
5366,1,6
5371,1,5
5376,1,5
5382,1,6
5387,1,5
5393,2,6
5398,1,5
5404,2,6
5409,1,5
5415,1,6
5420,1,5
5426,1,6
5432,2,6
5437,1,5
5443,2,6
5452,5,9
5454,1,2
5459,1,5
5464,1,5
5470,1,6
5475,1,5
5481,2,6
5486,1,5
5491,1,5
5496,1,5
5502,2,6
5507,1,5
5512,1,5
5518,2,6
5523,1,5
5528,1,5
5534,2,6
5539,1,5
5544,1,5
5550,2,6
5555,1,5
5560,1,5
5566,2,6
5571,1,5
5576,1,5
5582,2,6
5587,1,5
5592,1,5
5598,2,6
5603,1,5
5608,1,5
5614,2,6
5619,1,5
5624,1,5
5630,2,6
5635,1,5
5640,1,5
5646,2,6
5651,1,5
5656,1,5
5662,2,6
5667,1,5
5672,1,5
5678,2,6
5683,1,5
5688,1,5
5694,2,6
5699,1,5
5704,1,5
5710,2,6
5715,1,5
5720,1,5
5726,1,6
5731,1,5
5737,2,6
5742,1,5
5747,1,5
5752,1,5
5758,1,6
5763,1,5
5769,2,6
5774,1,5
5779,1,5
5785,2,6
5790,1,5
5795,1,5
5801,2,6
5806,1,5
5811,1,5
5817,2,6
5822,1,5
5827,1,5
5833,2,6
5838,1,5
5844,2,6
5849,1,5
5854,1,5
5860,2,6
5865,1,5
5870,1,5
5875,1,5
5881,1,6
5888,3,7
5894,2,6
5899,1,5
5904,1,5
5910,2,6
5915,1,5
5920,1,5
5926,2,6
5931,1,5
5936,1,5
5942,2,6
5947,1,5
5952,1,5
5958,2,6
5963,1,5
5968,1,5
5974,2,6
5979,1,5
5984,1,5
5990,2,6
5995,1,5
6000,1,5
6006,2,6
6011,1,5
6016,1,5
6022,2,6
6027,1,5
6032,1,5
6038,1,6
6043,1,5
6048,1,5
6054,2,6
6059,1,5
6064,1,5
6070,2,6
6075,1,5
6080,1,5
6086,2,6
6091,1,5
6096,1,5
6102,2,6
6107,1,5
6113,2,6
6118,2,5
6123,1,5
6128,1,5
6134,2,6
6139,1,5
6144,1,5
6150,2,6
6155,1,5
6160,1,5
6166,2,6
6171,1,5
6176,1,5
6182,2,6
6187,1,5
6192,1,5
6197,1,5
6203,1,6
6208,1,5
6213,1,5
6219,2,6
6224,1,5
6229,1,5
6234,1,5
6240,1,6
6245,1,5
6251,2,6
6256,1,5
6261,1,5
6266,1,5
6272,1,6
6277,1,5
6283,2,6
6288,1,5
6293,1,5
6299,2,6
6304,1,5
6309,1,5
6315,2,6
6320,1,5
6325,1,5
6335,6,10
6336,1,1
6341,1,5
6346,1,5
6352,1,6
6357,1,5
6362,1,5
6368,1,6
6373,1,5
6379,2,6
6384,1,5
6389,1,5
6395,2,6
6400,1,5
6405,1,5
6411,2,6
6416,1,5
6421,1,5
6427,2,6
6432,1,5
6437,1,5
6443,2,6
6448,1,5
6453,1,5
6459,2,6
6464,1,5
6470,2,6
6475,1,5
6480,1,5
6486,1,6
6491,1,5
6497,2,6
6502,1,5
6507,1,5
6512,1,5
6518,2,6
6523,1,5
6529,2,6
6534,2,5
6539,1,5
6544,1,5
6550,2,6
6555,1,5
6560,1,5
6566,2,6
6571,1,5
6576,1,5
6582,2,6
6587,1,5
6592,1,5
6598,2,6
6603,1,5
6608,1,5
6614,2,6
6619,1,5
6624,1,5
6630,2,6
6635,1,5
6640,1,5
6646,2,6
6651,1,5
6657,2,6
6662,1,5
6667,1,5
6672,1,5
6678,1,6
6683,1,5
6689,2,6
6694,1,5
6699,1,5
6705,2,6
6710,1,5
6715,1,5
6721,2,6
6726,1,5
6734,2,8
6739,1,5
6744,1,5
6750,2,6
6755,1,5
6760,1,5
6766,1,6
6771,1,5
6777,2,6
6782,1,5
6787,1,5
6793,2,6
6798,1,5
6803,1,5
6809,1,6
6814,1,5
6820,2,6
6825,1,5
6830,1,5
6836,2,6
6841,1,5
6846,1,5
6852,2,6
6857,1,5
6862,1,5
6869,3,7
6873,1,4
6878,1,5
6884,2,6
6889,1,5
6895,2,6
6900,2,5
6905,1,5
6911,2,6
6916,1,5
6921,1,5
6927,2,6
6932,1,5
6938,2,6
6943,1,5
6948,1,5
6954,2,6
6959,1,5
6964,1,5
6970,2,6
6975,1,5
6980,1,5
6986,2,6
6991,1,5
6996,1,5
7002,2,6
7007,1,5
7013,2,6
7018,1,5
7024,2,6
7029,1,5
7035,2,6
7040,1,5
7045,1,5
7051,1,6
7056,1,5
7062,2,6
7067,1,5
7072,1,5
7078,2,6
7083,1,5
7088,1,5
7094,2,6
7099,1,5
7104,1,5
7110,2,6
7115,1,5
7121,2,6
7126,1,5
7131,1,5
7137,2,6
7142,1,5
7147,1,5
7153,2,6
7158,1,5
7163,1,5
7169,2,6
7174,1,5
7179,1,5
7185,2,6
7190,1,5
7195,1,5
7201,2,6
7206,1,5
7211,1,5
7217,2,6
7222,1,5
7227,1,5
7233,2,6
7238,1,5
7243,1,5
7252,5,9
7258,2,6
7263,1,5
7268,1,5
7274,1,6
7280,2,6
7285,1,5
7291,1,6
7297,2,6
7302,1,5
7308,2,6
7314,2,6
7319,1,5
7325,2,6
7330,1,5
7345,10,15
7346,6,1
7348,1,2
7354,2,6
7359,1,5
7365,2,6
7370,2,5
7375,1,5
7380,1,5
7386,2,6
7391,1,5
7396,1,5
7401,1,5
7407,1,6
7413,2,6
7418,2,5
7423,1,5
7429,2,6
7434,2,5
7439,1,5
7448,5,9
7452,4,4
7455,1,3
7460,1,5
7466,2,6
7471,1,5
7476,1,5
7482,2,6
7487,1,5
7492,1,5
7498,1,6
7503,1,5
7508,1,5
7514,1,6
7519,1,5
7524,1,5
7530,1,6
7535,1,5
7540,1,5
7546,1,6
7551,1,5
7557,2,6
7562,1,5
7567,1,5
7573,2,6
7578,1,5
7583,1,5
7589,2,6
7594,1,5
7599,1,5
7605,2,6
7610,1,5
7615,1,5
7621,2,6
7626,1,5
7631,1,5
7637,2,6
7642,1,5
7647,1,5
7653,2,6
7658,1,5
7663,1,5
7669,1,6
7674,1,5
7680,2,6
7685,1,5
7690,1,5
7696,2,6
7701,1,5
7706,1,5
7712,1,6
7717,1,5
7722,1,5
7728,1,6
7733,1,5
7738,1,5
7744,1,6
7752,1,8
7757,1,5
7763,1,6
7768,1,5
7774,2,6
7779,1,5
7784,1,5
7790,2,6
7795,1,5
7800,1,5
7806,2,6
7811,1,5
7816,1,5
7822,2,6
7827,1,5
7832,1,5
7838,2,6
7843,1,5
7848,1,5
7853,1,5
7859,1,6
7864,1,5
7870,2,6
7875,1,5
7880,1,5
7885,1,5
7891,1,6
7896,1,5
7902,2,6
7907,1,5
7912,1,5
7918,2,6
7923,1,5
7928,1,5
7934,2,6
7939,1,5
7944,1,5
7950,2,6
7955,1,5
7960,1,5
7966,1,6
7972,2,6
7977,1,5
7983,2,6
7988,1,5
7994,2,6
7999,1,5
8004,1,5
8010,2,6
8015,1,5
8020,1,5
8026,1,6
8031,1,5
8036,1,5
8042,1,6
8047,1,5
8052,1,5
8058,1,6
8064,1,6
8070,1,6
8076,1,6
8082,1,6
8089,2,7
8094,1,5
8100,1,6
8106,1,6
8112,2,6
8117,1,5
8122,1,5
8128,2,6
8133,1,5
8138,1,5
8144,2,6
8149,1,5
8154,1,5
8160,2,6
8165,1,5
8170,1,5
8176,2,6
8181,1,5
8186,1,5
8192,2,6
8197,1,5
8202,1,5
8208,2,6
8213,1,5
8218,1,5
8224,2,6
8229,1,5
8234,1,5
8240,2,6
8245,1,5
8250,1,5
8256,2,6
8261,1,5
8266,1,5
8272,2,6
8277,1,5
8282,1,5
8287,1,5
8293,1,6
8298,1,5
8304,2,6
8309,1,5
8314,1,5
8320,1,6
8325,1,5
8331,2,6
8336,1,5
8341,1,5
8346,1,5
8352,1,6
8357,1,5
8362,1,5
8368,1,6
8373,1,5
8379,2,6
8384,1,5
8389,1,5
8395,2,6
8400,1,5
8406,2,6
8411,1,5
8416,1,5
8422,2,6
8427,1,5
8432,1,5
8438,2,6
8443,1,5
8450,3,7
8454,1,4
8459,1,5
8465,2,6
8470,1,5
8475,1,5
8481,2,6
8486,1,5
8491,1,5
8497,2,6
8502,1,5
8507,1,5
8513,2,6
8518,1,5
8523,1,5
8529,2,6
8534,1,5
8539,1,5
8545,2,6
