time (ms),latency (ms),consume (ms)
0,7,0
8,3,8
15,3,7
22,2,7
29,2,7
37,2,8
44,1,7
51,1,7
59,2,8
66,2,7
73,1,7
80,1,7
86,1,6
96,4,10
103,1,7
109,1,6
117,2,8
124,1,7
132,3,8
139,1,7
146,1,7
152,1,6
159,1,7
166,1,7
177,1,11
184,1,7
191,1,7
198,1,7
205,1,7
211,1,6
218,1,7
224,1,6
231,1,7
238,1,7
245,1,7
251,1,6
258,1,7
265,2,7
272,1,7
280,2,8
287,1,7
294,2,7
300,1,6
306,1,6
313,1,7
321,2,8
327,1,6
335,2,8
342,2,7
349,1,7
356,1,7
363,1,7
369,1,6
376,1,7
383,1,7
390,2,7
396,1,6
403,1,7
410,1,7
417,1,7
423,1,6
430,1,7
437,1,7
445,1,8
452,1,7
460,1,8
467,1,7
473,1,6
480,1,7
487,1,7
494,2,7
502,2,8
509,1,7
515,1,6
522,1,7
529,1,7
535,1,6
553,10,18
556,8,3
556,2,0
561,1,5
569,2,8
577,1,8
587,4,10
595,1,8
602,1,7
608,1,6
614,0,6
621,1,7
627,1,6
634,1,7
643,3,9
655,3,12
663,2,8
675,5,12
682,2,7
688,2,6
694,1,6
701,1,7
709,2,8
716,1,7
723,1,7
730,2,7
736,1,6
743,1,7
749,1,6
757,1,8
764,1,7
771,1,7
777,1,6
784,1,7
792,3,8
799,1,7
805,1,6
817,1,12
826,2,9
832,1,6
839,1,7
848,2,9
855,1,7
863,1,8
871,1,8
878,1,7
885,1,7
893,2,8
901,2,8
907,1,6
914,1,7
921,1,7
928,2,7
935,2,7
941,1,6
948,1,7
955,1,7
962,1,7
969,1,7
976,1,7
983,1,7
990,1,7
997,2,7
1004,2,7
1010,1,6
1016,1,6
1024,2,8
1031,1,7
1038,1,7
1045,2,7
1052,1,7
1059,1,7
1066,1,7
1073,1,7
1080,1,7
1087,1,7
1094,2,7
1101,2,7
1108,2,7
1116,1,8
1123,1,7
1132,1,9
1139,1,7
1146,1,7
1152,1,6
1159,1,7
1165,1,6
1171,0,6
1178,1,7
1185,1,7
1191,1,6
1198,2,7
1205,1,7
1211,1,6
1217,1,6
1223,1,6
1230,1,7
1236,1,6
1243,1,7
1250,1,7
1256,1,6
1263,1,7
1271,1,8
1278,1,7
1286,2,8
1293,1,7
1300,1,7
1307,1,7
1315,1,8
1322,2,7
1329,1,7
1337,1,8
1344,1,7
1352,1,8
1365,1,13
1373,1,8
1379,0,6
1386,1,7
1392,1,6
1398,0,6
1405,1,7
1411,0,6
1418,1,7
1425,2,7
1431,1,6
1437,0,6
1445,1,8
1452,1,7
1458,1,6
1465,1,7
1471,1,6
1478,1,7
1484,1,6
1491,1,7
1498,1,7
1504,1,6
1512,2,8
1519,2,7
1526,2,7
1532,1,6
1546,8,14
1549,1,3
1555,1,6
1562,1,7
1568,1,6
1577,4,9
1583,2,6
1589,1,6
1595,1,6
1601,1,6
1608,2,7
1614,1,6
1620,1,6
1626,1,6
1632,1,6
1639,2,7
1645,1,6
1651,1,6
1659,2,8
1666,2,7
1672,1,6
1679,1,7
1685,1,6
1692,1,7
1699,2,7
1708,3,9
1716,3,8
1724,1,8
1733,2,9
1739,1,6
1749,3,10
1756,1,7
1763,2,7
1771,3,8
1778,1,7
1786,2,8
1793,2,7
1800,2,7
1807,1,7
1814,1,7
1821,1,7
1828,2,7
1834,1,6
1841,1,7
1848,2,7
1854,1,6
1861,1,7
1868,1,7
1875,2,7
1881,1,6
1888,1,7
1894,1,6
1901,1,7
1907,0,6
1914,1,7
1920,1,6
1927,1,7
1933,0,6
1940,1,7
1946,1,6
1953,1,7
1959,1,6
1965,1,6
1972,1,7
1978,1,6
1984,1,6
1990,0,6
1997,1,7
2004,1,7
2010,1,6
2017,1,7
2024,1,7
2031,1,7
2037,1,6
2043,0,6
2050,1,7
