time (ms),latency (ms),consume (ms)
0,10,0
1,7,1
3,8,2
3,6,0
3,4,0
3,3,0
4,2,1
7,2,3
8,1,1
10,1,2
12,2,2
13,1,1
15,1,2
17,2,2
18,1,1
20,2,2
21,1,1
23,1,2
25,2,2
26,1,1
28,1,2
30,2,2
31,1,1
33,2,2
37,4,4
37,3,0
38,2,1
39,1,1
41,2,2
43,2,2
44,2,1
45,1,1
47,1,2
49,2,2
50,1,1
52,2,2
54,2,2
55,1,1
57,2,2
58,1,1
60,2,2
61,1,1
63,1,2
65,2,2
66,1,1
68,2,2
69,1,1
72,3,3
72,1,0
74,2,2
76,2,2
77,1,1
79,2,2
80,1,1
82,2,2
83,1,1
85,2,2
86,1,1
88,2,2
89,1,1
91,1,2
93,2,2
94,1,1
96,1,2
98,2,2
99,1,1
101,1,2
103,2,2
104,1,1
106,2,2
108,2,2
109,1,1
111,1,2
113,2,2
114,1,1
116,2,2
117,1,1
119,1,2
121,2,2
122,1,1
124,2,2
126,2,2
127,1,1
130,2,3
131,2,1
133,2,2
134,1,1
136,2,2
137,1,1
139,1,2
141,2,2
142,1,1
144,2,2
145,1,1
146,1,1
149,2,3
150,1,1
152,2,2
154,2,2
155,1,1
157,2,2
158,1,1
160,2,2
161,1,1
163,2,2
164,1,1
166,2,2
168,2,2
169,1,1
171,2,2
172,1,1
174,2,2
176,2,2
177,1,1
179,2,2
180,1,1
182,2,2
184,2,2
185,1,1
187,2,2
188,1,1
190,2,2
192,2,2
193,1,1
195,2,2
197,2,2
198,1,1
200,2,2
201,1,1
203,1,2
204,1,1
206,1,2
208,2,2
209,1,1
211,2,2
212,1,1
214,2,2
215,1,1
217,2,2
218,1,1
219,1,1
221,1,2
222,1,1
224,1,2
225,1,1
227,1,2
229,2,2
230,1,1
232,2,2
233,1,1
235,2,2
236,1,1
238,2,2
239,1,1
241,2,2
242,1,1
244,2,2
245,1,1
246,1,1
248,2,2
249,1,1
251,2,2
252,1,1
253,1,1
255,1,2
256,1,1
258,1,2
259,1,1
261,2,2
262,1,1
264,2,2
265,1,1
266,1,1
268,1,2
269,1,1
271,1,2
272,1,1
274,1,2
277,3,3
278,1,1
280,2,2
282,2,2
283,2,1
284,1,1
285,1,1
287,1,2
288,1,1
290,1,2
292,2,2
294,2,2
295,1,1
297,1,2
299,2,2
300,1,1
302,1,2
303,1,1
305,1,2
307,2,2
308,1,1
310,1,2
312,2,2
313,1,1
315,2,2
316,1,1
317,1,1
319,1,2
321,2,2
322,1,1
323,1,1
325,1,2
326,1,1
328,1,2
329,1,1
331,1,2
332,1,1
334,2,2
335,1,1
351,16,16
351,15,0
351,13,0
352,13,1
352,11,0
352,10,0
352,8,0
352,7,0
352,5,0
352,4,0
352,2,0
355,4,3
355,2,0
355,1,0
357,1,2
358,1,1
360,1,2
361,1,1
363,1,2
364,1,1
366,1,2
368,2,2
369,1,1
371,2,2
372,1,1
373,1,1
375,1,2
377,2,2
378,1,1
380,2,2
381,1,1
383,2,2
384,1,1
386,1,2
387,1,1
389,1,2
391,1,2
393,2,2
396,2,3
402,6,6
402,5,0
402,3,0
402,2,0
403,1,1
405,1,2
407,2,2
408,1,1
410,1,2
411,1,1
413,1,2
415,2,2
416,1,1
418,2,2
421,3,3
422,2,1
423,1,1
425,2,2
426,1,1
428,2,2
429,1,1
431,2,2
432,1,1
433,1,1
435,2,2
436,1,1
438,2,2
440,2,2
441,2,1
445,4,4
445,1,0
447,2,2
448,1,1
449,1,1
451,1,2
452,1,1
454,2,2
455,1,1
457,2,2
458,1,1
459,1,1
461,2,2
462,1,1
464,2,2
465,2,1
466,1,1
468,2,2
469,1,1
470,1,1
472,1,2
473,1,1
475,2,2
476,1,1
477,1,1
479,1,2
480,1,1
482,2,2
483,1,1
484,1,1
486,1,2
487,1,1
489,1,2
490,1,1
492,1,2
494,2,2
495,1,1
496,1,1
498,2,2
499,1,1
501,2,2
502,1,1
503,1,1
505,2,2
506,1,1
507,1,1
511,3,4
511,2,0
512,2,1
513,1,1
515,2,2
516,1,1
517,1,1
519,2,2
521,2,2
522,2,1
523,1,1
524,1,1
525,1,1
527,1,2
528,1,1
530,2,2
531,1,1
532,1,1
534,1,2
535,1,1
536,1,1
538,1,2
539,1,1
541,2,2
542,1,1
543,1,1
545,1,2
546,1,1
548,2,2
549,1,1
551,2,2
552,1,1
554,2,2
555,1,1
556,1,1
558,2,2
560,2,2
562,2,2
563,1,1
565,1,2
567,1,2
569,1,2
570,1,1
572,1,2
573,1,1
574,1,1
576,1,2
578,2,2
579,1,1
581,2,2
582,1,1
584,2,2
602,4,18
605,5,3
605,4,0
605,2,0
606,1,1
608,2,2
609,1,1
611,2,2
612,1,1
613,1,1
615,1,2
616,1,1
618,2,2
619,1,1
620,1,1
621,1,1
623,1,2
624,1,1
625,1,1
627,1,2
628,1,1
629,1,1
631,1,2
632,1,1
633,1,1
635,1,2
637,2,2
638,1,1
639,1,1
640,1,1
642,1,2
643,1,1
644,1,1
646,1,2
647,1,1
648,1,1
649,1,1
651,1,2
652,1,1
653,1,1
655,1,2
656,1,1
658,2,2
659,1,1
660,1,1
662,2,2
663,1,1
664,1,1
666,2,2
667,1,1
668,1,1
669,1,1
671,1,2
672,1,1
674,2,2
675,1,1
676,1,1
678,2,2
679,1,1
680,1,1
681,1,1
683,1,2
684,1,1
685,1,1
687,2,2
688,1,1
689,1,1
691,2,2
692,1,1
693,1,1
695,2,2
696,1,1
697,1,1
699,2,2
700,1,1
701,1,1
703,1,2
704,1,1
705,1,1
707,2,2
708,1,1
709,1,1
711,2,2
712,1,1
713,1,1
715,2,2
716,1,1
717,1,1
719,2,2
720,1,1
721,1,1
723,2,2
724,1,1
725,1,1
727,2,2
728,1,1
729,1,1
731,2,2
732,1,1
733,1,1
734,1,1
736,1,2
737,1,1
738,1,1
740,1,2
741,1,1
743,2,2
744,1,1
745,1,1
747,2,2
748,1,1
749,1,1
750,1,1
752,1,2
753,1,1
754,1,1
756,1,2
757,1,1
759,2,2
760,1,1
761,1,1
762,1,1
764,1,2
765,1,1
766,1,1
768,1,2
770,2,2
771,2,1
772,1,1
774,2,2
775,1,1
777,2,2
778,1,1
780,2,2
781,1,1
783,2,2
784,1,1
785,1,1
787,2,2
788,1,1
