time (ms),latency (ms),consume (ms)
0,12,0
3,10,3
6,11,3
9,12,3
11,13,2
13,13,2
15,13,2
16,12,1
18,13,2
20,13,2
22,14,2
23,13,1
24,12,1
26,13,2
28,13,2
29,13,1
31,12,2
33,12,2
34,10,1
36,10,2
38,10,2
40,10,2
42,11,2
43,10,1
45,10,2
49,13,4
51,13,2
53,14,2
54,13,1
56,13,2
58,14,2
60,14,2
61,13,1
63,13,2
64,12,1
66,13,2
68,13,2
69,13,1
71,13,2
73,13,2
75,14,2
77,14,2
78,14,1
80,14,2
82,15,2
83,14,1
85,14,2
87,14,2
88,14,1
90,14,2
92,14,2
94,14,2
95,14,1
97,14,2
99,14,2
100,13,1
102,14,2
103,13,1
105,13,2
107,14,2
108,13,1
110,13,2
112,14,2
113,13,1
115,13,2
117,14,2
119,14,2
120,13,1
122,14,2
124,14,2
125,13,1
127,13,2
128,13,1
130,13,2
132,14,2
133,13,1
135,13,2
137,13,2
138,13,1
139,12,1
141,12,2
142,10,1
144,11,2
146,10,2
147,9,1
148,8,1
149,6,1
151,6,2
152,5,1
153,4,1
154,3,1
155,2,1
157,3,2
158,1,1
160,1,2
162,1,2
164,1,2
165,1,1
167,2,2
169,2,2
170,1,1
172,1,2
173,1,1
175,1,2
177,1,2
179,1,2
180,1,1
182,1,2
184,1,2
186,2,2
187,1,1
189,1,2
191,2,2
193,2,2
194,1,1
196,1,2
198,2,2
200,2,2
201,1,1
203,1,2
205,2,2
207,1,2
209,2,2
210,1,1
212,1,2
214,2,2
215,1,1
217,2,2
218,1,1
220,2,2
221,1,1
222,1,1
224,1,2
225,1,1
227,1,2
228,1,1
230,1,2
231,1,1
233,1,2
234,1,1
236,2,2
237,1,1
239,2,2
240,1,1
241,1,1
243,1,2
245,2,2
246,1,1
248,2,2
249,1,1
251,2,2
252,1,1
254,2,2
255,1,1
256,1,1
258,1,2
259,1,1
261,1,2
262,1,1
264,2,2
265,1,1
267,2,2
268,1,1
270,2,2
271,1,1
273,2,2
274,1,1
275,1,1
277,2,2
282,5,5
283,5,1
284,4,1
286,5,2
287,4,1
