time (ms),latency (ms),consume (ms)
0,19,0
8,7,8
12,3,4
18,1,6
25,2,7
32,2,7
39,1,7
46,1,7
54,3,8
61,2,7
69,2,8
76,2,7
82,1,6
92,4,10
98,1,6
104,0,6
111,1,7
118,1,7
125,1,7
133,1,8
139,1,6
145,1,6
152,1,7
159,1,7
166,1,7
173,1,7
180,1,7
187,1,7
197,2,10
205,1,8
212,1,7
223,1,11
230,1,7
237,1,7
244,1,7
250,1,6
258,1,8
265,2,7
272,2,7
279,1,7
285,1,6
292,1,7
298,1,6
305,1,7
312,1,7
320,2,8
328,1,8
337,3,9
344,1,7
350,1,6
357,1,7
363,1,6
369,1,6
376,1,7
382,1,6
388,1,6
394,0,6
401,1,7
407,1,6
414,1,7
420,1,6
427,1,7
434,1,7
441,1,7
447,1,6
454,1,7
460,1,6
467,1,7
474,1,7
481,2,7
487,1,6
495,2,8
502,2,7
508,1,6
515,1,7
521,1,6
527,0,6
535,1,8
542,1,7
550,2,8
556,1,6
564,2,8
571,1,7
579,2,8
586,1,7
592,1,6
598,0,6
605,1,7
612,1,7
619,2,7
625,1,6
632,1,7
639,1,7
659,10,20
660,5,1
663,2,3
667,0,4
674,1,7
680,1,6
686,1,6
692,0,6
699,1,7
706,1,7
712,1,6
719,1,7
725,1,6
731,1,6
738,1,7
744,1,6
751,1,7
758,1,7
767,3,9
774,1,7
780,1,6
789,0,9
796,1,7
802,0,6
809,1,7
816,1,7
822,0,6
830,1,8
836,0,6
843,1,7
850,1,7
856,0,6
864,1,8
871,1,7
878,2,7
884,1,6
890,1,6
897,1,7
904,1,7
911,2,7
917,1,6
924,1,7
931,1,7
937,1,6
943,1,6
949,1,6
956,1,7
963,1,7
969,1,6
976,1,7
983,2,7
989,1,6
996,1,7
1003,2,7
1010,1,7
1017,2,7
1023,1,6
1030,2,7
1037,1,7
1044,1,7
1051,2,7
1057,1,6
1064,1,7
1071,1,7
1077,1,6
1085,1,8
1091,1,6
1097,1,6
1103,0,6
1110,1,7
1116,1,6
1122,0,6
1128,1,6
1134,0,6
1140,1,6
1148,3,8
1154,1,6
1160,0,6
1167,1,7
1177,1,10
1183,1,6
1189,1,6
1196,1,7
1203,1,7
1211,2,8
1217,1,6
1224,1,7
1231,1,7
1238,2,7
1244,1,6
1251,1,7
1257,1,6
1264,1,7
1272,2,8
1279,1,7
1286,1,7
1292,1,6
1301,1,9
1315,1,14
1323,1,8
1330,1,7
1337,1,7
1344,2,7
1350,1,6
1357,1,7
1364,1,7
1371,1,7
1377,1,6
1384,1,7
1390,1,6
1397,1,7
1404,1,7
1411,1,7
1417,1,6
1424,1,7
1431,1,7
1437,1,6
1444,1,7
1451,1,7
1458,1,7
1464,1,6
1471,1,7
1477,1,6
1483,0,6
1495,6,12
1499,1,4
1505,1,6
1511,1,6
1517,1,6
1526,4,9
1532,1,6
1538,1,6
1544,1,6
1551,2,7
1557,1,6
1562,0,5
1568,0,6
1574,1,6
1581,1,7
1586,0,5
1593,1,7
1598,0,5
1605,2,7
1613,2,8
1620,2,7
1626,1,6
1632,0,6
1639,1,7
1646,2,7
1654,3,8
1663,4,9
1671,2,8
1679,2,8
1686,1,7
1693,1,7
1703,2,10
1711,3,8
1720,4,9
1728,2,8
1737,3,9
1745,3,8
1752,2,7
1759,1,7
1766,1,7
1773,1,7
1781,1,8
1787,0,6
1794,1,7
1801,2,7
1808,1,7
1814,1,6
1821,1,7
1828,1,7
1835,1,7
1842,1,7
1849,1,7
1856,1,7
1862,1,6
1869,1,7
1876,1,7
1884,2,8
1890,1,6
1898,2,8
1905,1,7
1912,1,7
1918,1,6
1925,1,7
1932,1,7
1939,1,7
1946,2,7
1952,1,6
1959,1,7
1966,2,7
1972,1,6
1978,0,6
1985,1,7
1991,1,6
1998,1,7
2004,1,6
2011,1,7
2017,1,6
2024,1,7
2030,1,6
2037,2,7
2047,1,10
2053,1,6
2060,1,7
2069,4,9
2076,1,7
2082,1,6
2089,1,7
2095,1,6
2102,2,7
2108,1,6
2115,1,7
2121,1,6
2127,1,6
2134,1,7
2140,1,6
2147,1,7
2153,1,6
2160,1,7
2166,1,6
2173,1,7
2180,1,7
2186,1,6
2200,1,14
2207,1,7
2214,2,7
2220,1,6
2226,1,6
2233,2,7
2243,1,10
2250,2,7
2257,2,7
2266,4,9
2273,1,7
2280,1,7
2287,1,7
2293,1,6
2300,1,7
2306,1,6
2313,1,7
2319,1,6
2325,1,6
2331,1,6
2337,1,6
2343,0,6
2349,0,6
2356,1,7
2362,1,6
2368,1,6
2374,0,6
2380,0,6
2387,1,7
2393,1,6
2399,1,6
2405,0,6
2412,1,7
2418,1,6
2424,0,6
2431,1,7
2437,0,6
2443,0,6
2450,1,7
2457,1,7
2463,1,6
2470,1,7
2476,1,6
2482,1,6
2489,1,7
2495,1,6
2501,0,6
2507,0,6
2514,1,7
2520,0,6
2527,1,7
2533,1,6
2540,1,7
2546,1,6
2552,0,6
2559,0,7
2566,1,7
2574,1,8
2583,2,9
2592,3,9
2599,1,7
2605,1,6
2612,1,7
2618,1,6
2653,16,35
2664,2,11
2671,1,7
2677,1,6
2683,1,6
2689,0,6
2696,1,7
2702,1,6
2709,1,7
2715,1,6
2721,0,6
2728,1,7
2734,1,6
2740,1,6
2747,1,7
2754,2,7
2760,1,6
2767,1,7
2773,1,6
2780,1,7
2786,1,6
2792,1,6
2799,1,7
2805,1,6
2811,1,6
2818,1,7
2824,1,6
2830,1,6
2836,1,6
2842,0,6
2848,0,6
2854,0,6
2861,1,7
2867,1,6
2873,1,6
2879,1,6
2886,1,7
2892,1,6
2898,1,6
2905,1,7
2913,1,8
2919,1,6
2925,1,6
2931,1,6
2937,1,6
2943,1,6
2950,2,7
2956,1,6
