time (ms),latency (ms),consume (ms)
0,1,0
13,0,13
25,0,12
35,0,10
47,0,12
58,1,11
69,0,11
80,1,11
91,0,11
102,0,11
113,0,11
124,0,11
134,0,10
146,0,12
157,1,11
168,0,11
179,0,11
189,0,10
200,0,11
210,0,10
221,0,11
231,0,10
243,0,12
253,0,10
264,0,11
274,0,10
285,1,11
296,0,11
306,0,10
318,0,12
329,1,11
340,0,11
351,1,11
362,0,11
373,0,11
383,0,10
394,0,11
404,0,10
416,0,12
427,1,11
438,0,11
449,0,11
459,0,10
471,0,12
482,0,11
492,0,10
504,0,12
515,1,11
526,0,11
537,0,11
547,0,10
559,0,12
570,0,11
580,0,10
592,0,12
603,0,11
614,1,11
625,0,11
636,0,11
647,1,11
658,0,11
670,0,12
681,1,11
692,0,11
703,0,11
715,0,12
727,0,12
737,0,10
749,0,12
759,0,10
771,0,12
782,1,11
793,0,11
804,1,11
815,0,11
827,0,12
838,0,11
848,0,10
859,1,11
870,0,11
882,0,12
893,1,11
904,0,11
915,0,11
925,0,10
936,0,11
946,0,10
958,0,12
969,1,11
980,0,11
991,1,11
1002,0,11
1013,0,11
1024,0,11
1036,0,12
1047,1,11
1058,0,11
1069,0,11
1080,0,11
1091,0,11
1102,1,11
1113,0,11
1124,0,11
1134,0,10
1144,0,10
1156,0,12
1166,0,10
1177,1,11
1188,0,11
1199,1,11
1210,0,11
1220,0,10
1232,0,12
1242,0,10
1253,0,11
1263,0,10
1275,0,12
1285,0,10
1297,0,12
1308,1,11
1319,0,11
1330,1,11
1341,0,11
1352,0,11
1363,0,11
1374,0,11
1385,0,11
1396,0,11
1406,0,10
1418,0,12
1431,0,13
1448,0,17
1460,1,12
1471,0,11
1482,1,11
1493,0,11
1503,0,10
1515,0,12
1525,0,10
1536,1,11
1547,0,11
1557,0,10
1569,0,12
1579,0,10
1590,0,11
1600,0,10
1610,0,10
1622,0,12
1632,0,10
1643,0,11
1653,0,10
1664,0,11
1675,1,11
1686,0,11
1697,1,11
1708,0,11
1718,0,10
1730,0,12
1740,0,10
1752,0,12
1762,0,10
1773,0,11
1783,0,10
1794,0,11
1804,0,10
1815,0,11
1825,0,10
1837,0,12
1847,0,10
1858,0,11
1868,0,10
1879,1,11
1890,0,11
1901,1,11
1912,0,11
1922,0,10
1934,0,12
1944,0,10
1956,0,12
1966,0,10
1978,0,12
1988,0,10
2000,0,12
2010,0,10
2022,0,12
2032,0,10
2043,0,11
2053,0,10
2064,1,11
2075,0,11
2086,1,11
2097,0,11
2108,1,11
2119,0,11
2130,1,11
2141,0,11
2154,1,13
2167,0,13
2177,0,10
2189,0,12
2199,0,10
2210,0,11
2220,0,10
2231,1,11
2242,0,11
2253,1,11
2264,0,11
2275,1,11
2286,0,11
2296,0,10
2307,0,11
2317,0,10
2328,1,11
2339,0,11
2349,0,10
2360,0,11
2370,0,10
2381,0,11
2391,0,10
2402,0,11
2412,0,10
2423,1,11
2434,0,11
2445,1,11
2456,0,11
2466,0,10
2478,0,12
2489,1,11
2500,0,11
2511,0,11
2521,0,10
2532,0,11
2542,0,10
2553,0,11
2563,0,10
2574,0,11
2584,0,10
2596,0,12
2607,1,11
2618,0,11
2629,1,11
2640,0,11
2651,0,11
2661,0,10
2672,0,11
2682,0,10
2693,1,11
2704,0,11
2715,1,11
2726,0,11
2737,1,11
2748,0,11
2759,1,11
2770,0,11
2781,1,11
2792,0,11
2803,1,11
2814,0,11
2824,0,10
2836,0,12
2846,0,10
2857,1,11
2868,0,11
2878,0,10
2890,0,12
2900,0,10
2911,0,11
2921,0,10
2933,0,12
2944,0,11
2955,0,11
2965,0,10
2976,0,11
2986,0,10
2997,0,11
3007,0,10
3018,0,11
3028,0,10
3040,0,12
3051,0,11
3061,0,10
3072,1,11
3083,0,11
3093,0,10
3105,0,12
3115,0,10
3126,1,11
3137,0,11
3147,0,10
3159,0,12
3169,0,10
3180,1,11
3191,0,11
3201,0,10
3213,0,12
3223,0,10
3234,1,11
3245,0,11
3256,0,11
3266,0,10
3277,1,11
3288,0,11
3299,1,11
3310,0,11
3320,0,10
3332,0,12
3342,0,10
3354,0,12
3365,1,11
3376,0,11
3386,0,10
3398,0,12
3408,0,10
3419,0,11
3429,0,10
3440,1,11
3451,0,11
3461,0,10
3473,0,12
3483,0,10
3494,0,11
3504,0,10
3515,1,11
3526,0,11
3537,1,11
3548,0,11
3559,1,11
3570,0,11
3581,1,11
3592,0,11
3602,0,10
3614,0,12
3625,1,11
3636,0,11
3647,1,11
3658,0,11
3669,0,11
3679,0,10
3691,0,12
3701,0,10
3713,0,12
3723,0,10
3734,0,11
3744,0,10
3754,0,10
3766,0,12
3776,0,10
3787,0,11
3797,0,10
3809,0,12
3820,1,11
3831,0,11
3842,1,11
3853,0,11
3864,0,11
3874,0,10
3886,0,12
3897,1,11
3908,0,11
3919,0,11
3929,0,10
3941,0,12
3952,1,11
3963,0,11
3973,0,10
3984,0,11
3994,0,10
4005,1,11
4016,0,11
4026,0,10
4038,0,12
4048,0,10
4060,0,12
4071,1,11
4082,0,11
4092,0,10
4104,0,12
4114,0,10
4125,0,11
4135,0,10
4145,0,10
4157,0,12
4167,0,10
4178,1,11
4189,0,11
4200,1,11
4211,0,11
4222,1,11
4233,0,11
4243,0,10
4254,0,11
4264,0,10
4277,0,13
4288,0,11
4301,0,13
4312,0,11
4322,0,10
4333,1,11
4344,0,11
4355,1,11
4366,0,11
4377,1,11
4388,0,11
4398,0,10
4410,0,12
4420,0,10
4431,0,11
4441,0,10
4452,0,11
4462,0,10
4473,1,11
4484,0,11
4495,1,11
4506,0,11
4516,0,10
4527,0,11
4537,0,10
4547,0,10
4559,0,12
4569,0,10
4580,0,11
4590,0,10
4600,0,10
4612,0,12
4622,0,10
4633,0,11
4643,0,10
4655,0,12
4666,1,11
4677,0,11
4688,0,11
4699,0,11
4711,0,12
4721,0,10
4733,0,12
4744,1,11
4755,0,11
4766,1,11
4777,0,11
4788,0,11
4798,0,10
4809,0,11
4819,0,10
4831,0,12
4842,1,11
4853,0,11
4864,1,11
4875,0,11
4886,1,11
4897,0,11
4907,0,10
4918,0,11
4928,0,10
4939,0,11
4949,0,10
4960,1,11
4971,0,11
4981,0,10
4992,0,11
5003,0,11
5013,0,10
5024,1,11
5035,0,11
5046,1,11
5057,0,11
5068,0,11
5078,0,10
5089,0,11
5099,0,10
5110,0,11
5120,0,10
5131,0,11
5141,0,10
5152,0,11
5162,0,10
5172,0,10
5184,0,12
5194,0,10
5205,0,11
5215,0,10
5226,0,11
5236,0,10
5247,1,11
5258,0,11
5268,0,10
5280,0,12
5290,0,10
5302,0,12
5312,0,10
5323,0,11
5333,0,10
5344,1,11
5355,0,11
