time (ms),latency (ms),consume (ms)
0,7,0
37,36,37
39,32,2
39,27,0
39,21,0
39,16,0
40,11,1
41,4,1
47,2,6
52,1,5
58,1,6
65,3,7
68,1,3
74,2,6
80,1,6
86,1,6
91,1,5
97,2,6
104,3,7
109,2,5
116,3,7
120,1,4
126,1,6
134,4,8
138,2,4
144,1,6
150,2,6
158,4,8
162,1,4
168,1,6
173,1,5
179,1,6
184,1,5
189,1,5
194,1,5
199,1,5
205,2,6
210,2,5
216,2,6
221,1,5
228,2,7
233,1,5
240,2,7
244,1,4
250,1,6
255,1,5
261,1,6
266,1,5
272,1,6
278,2,6
282,1,4
288,1,6
294,2,6
301,3,7
307,2,6
312,1,5
317,1,5
323,2,6
328,2,5
333,1,5
340,2,7
348,5,8
353,3,5
358,1,5
364,1,6
371,2,7
377,2,6
382,1,5
388,1,6
393,1,5
398,1,5
404,2,6
409,1,5
415,2,6
420,1,5
427,2,7
433,3,6
438,1,5
444,2,6
449,2,5
453,1,4
461,4,8
466,3,5
470,1,4
475,1,5
480,1,5
485,1,5
490,1,5
495,1,5
503,4,8
507,1,4
512,1,5
518,1,6
524,2,6
529,1,5
534,1,5
540,1,6
546,2,6
550,1,4
555,1,5
561,2,6
567,2,6
573,2,6
578,1,5
583,1,5
589,1,6
595,2,6
600,1,5
605,1,5
610,1,5
616,2,6
621,1,5
626,1,5
632,2,6
637,1,5
643,1,6
648,1,5
653,1,5
659,2,6
664,1,5
670,2,6
674,1,4
679,1,5
686,3,7
694,5,8
701,3,7
705,1,4
713,4,8
721,4,8
733,11,12
737,4,4
750,9,13
753,1,3
758,1,5
763,1,5
769,2,6
774,1,5
779,1,5
785,1,6
790,1,5
796,1,6
801,1,5
806,1,5
811,1,5
816,1,5
821,1,5
826,1,5
831,1,5
837,1,6
842,1,5
848,1,6
854,1,6
860,2,6
865,1,5
870,1,5
875,1,5
880,1,5
885,1,5
890,1,5
896,2,6
902,2,6
907,2,5
911,1,4
917,1,6
923,2,6
928,1,5
934,1,6
940,1,6
945,1,5
950,1,5
956,2,6
961,1,5
967,1,6
972,1,5
977,1,5
982,1,5
987,1,5
992,1,5
997,1,5
1003,2,6
1008,1,5
1014,1,6
1019,1,5
1025,2,6
1031,1,6
1036,1,5
1042,1,6
1047,1,5
1052,1,5
1057,1,5
1062,1,5
1070,3,8
1074,2,4
1079,2,5
1085,2,6
1090,1,5
1096,2,6
1101,1,5
1106,1,5
1111,1,5
1116,1,5
1121,1,5
1126,1,5
1131,1,5
1137,1,6
1143,1,6
1148,1,5
1154,1,6
1159,1,5
1165,2,6
1170,1,5
1187,13,17
1187,6,0
1187,1,0
1192,1,5
1197,1,5
1202,1,5
1208,2,6
1214,1,6
1219,1,5
1225,2,6
1230,1,5
1236,2,6
1241,1,5
1247,2,6
1252,1,5
1258,2,6
1262,1,4
1268,2,6
1274,1,6
1279,1,5
1284,1,5
1290,2,6
1295,1,5
1301,2,6
1306,1,5
1312,1,6
1317,1,5
1323,1,6
1328,1,5
1334,1,6
1340,2,6
1345,1,5
1351,1,6
1356,1,5
1362,1,6
1367,1,5
1373,1,6
1379,2,6
1384,1,5
1390,2,6
1395,1,5
1400,0,5
1406,1,6
1412,2,6
1417,1,5
1423,2,6
1428,1,5
1434,1,6
1439,1,5
1445,1,6
1451,2,6
1455,1,4
1461,2,6
1466,1,5
1472,1,6
1478,2,6
1484,2,6
1489,1,5
1494,1,5
1499,1,5
1504,1,5
1509,1,5
1515,1,6
1520,1,5
1526,1,6
1531,1,5
1537,1,6
1542,1,5
1548,1,6
1553,1,5
