time (ms),latency (ms),consume (ms)
0,20,0
10,6,10
26,6,16
40,4,14
54,4,14
69,3,15
85,5,16
98,2,13
114,5,16
128,2,14
144,4,16
157,3,13
170,2,13
184,3,14
202,2,18
216,3,14
229,2,13
244,3,15
262,7,18
274,1,12
287,2,13
298,1,11
309,1,11
321,1,12
332,1,11
344,2,12
356,1,12
368,1,12
380,1,12
394,2,14
406,2,12
422,2,16
434,1,12
446,1,12
458,1,12
469,1,11
481,1,12
493,2,12
504,1,11
516,1,12
528,2,12
539,1,11
551,1,12
563,2,12
574,1,11
587,2,13
598,1,11
614,5,16
626,2,12
638,2,12
649,1,11
661,1,12
672,1,11
683,1,11
695,2,12
706,1,11
717,1,11
728,0,11
740,1,12
752,2,12
764,2,12
777,2,13
790,2,13
804,2,14
817,2,13
830,2,13
843,2,13
855,1,12
868,2,13
880,2,12
892,2,12
905,2,13
917,1,12
929,2,12
941,2,12
953,2,12
966,2,13
980,2,14
994,3,14
1009,4,15
1024,2,15
1039,4,15
1057,6,18
1074,6,17
1089,3,15
1102,2,13
1114,1,12
1127,2,13
1139,2,12
1152,2,13
1164,1,12
1176,1,12
1189,2,13
1201,1,12
1214,2,13
1228,3,14
1241,2,13
1253,2,12
1266,2,13
1278,2,12
1291,3,13
1303,2,12
1316,2,13
1328,1,12
1341,1,13
1354,2,13
1366,1,12
1379,2,13
1391,2,12
1404,2,13
1416,2,12
1432,6,16
1444,2,12
1457,2,13
1470,3,13
1484,3,14
1499,3,15
1512,3,13
1527,5,15
1542,3,15
1556,3,14
1571,3,15
1585,3,14
1601,2,16
1616,2,15
1630,2,14
1646,2,16
1659,2,13
1671,2,12
1683,1,12
1696,2,13
1708,2,12
1721,2,13
1733,2,12
1746,2,13
1758,2,12
1770,1,12
1783,2,13
1796,3,13
1810,1,14
1824,3,14
1837,3,13
1850,2,13
1865,5,15
1892,12,27
1894,3,2
1906,5,12
1915,1,9
1928,2,13
1939,2,11
1952,4,13
1960,2,8
1971,2,11
1982,2,11
1992,2,10
2004,3,12
2013,2,9
2024,2,11
2034,2,10
2045,2,11
2055,1,10
2066,2,11
2076,1,10
2087,2,11
2098,2,11
2108,2,10
2119,2,11
2130,2,11
2144,5,14
2152,2,8
2165,2,13
2178,3,13
2191,3,13
2204,2,13
2217,2,13
2231,3,14
2244,3,13
2257,2,13
2270,2,13
2283,2,13
2296,2,13
2312,5,16
2324,2,12
2337,2,13
2350,3,13
2363,2,13
2378,4,15
2392,2,14
2406,2,14
2418,2,12
2434,6,16
2454,2,20
2474,2,20
2488,3,14
2501,2,13
2513,2,12
2525,1,12
2537,2,12
2549,1,12
2562,2,13
2575,2,13
2588,2,13
2600,2,12
2612,2,12
2625,2,13
2637,2,12
2649,2,12
2661,2,12
2673,2,12
2685,1,12
2697,1,12
2709,2,12
2721,2,12
2733,2,12
2745,1,12
2757,1,12
2769,1,12
2794,15,25
2798,3,4
2810,2,12
2822,2,12
2834,2,12
2850,6,16
2861,2,11
2873,2,12
2885,2,12
2898,2,13
2911,3,13
2923,2,12
2935,1,12
2948,2,13
2960,2,12
2973,2,13
