time (ms),latency (ms),consume (ms)
0,49,0
4,39,4
6,30,2
7,21,1
9,8,2
13,2,4
24,3,11
34,2,10
45,2,11
55,2,10
66,3,11
75,2,9
85,2,10
95,2,10
107,3,12
119,3,12
130,3,11
143,5,13
151,2,8
163,3,12
176,6,13
184,3,8
196,4,12
205,2,9
215,2,10
225,1,10
236,2,11
247,2,11
257,2,10
268,2,11
278,2,10
290,3,12
299,2,9
310,2,11
321,2,11
332,2,11
342,2,10
353,2,11
363,2,10
374,2,11
385,2,11
398,5,13
408,2,10
420,4,12
430,2,10
440,1,10
451,2,11
462,2,11
472,2,10
483,2,11
493,1,10
504,2,11
515,2,11
526,3,11
536,2,10
546,2,10
557,2,11
568,1,11
580,3,12
591,3,11
601,2,10
613,3,12
624,3,11
633,2,9
644,3,11
656,3,12
666,2,10
676,2,10
687,2,11
697,2,10
708,2,11
719,2,11
729,2,10
739,2,10
751,4,12
760,2,9
772,4,12
782,2,10
793,2,11
803,2,10
813,2,10
826,4,13
834,2,8
845,2,11
855,2,10
865,2,10
875,2,10
885,2,10
895,2,10
908,4,13
919,2,11
930,2,11
944,5,14
951,2,7
962,2,11
972,2,10
982,2,10
993,2,11
1003,2,10
1014,2,11
1025,2,11
1035,2,10
1045,2,10
1055,2,10
1065,2,10
1075,2,10
1085,2,10
1095,2,10
1105,2,10
1115,2,10
1125,1,10
1136,2,11
1147,2,11
1158,2,11
1171,4,13
1181,1,10
1192,2,11
1203,2,11
1213,2,10
1223,2,10
1233,2,10
1244,2,11
1254,2,10
1265,3,11
1276,4,11
1286,2,10
1297,2,11
1309,3,12
1322,5,13
1337,7,15
1348,3,11
1370,12,22
1380,6,10
1386,1,6
1397,2,11
1407,1,10
1418,1,11
1428,1,10
1439,2,11
1449,1,10
1460,2,11
1470,1,10
1481,2,11
1491,1,10
1502,2,11
1512,1,10
1523,2,11
1533,1,10
1544,2,11
1555,2,11
1565,1,10
1578,3,13
1589,2,11
1600,2,11
1611,2,11
1622,2,11
1632,1,10
1643,1,11
1654,2,11
1665,2,11
1676,2,11
1686,2,10
1696,2,10
1707,2,11
1717,2,10
1728,2,11
1739,2,11
1749,2,10
1759,2,10
1769,2,10
1779,1,10
1790,2,11
1801,2,11
1811,2,10
1823,2,12
1833,2,10
1844,2,11
1854,2,10
1865,2,11
1876,2,11
1886,2,10
1897,2,11
1909,3,12
1918,2,9
1929,2,11
1939,2,10
1949,2,10
1960,2,11
1970,2,10
1981,2,11
1991,1,10
2002,2,11
2012,2,10
2022,1,10
2034,2,12
2044,2,10
2057,4,13
2066,1,9
2077,2,11
2088,2,11
2098,1,10
2109,2,11
2119,1,10
2130,2,11
2141,2,11
2151,2,10
2162,2,11
2172,2,10
2183,2,11
2193,2,10
2204,2,11
2214,1,10
2225,2,11
2235,2,10
2245,1,10
2256,2,11
2267,2,11
2277,2,10
2287,2,10
2298,2,11
2309,2,11
2320,2,11
2330,2,10
2341,2,11
2351,1,10
2362,2,11
2372,2,10
2382,2,10
2393,2,11
2403,2,10
2413,2,10
2424,2,11
2433,1,9
2444,2,11
2455,2,11
2465,2,10
2476,2,11
2487,2,11
2497,2,10
2508,2,11
2519,2,11
2529,2,10
2540,2,11
2549,1,9
2564,6,15
2570,2,6
2581,2,11
2591,2,10
2601,2,10
2611,2,10
2621,2,10
2632,2,11
2642,2,10
2653,2,11
2664,2,11
