time (ms),latency (ms),consume (ms)
0,12,0
6,8,6
9,8,3
12,8,3
14,7,2
15,5,1
16,3,1
18,3,2
20,4,2
20,1,0
22,1,2
24,1,2
25,1,1
30,4,5
32,1,2
35,1,3
36,0,1
39,1,3
42,2,3
45,1,3
48,1,3
51,1,3
53,1,2
56,1,3
59,1,3
63,1,4
65,1,2
68,2,3
70,1,2
73,1,3
76,1,3
79,1,3
82,1,3
84,1,2
87,1,3
89,1,2
92,1,3
95,2,3
99,2,4
102,1,3
105,1,3
108,1,3
111,1,3
113,1,2
116,1,3
120,2,4
122,0,2
128,4,6
132,1,4
160,20,28
164,23,4
165,22,1
165,17,0
166,17,1
167,16,1
168,14,1
169,13,1
169,8,0
170,7,1
171,5,1
172,4,1
173,3,1
174,3,1
176,3,2
176,1,0
177,1,1
179,1,2
180,0,1
182,1,2
184,1,2
186,1,2
188,1,2
190,0,2
193,1,3
195,1,2
197,1,2
200,1,3
202,1,2
204,0,2
207,1,3
210,1,3
213,2,3
216,2,3
218,1,2
221,1,3
223,1,2
225,1,2
227,1,2
229,0,2
231,0,2
234,1,3
236,1,2
238,1,2
241,1,3
244,1,3
246,0,2
249,1,3
251,1,2
253,1,2
255,0,2
258,1,3
260,1,2
262,1,2
264,1,2
266,0,2
269,1,3
271,1,2
273,0,2
276,1,3
278,1,2
281,1,3
286,3,5
290,1,4
292,1,2
295,1,3
301,1,6
303,1,2
310,1,7
313,1,3
315,0,2
318,1,3
320,1,2
323,1,3
325,1,2
327,1,2
331,1,4
336,1,5
338,0,2
341,1,3
345,3,4
346,2,1
347,0,1
350,1,3
352,1,2
354,1,2
356,1,2
358,0,2
361,1,3
363,1,2
366,1,3
368,1,2
370,1,2
372,0,2
376,2,4
380,2,4
382,1,2
384,1,2
386,0,2
389,1,3
392,1,3
394,1,2
399,1,5
401,1,2
404,1,3
407,1,3
409,1,2
411,0,2
414,1,3
418,1,4
419,0,1
422,1,3
424,1,2
426,1,2
428,1,2
430,0,2
433,1,3
435,1,2
437,1,2
439,1,2
441,0,2
444,1,3
446,1,2
448,0,2
450,0,2
452,0,2
455,1,3
457,1,2
459,1,2
461,1,2
464,1,3
466,1,2
469,2,3
473,2,4
476,1,3
480,1,4
482,0,2
486,1,4
491,3,5
496,2,5
499,1,3
503,1,4
508,1,5
511,1,3
514,2,3
515,1,1
516,1,1
518,1,2
520,1,2
522,1,2
524,0,2
526,0,2
529,1,3
531,1,2
533,1,2
535,0,2
537,0,2
540,1,3
542,1,2
544,1,2
546,1,2
548,1,2
550,1,2
552,0,2
555,1,3
557,1,2
559,1,2
561,0,2
573,10,12
574,5,1
575,4,1
579,7,4
581,7,2
585,10,4
586,6,1
587,5,1
588,3,1
589,2,1
590,2,1
591,1,1
593,1,2
594,0,1
598,2,4
599,2,1
600,1,1
602,2,2
606,3,4
608,3,2
609,1,1
610,1,1
612,1,2
614,1,2
616,1,2
618,2,2
622,3,4
624,2,2
627,3,3
628,2,1
629,1,1
630,0,1
633,2,3
636,3,3
637,2,1
638,1,1
639,1,1
641,1,2
643,1,2
645,1,2
648,2,3
649,1,1
650,1,1
652,1,2
653,0,1
655,1,2
657,1,2
659,1,2
660,0,1
662,1,2
664,1,2
666,1,2
668,0,2
670,0,2
672,0,2
675,1,3
677,1,2
679,1,2
681,1,2
683,0,2
685,0,2
687,0,2
689,0,2
691,0,2
694,1,3
696,1,2
698,1,2
700,1,2
702,0,2
704,0,2
706,0,2
709,1,3
711,1,2
713,0,2
715,0,2
718,1,3
720,1,2
722,1,2
724,1,2
726,1,2
728,1,2
730,0,2
732,0,2
736,2,4
738,1,2
741,1,3
743,1,2
745,1,2
747,0,2
750,1,3
752,1,2
754,1,2
761,1,7
764,1,3
766,1,2
776,8,10
782,1,6
785,1,3
787,1,2
790,1,3
793,1,3
797,2,4
802,1,5
805,1,3
808,1,3
811,1,3
814,1,3
820,4,6
824,1,4
826,0,2
829,1,3
832,2,3
837,2,5
839,1,2
842,1,3
844,1,2
847,1,3
849,0,2
852,1,3
853,0,1
856,1,3
858,1,2
861,1,3
863,1,2
865,1,2
867,0,2
870,1,3
872,1,2
874,0,2
877,1,3
879,1,2
881,0,2
884,1,3
887,1,3
890,1,3
893,1,3
895,1,2
897,1,2
900,1,3
902,1,2
904,1,2
907,1,3
910,2,3
913,1,3
915,1,2
918,1,3
920,0,2
923,1,3
925,1,2
928,1,3
930,0,2
934,1,4
936,1,2
940,2,4
943,2,3
945,1,2
947,0,2
949,0,2
953,1,4
959,1,6
962,2,3
967,3,5
970,1,3
972,1,2
974,0,2
977,1,3
978,0,1
983,2,5
986,1,3
988,1,2
990,1,2
992,1,2
995,1,3
997,1,2
999,1,2
1001,1,2
1003,1,2
1005,1,2
1007,1,2
1009,0,2
1011,0,2
1013,0,2
1015,1,2
1017,1,2
1019,1,2
1023,2,4
1026,1,3
1027,0,1
1029,0,2
1032,1,3
1034,1,2
1036,1,2
1038,1,2
1040,1,2
1043,1,3
1045,1,2
1047,1,2
1048,0,1
1050,0,2
1052,0,2
1054,0,2
1056,0,2
1058,0,2
1060,0,2
1062,0,2
1064,0,2
1066,0,2
1070,1,4
1074,1,4
1077,2,3
1079,1,2
1082,1,3
1084,1,2
1088,2,4
1090,1,2
1092,1,2
1094,1,2
1096,0,2
1099,1,3
1101,1,2
1103,1,2
1105,1,2
1107,1,2
1109,1,2
1111,0,2
1113,0,2
1116,1,3
1118,1,2
1120,1,2
1122,1,2
1124,1,2
1126,0,2
1129,1,3
1131,1,2
1133,1,2
1135,1,2
1137,1,2
1139,1,2
1142,1,3
1144,1,2
1146,1,2
1148,1,2
1151,1,3
1154,1,3
1157,1,3
1159,1,2
1162,1,3
1164,1,2
1166,0,2
1168,0,2
1171,1,3
1173,0,2
1175,0,2
1178,1,3
1180,1,2
1182,1,2
1184,1,2
1186,1,2
1188,1,2
1190,0,2
1192,0,2
1194,0,2
1196,0,2
1198,1,2
1200,1,2
1202,1,2
1204,1,2
1207,2,3
1212,1,5
1214,1,2
1217,1,3
1219,1,2
1222,1,3
1224,1,2
1227,1,3
1229,1,2
1232,1,3
1234,1,2
1236,0,2
1238,0,2
1240,0,2
1242,0,2
1244,0,2
1246,0,2
1248,1,2
1250,1,2
1251,0,1
1255,2,4
1262,1,7
1264,0,2
1266,0,2
1268,0,2
1270,0,2
1273,1,3
1296,6,23
1305,1,9
1307,1,2
1309,1,2
1311,1,2
1313,1,2
1315,1,2
1316,0,1
1318,0,2
1320,0,2
1322,0,2
1324,0,2
1326,0,2
1330,2,4
1333,1,3
1335,1,2
1337,0,2
1339,0,2
1341,0,2
1343,0,2
1345,0,2
1348,1,3
1350,1,2
1351,0,1
1353,0,2
1355,0,2
1358,1,3
1360,1,2
1362,0,2
1365,1,3
1367,1,2
1372,3,5
1374,0,2
1377,1,3
1379,1,2
1381,0,2
1384,1,3
1386,1,2
1388,1,2
1390,0,2
1392,0,2
1394,0,2
1397,1,3
1399,1,2
1402,1,3
1404,1,2
1406,1,2
1408,1,2
1410,1,2
1412,0,2
1414,0,2
1417,1,3
1419,1,2
1421,1,2
1423,0,2
1425,0,2
1427,0,2
1429,0,2
1432,1,3
1434,1,2
1436,1,2
1438,1,2
1440,0,2
1443,1,3
1445,1,2
1447,1,2
1449,1,2
1451,1,2
1456,4,5
1459,1,3
1461,1,2
1462,0,1
1464,0,2
1466,0,2
1468,0,2
1470,0,2
1475,3,5
1477,1,2
1479,1,2
1481,1,2
1483,1,2
