time (ms),latency (ms),consume (ms)
0,6,0
0,4,0
0,3,0
0,3,0
1,4,1
10,13,9
10,9,0
10,9,0
11,10,1
11,10,0
11,9,0
11,9,0
12,10,1
12,10,0
12,10,0
12,9,0
12,9,0
13,9,1
13,9,0
13,8,0
13,8,0
18,11,5
19,6,1
19,5,0
19,5,0
20,6,1
20,6,0
20,5,0
20,5,0
20,5,0
20,5,0
20,5,0
20,5,0
21,6,1
21,5,0
22,6,1
22,6,0
28,12,6
28,7,0
28,7,0
28,7,0
28,6,0
29,6,1
29,6,0
29,5,0
29,4,0
29,4,0
29,4,0
29,4,0
29,4,0
29,4,0
29,3,0
29,3,0
38,12,9
38,8,0
38,8,0
38,8,0
38,8,0
38,8,0
38,8,0
38,7,0
38,7,0
38,7,0
38,6,0
39,6,1
39,4,0
39,4,0
39,4,0
39,4,0
46,10,7
46,7,0
46,7,0
46,6,0
46,6,0
46,6,0
46,5,0
46,5,0
46,4,0
47,5,1
47,5,0
47,4,0
48,5,1
48,5,0
48,5,0
48,5,0
54,11,6
54,6,0
55,7,1
55,7,0
55,6,0
55,5,0
55,5,0
55,5,0
55,4,0
55,4,0
55,4,0
55,4,0
56,5,1
56,5,0
56,5,0
56,4,0
60,8,4
60,4,0
60,4,0
60,4,0
60,3,0
60,3,0
61,4,1
61,4,0
61,4,0
61,4,0
61,4,0
61,3,0
61,3,0
61,3,0
61,3,0
61,3,0
71,13,10
71,9,0
72,10,1
72,10,0
72,10,0
72,10,0
72,10,0
72,9,0
72,8,0
82,18,10
83,19,1
84,20,1
84,19,0
84,17,0
89,21,5
89,20,0
89,20,0
89,14,0
89,14,0
89,14,0
90,15,1
90,14,0
90,14,0
90,14,0
90,13,0
90,13,0
91,14,1
91,14,0
91,13,0
91,13,0
93,15,2
93,15,0
94,15,1
94,13,0
94,13,0
94,12,0
94,12,0
94,12,0
94,12,0
94,12,0
95,12,1
95,12,0
95,12,0
96,11,1
96,11,0
96,11,0
96,11,0
96,11,0
96,11,0
97,9,1
97,9,0
97,9,0
97,9,0
97,8,0
97,8,0
98,8,1
98,8,0
98,8,0
98,8,0
98,8,0
98,7,0
99,8,1
99,8,0
99,8,0
102,11,3
102,8,0
102,8,0
102,7,0
102,7,0
102,7,0
102,6,0
102,6,0
102,6,0
102,5,0
102,5,0
102,5,0
103,6,1
103,5,0
104,5,1
104,5,0
107,7,3
107,4,0
107,4,0
108,5,1
108,5,0
108,5,0
108,5,0
108,5,0
108,4,0
108,4,0
108,3,0
108,3,0
108,3,0
108,3,0
108,3,0
108,3,0
112,7,4
112,3,0
113,4,1
113,4,0
113,4,0
113,4,0
113,4,0
113,3,0
113,3,0
113,3,0
