time (ms),latency (ms),consume (ms)
0,6,0
2,5,2
3,5,1
5,6,2
6,5,1
6,4,0
7,4,1
8,3,1
9,3,1
9,2,0
11,2,2
12,2,1
14,3,2
15,2,1
16,2,1
18,2,2
19,2,1
21,2,2
22,2,1
24,2,2
25,2,1
27,2,2
29,2,2
30,2,1
32,2,2
33,2,1
34,1,1
36,2,2
37,1,1
39,2,2
41,2,2
42,2,1
44,1,2
46,2,2
47,1,1
49,1,2
51,2,2
53,1,2
55,2,2
57,1,2
59,2,2
61,2,2
63,2,2
64,2,1
66,2,2
68,2,2
69,2,1
71,2,2
73,2,2
74,1,1
76,2,2
78,2,2
79,1,1
81,2,2
82,1,1
84,2,2
86,2,2
88,2,2
89,1,1
91,2,2
92,1,1
94,2,2
96,2,2
97,2,1
99,2,2
101,2,2
102,2,1
103,1,1
105,2,2
106,1,1
108,2,2
109,2,1
110,1,1
112,2,2
113,1,1
114,1,1
116,1,2
117,1,1
119,2,2
120,1,1
121,1,1
123,1,2
125,2,2
126,1,1
128,2,2
129,1,1
132,3,3
134,3,2
135,3,1
137,3,2
138,3,1
140,3,2
141,3,1
143,3,2
144,3,1
146,3,2
147,3,1
149,3,2
151,4,2
152,3,1
154,3,2
156,4,2
157,3,1
159,4,2
160,3,1
162,4,2
163,3,1
165,4,2
166,3,1
168,4,2
169,3,1
171,3,2
172,3,1
174,3,2
175,2,1
177,3,2
178,2,1
180,3,2
181,2,1
183,3,2
184,2,1
186,3,2
188,4,2
190,4,2
191,4,1
193,4,2
194,3,1
196,4,2
198,4,2
199,3,1
200,3,1
202,3,2
203,2,1
205,3,2
206,2,1
207,2,1
209,3,2
210,2,1
211,2,1
213,2,2
214,2,1
215,2,1
217,2,2
218,2,1
220,3,2
221,2,1
222,2,1
224,2,2
225,2,1
226,1,1
228,2,2
229,1,1
231,2,2
232,1,1
233,1,1
235,2,2
236,1,1
238,1,2
239,1,1
241,1,2
242,1,1
244,1,2
245,1,1
247,1,2
249,2,2
250,1,1
252,2,2
253,1,1
255,2,2
256,1,1
258,1,2
260,2,2
261,1,1
262,1,1
264,1,2
266,2,2
267,1,1
269,2,2
270,1,1
272,1,2
273,1,1
275,1,2
277,2,2
278,1,1
280,1,2
282,2,2
284,2,2
286,2,2
287,2,1
289,2,2
290,2,1
293,2,3
294,2,1
295,1,1
297,2,2
298,1,1
300,2,2
301,1,1
303,2,2
304,1,1
306,2,2
307,1,1
308,1,1
310,2,2
311,1,1
312,1,1
314,2,2
315,1,1
317,2,2
318,1,1
320,1,2
322,1,2
324,1,2
326,1,2
328,1,2
330,1,2
332,1,2
346,14,14
348,14,2
349,14,1
351,14,2
352,13,1
353,12,1
355,13,2
356,12,1
357,11,1
359,10,2
360,10,1
361,9,1
363,9,2
364,8,1
366,9,2
367,8,1
368,8,1
370,8,2
371,7,1
372,7,1
374,7,2
375,6,1
376,6,1
378,6,2
379,6,1
380,5,1
382,5,2
383,5,1
385,5,2
386,5,1
388,5,2
390,5,2
392,6,2
394,6,2
396,7,2
397,6,1
399,6,2
401,7,2
403,6,2
405,6,2
407,6,2
409,6,2
410,5,1
412,5,2
413,4,1
415,4,2
416,4,1
418,4,2
419,4,1
421,4,2
422,4,1
423,3,1
425,4,2
426,3,1
427,3,1
429,3,2
431,3,2
432,3,1
433,2,1
434,1,1
436,2,2
437,2,1
439,2,2
440,2,1
441,1,1
443,2,2
445,2,2
446,1,1
448,2,2
449,1,1
451,2,2
453,2,2
454,1,1
456,2,2
458,2,2
459,1,1
461,2,2
462,1,1
464,2,2
466,2,2
467,2,1
469,2,2
470,2,1
471,1,1
473,1,2
475,2,2
476,1,1
478,1,2
479,1,1
481,1,2
482,1,1
484,2,2
485,1,1
486,1,1
488,2,2
489,1,1
490,1,1
492,2,2
493,1,1
494,1,1
496,2,2
497,1,1
499,2,2
500,1,1
502,2,2
503,1,1
505,2,2
506,2,1
507,1,1
509,2,2
510,1,1
513,3,3
514,3,1
514,2,0
515,1,1
515,0,0
517,1,2
518,1,1
519,1,1
520,0,1
521,0,1
523,1,2
524,1,1
525,1,1
526,0,1
527,0,1
529,1,2
530,1,1
531,1,1
532,0,1
533,0,1
535,1,2
536,1,1
537,1,1
538,0,1
539,0,1
541,1,2
542,1,1
543,1,1
544,0,1
545,0,1
547,1,2
548,1,1
549,1,1
550,0,1
551,0,1
553,1,2
554,1,1
555,1,1
556,0,1
557,0,1
559,1,2
560,1,1
563,3,3
565,3,2
565,2,0
566,1,1
567,1,1
568,1,1
569,0,1
571,1,2
572,1,1
573,1,1
574,0,1
576,1,2
577,1,1
585,2,8
586,1,1
587,1,1
588,1,1
589,0,1
591,1,2
592,1,1
593,1,1
594,0,1
595,0,1
597,1,2
598,1,1
599,1,1
600,0,1
601,0,1
603,1,2
604,1,1
605,1,1
606,0,1
607,0,1
609,1,2
610,1,1
611,0,1
612,0,1
613,0,1
615,1,2
616,1,1
617,0,1
618,0,1
620,1,2
621,1,1
622,1,1
623,0,1
624,0,1
626,1,2
627,1,1
628,1,1
629,0,1
630,0,1
632,1,2
633,1,1
634,1,1
635,0,1
637,1,2
638,1,1
639,1,1
640,0,1
641,0,1
643,1,2
644,1,1
645,1,1
646,0,1
647,0,1
649,1,2
650,1,1
651,1,1
652,0,1
653,0,1
655,1,2
656,1,1
657,0,1
658,0,1
659,0,1
661,1,2
662,1,1
663,0,1
664,0,1
666,1,2
667,1,1
668,1,1
669,0,1
670,0,1
672,1,2
673,1,1
674,1,1
675,0,1
676,0,1
678,1,2
679,1,1
680,1,1
681,0,1
682,0,1
684,1,2
685,1,1
686,1,1
687,0,1
688,0,1
690,1,2
691,1,1
692,1,1
693,0,1
695,1,2
696,1,1
697,1,1
698,0,1
699,0,1
700,0,1
702,1,2
703,1,1
704,0,1
705,0,1
706,0,1
708,1,2
709,1,1
710,0,1
711,0,1
713,1,2
714,1,1
716,2,2
716,0,0
717,0,1
719,1,2
720,1,1
721,1,1
722,0,1
723,0,1
725,1,2
726,1,1
727,1,1
728,0,1
729,0,1
731,1,2
735,4,4
735,3,0
736,2,1
736,1,0
737,1,1
738,1,1
739,1,1
740,0,1
742,1,2
743,1,1
744,1,1
745,0,1
747,1,2
748,1,1
749,1,1
750,1,1
751,0,1
753,1,2
754,1,1
755,1,1
756,1,1
757,0,1
759,1,2
760,1,1
761,1,1
762,1,1
763,0,1
765,1,2
766,1,1
767,1,1
768,1,1
769,0,1
770,0,1
772,1,2
773,1,1
774,1,1
775,0,1
777,1,2
778,1,1
779,1,1
780,1,1
781,0,1
782,0,1
783,0,1
786,2,3
787,2,1
787,1,0
788,0,1
789,0,1
791,1,2
792,1,1
793,1,1
794,0,1
795,0,1
796,0,1
798,1,2
799,1,1
800,1,1
801,0,1
802,0,1
804,1,2
805,1,1
806,1,1
807,0,1
808,0,1
810,1,2
811,1,1
812,1,1
813,0,1
814,0,1
816,1,2
817,1,1
818,1,1
819,0,1
821,1,2
822,1,1
823,1,1
824,0,1
825,0,1
826,0,1
828,1,2
829,1,1
830,1,1
831,0,1
832,0,1
834,1,2
835,1,1
836,1,1
837,0,1
838,0,1
840,1,2
841,1,1
842,1,1
843,0,1
844,0,1
846,1,2
847,1,1
848,1,1
849,0,1
850,0,1
852,1,2
853,1,1
854,1,1
855,0,1
856,0,1
858,1,2
859,1,1
860,0,1
861,0,1
862,0,1
864,1,2
865,1,1
866,0,1
867,0,1
869,1,2
870,1,1
871,1,1
872,0,1
873,0,1
874,0,1
876,1,2
877,1,1
878,0,1
879,0,1
881,1,2
882,1,1
883,1,1
884,0,1
885,0,1
887,1,2
888,1,1
889,1,1
890,0,1
892,1,2
893,1,1
894,1,1
895,0,1
896,0,1
898,1,2
899,1,1
900,1,1
901,0,1
902,0,1
904,1,2
905,1,1
906,1,1
907,0,1
908,0,1
910,1,2
911,1,1
912,1,1
913,0,1
914,0,1
916,1,2
919,3,3
920,2,1
920,1,0
921,1,1
922,1,1
923,1,1
924,1,1
925,0,1
926,0,1
928,1,2
929,1,1
930,1,1
931,0,1
932,0,1
934,1,2
935,1,1
936,1,1
937,0,1
938,0,1
940,1,2
941,1,1
942,1,1
943,0,1
944,0,1
946,1,2
947,1,1
948,1,1
949,0,1
950,0,1
952,1,2
953,1,1
954,1,1
955,0,1
956,0,1
958,1,2
959,1,1
960,1,1
961,0,1
962,0,1
964,1,2
965,1,1
966,0,1
967,0,1
969,1,2
970,1,1
971,1,1
972,0,1
973,0,1
974,0,1
976,1,2
977,1,1
978,0,1
982,3,4
983,3,1
983,2,0
984,2,1
984,1,0
985,0,1
986,0,1
987,0,1
989,1,2
990,1,1
991,0,1
992,0,1
994,1,2
995,1,1
996,1,1
997,0,1
998,0,1
999,0,1
1001,1,2
1002,1,1
1003,0,1
1004,0,1
1005,0,1
1007,1,2
1008,1,1
1009,0,1
1010,0,1
1011,0,1
1013,1,2
1014,1,1
1015,1,1
1016,0,1
1017,0,1
1018,0,1
1020,1,2
1021,1,1
1022,1,1
1023,1,1
1024,0,1
1025,0,1
1026,0,1
1028,1,2
1029,1,1
1030,1,1
1031,0,1
1032,0,1
1033,0,1
1034,0,1
1036,1,2
1037,1,1
1038,1,1
1039,0,1
1040,0,1
1041,0,1
1043,1,2
1044,1,1
1045,1,1
1046,0,1
1047,0,1
1048,0,1
1050,1,2
1051,1,1
1052,1,1
1053,1,1
1054,0,1
1055,0,1
1056,0,1
1057,0,1
1059,1,2
1060,1,1
1061,1,1
1062,0,1
1063,0,1
1064,0,1
1066,1,2
1067,1,1
1068,1,1
1069,0,1
1070,0,1
1071,0,1
1073,1,2
1074,1,1
1075,1,1
1076,0,1
1077,0,1
1078,0,1
1080,1,2
1081,1,1
1082,1,1
1083,0,1
1084,0,1
1085,0,1
1086,0,1
1088,1,2
1089,1,1
1090,1,1
1091,0,1
1092,0,1
1093,0,1
1095,1,2
1096,1,1
1097,1,1
1098,0,1
1099,0,1
1100,0,1
1101,0,1
1103,1,2
1104,1,1
1105,1,1
1106,0,1
1107,0,1
1108,0,1
1110,1,2
1111,1,1
1112,1,1
1113,0,1
1114,0,1
1115,0,1
1117,1,2
1118,1,1
1119,1,1
1120,0,1
1121,0,1
1122,0,1
1124,1,2
1125,1,1
1126,1,1
1127,1,1
1128,0,1
1129,0,1
1130,0,1
1132,1,2
1133,1,1
1134,1,1
1135,0,1
1136,0,1
1137,0,1
1138,0,1
1140,1,2
1141,1,1
1142,1,1
1143,0,1
1144,0,1
1145,0,1
1147,1,2
1148,1,1
1149,1,1
1150,0,1
1151,0,1
1153,1,2
1154,1,1
1155,1,1
1156,0,1
1157,0,1
1159,1,2
1160,1,1
1161,1,1
1162,0,1
1163,0,1
1164,0,1
1166,1,2
1167,1,1
1168,1,1
1169,0,1
1170,0,1
1172,1,2
1173,1,1
1174,1,1
1175,0,1
1176,0,1
1177,0,1
1179,1,2
1182,3,3
1183,3,1
1183,1,0
1184,1,1
1184,0,0
1186,1,2
1188,2,2
1188,0,0
1189,0,1
1191,1,2
1192,1,1
1193,1,1
1194,0,1
1195,0,1
1196,0,1
1198,1,2
1199,1,1
1200,0,1
1201,0,1
1203,1,2
1204,1,1
1205,1,1
1206,0,1
1207,0,1
1208,0,1
1210,1,2
1211,1,1
1212,0,1
1213,0,1
1215,1,2
1216,1,1
1217,1,1
1218,0,1
1219,0,1
1220,0,1
1222,1,2
1223,1,1
1224,0,1
1225,0,1
1226,0,1
1228,1,2
1229,1,1
1230,0,1
1231,0,1
1232,0,1
1234,1,2
1235,1,1
1236,0,1
1237,0,1
1239,1,2
1240,1,1
1241,1,1
1242,0,1
1243,0,1
1244,0,1
1246,1,2
1247,1,1
1248,0,1
1249,0,1
1250,0,1
1252,1,2
1253,1,1
1254,0,1
1255,0,1
1256,0,1
1258,1,2
1259,1,1
1260,1,1
1261,0,1
1262,0,1
1264,1,2
1265,1,1
1266,1,1
1267,0,1
1268,0,1
1269,0,1
1271,1,2
1272,1,1
1273,1,1
1274,0,1
1275,0,1
1277,1,2
1278,1,1
1279,1,1
1280,0,1
1281,0,1
1282,0,1
1284,1,2
1285,1,1
1286,0,1
1287,0,1
1288,0,1
1290,1,2
1291,1,1
1292,0,1
1293,0,1
1294,0,1
1296,1,2
1297,1,1
1298,1,1
1299,0,1
1300,0,1
1302,1,2
1303,1,1
1304,1,1
1305,0,1
1306,0,1
1308,1,2
1309,1,1
1310,1,1
1311,0,1
1312,0,1
1313,0,1
1315,1,2
1316,1,1
1317,0,1
1318,0,1
1319,0,1
1321,1,2
