time (ms),latency (ms),consume (ms)
0,12,0
8,5,8
16,3,8
27,3,11
37,2,10
47,2,10
58,2,11
68,2,10
80,2,12
91,2,11
102,2,11
112,2,10
123,2,11
134,2,11
144,2,10
155,2,11
166,3,11
176,2,10
188,3,12
198,2,10
208,2,10
218,1,10
229,2,11
241,2,12
251,2,10
262,2,11
273,2,11
284,2,11
295,2,11
306,2,11
316,2,10
327,2,11
338,2,11
350,3,12
360,2,10
370,1,10
381,2,11
392,2,11
402,1,10
413,2,11
424,2,11
434,2,10
446,3,12
456,2,10
466,1,10
478,3,12
488,2,10
499,2,11
510,2,11
521,2,11
535,5,14
542,2,7
552,1,10
563,2,11
574,2,11
585,2,11
595,1,10
606,2,11
617,2,11
630,5,13
638,2,8
649,2,11
659,1,10
671,2,12
683,4,12
694,3,11
705,3,11
714,1,9
726,2,12
736,1,10
747,2,11
758,2,11
768,2,10
779,2,11
790,2,11
800,2,10
810,1,10
821,2,11
831,1,10
842,1,11
853,1,11
864,2,11
875,2,11
885,1,10
896,2,11
907,2,11
917,1,10
928,1,11
939,2,11
949,1,10
960,1,11
971,1,11
982,1,11
993,2,11
1003,1,10
1014,2,11
1024,1,10
1035,1,11
1046,2,11
1056,1,10
1067,2,11
1077,1,10
1088,2,11
1098,1,10
1109,2,11
1119,1,10
1130,2,11
1140,1,10
1151,2,11
1161,1,10
1172,2,11
1183,2,11
1193,1,10
1204,2,11
1214,1,10
1225,1,11
1236,2,11
1246,1,10
1257,2,11
1268,2,11
1278,1,10
1289,2,11
1300,2,11
1311,2,11
1321,1,10
1332,1,11
1343,2,11
1354,2,11
1364,1,10
1375,2,11
1385,1,10
1396,2,11
1406,1,10
1417,2,11
1427,1,10
1437,1,10
1448,1,11
1458,1,10
1469,1,11
1479,1,10
1490,2,11
1500,1,10
1511,2,11
1521,1,10
1532,2,11
1542,1,10
1553,2,11
1563,1,10
1574,2,11
1584,1,10
1595,2,11
1605,1,10
1616,2,11
1626,1,10
1637,2,11
1647,1,10
1658,2,11
1668,1,10
1678,1,10
1689,1,11
1700,2,11
1710,1,10
1721,1,11
1732,2,11
1742,1,10
1753,1,11
1764,2,11
1774,1,10
1785,1,11
1796,1,11
1806,1,10
1817,1,11
1828,1,11
1840,2,12
1851,2,11
1862,2,11
1872,1,10
1883,2,11
1893,1,10
1903,1,10
1914,1,11
1926,2,12
1936,1,10
1947,2,11
1958,2,11
1968,1,10
1979,2,11
1990,2,11
2001,2,11
2011,1,10
2022,2,11
2033,2,11
2053,10,20
2061,8,8
2065,1,4
2076,1,11
2087,1,11
2098,1,11
2109,1,11
2120,1,11
2132,2,12
2143,2,11
2154,2,11
2165,1,11
2176,1,11
2187,1,11
2198,1,11
2210,1,12
2221,1,11
2233,2,12
2244,2,11
2254,1,10
2265,1,11
2277,2,12
2288,2,11
2309,2,21
2320,2,11
2341,13,21
2342,3,1
2351,2,9
2361,1,10
2372,1,11
2383,1,11
2395,2,12
2406,1,11
2417,1,11
2428,1,11
2439,1,11
2450,1,11
2461,1,11
2472,1,11
2484,2,12
2495,2,11
2506,1,11
2517,1,11
2528,1,11
2541,3,13
2552,2,11
2562,1,10
2573,2,11
2583,1,10
2594,2,11
2605,2,11
2616,2,11
2627,2,11
2638,2,11
2649,2,11
2660,2,11
2670,2,10
2681,2,11
2692,2,11
2703,2,11
2715,3,12
2725,2,10
2735,2,10
2747,3,12
2757,2,10
2767,1,10
2778,2,11
2788,1,10
2799,2,11
2809,1,10
2819,1,10
2830,1,11
2841,2,11
2851,2,10
2863,3,12
2874,1,11
2885,2,11
2895,1,10
2906,1,11
2917,2,11
2927,1,10
2938,2,11
2948,1,10
2959,1,11
2970,2,11
2980,1,10
2991,1,11
3002,2,11
3012,1,10
3023,2,11
3033,1,10
3044,2,11
3054,1,10
3065,1,11
3076,2,11
3087,2,11
3097,1,10
3108,2,11
3119,2,11
