time (ms),latency (ms),consume (ms)
0,11,0
2,3,2
7,2,5
13,2,6
18,2,5
23,1,5
29,2,6
35,2,6
40,2,5
45,1,5
51,2,6
56,1,5
62,2,6
67,1,5
73,2,6
78,1,5
84,2,6
90,2,6
95,2,5
101,2,6
106,2,5
111,1,5
117,2,6
122,1,5
128,2,6
134,2,6
139,2,5
145,2,6
150,2,5
156,2,6
161,2,5
167,2,6
172,1,5
178,2,6
183,1,5
189,2,6
195,2,6
200,2,5
206,2,6
211,1,5
217,2,6
223,2,6
228,2,5
233,1,5
239,2,6
245,2,6
250,2,5
256,2,6
261,2,5
267,2,6
272,1,5
278,2,6
283,1,5
289,2,6
294,1,5
300,2,6
305,1,5
311,2,6
316,1,5
322,2,6
327,1,5
333,2,6
339,2,6
344,1,5
350,2,6
355,1,5
360,1,5
366,2,6
371,1,5
377,2,6
382,1,5
388,1,6
394,2,6
399,1,5
405,1,6
411,2,6
416,1,5
422,1,6
427,1,5
433,1,6
439,2,6
445,2,6
450,1,5
456,1,6
462,2,6
467,1,5
473,1,6
479,2,6
484,1,5
490,1,6
495,1,5
501,1,6
507,2,6
513,2,6
518,1,5
524,1,6
530,2,6
536,2,6
541,1,5
547,1,6
553,2,6
558,1,5
564,2,6
569,1,5
575,1,6
581,2,6
586,1,5
592,1,6
598,2,6
603,1,5
609,1,6
615,2,6
620,1,5
626,1,6
632,2,6
637,1,5
643,1,6
649,2,6
654,1,5
660,2,6
666,2,6
671,1,5
677,1,6
683,2,6
688,1,5
694,1,6
700,2,6
706,2,6
711,1,5
717,1,6
723,2,6
728,1,5
734,1,6
739,1,5
745,1,6
751,2,6
756,1,5
762,1,6
768,2,6
773,1,5
779,2,6
785,2,6
790,1,5
796,2,6
801,1,5
807,1,6
812,1,5
818,1,6
824,2,6
829,1,5
835,1,6
840,1,5
846,1,6
852,2,6
857,1,5
863,1,6
869,2,6
874,1,5
880,2,6
885,1,5
891,1,6
896,1,5
902,1,6
908,2,6
913,1,5
919,1,6
924,1,5
930,1,6
936,2,6
941,1,5
947,1,6
953,2,6
958,1,5
964,2,6
969,1,5
975,1,6
981,2,6
986,1,5
992,1,6
997,1,5
1003,1,6
1009,2,6
1014,1,5
1020,2,6
1025,1,5
1031,1,6
1038,3,7
1043,1,5
1049,1,6
1055,2,6
1060,1,5
1066,1,6
1072,2,6
1078,2,6
1083,1,5
1088,1,5
1094,1,6
1099,1,5
1105,1,6
1110,1,5
1116,1,6
1121,1,5
1127,2,6
1132,1,5
1137,1,5
1143,2,6
1148,1,5
1154,2,6
1159,1,5
1165,1,6
1171,1,6
1177,1,6
1183,1,6
1189,1,6
1195,1,6
1202,2,7
1208,2,6
1226,14,18
1227,9,1
1227,4,0
1230,1,3
1236,2,6
1243,3,7
1250,2,7
1256,2,6
1262,1,6
1268,1,6
1274,1,6
1280,1,6
1285,1,5
1291,1,6
1297,1,6
1303,1,6
1309,1,6
1315,1,6
1321,1,6
1328,2,7
1333,1,5
1339,1,6
1346,2,7
1351,1,5
1356,1,5
1362,2,6
1367,1,5
1373,2,6
1378,1,5
1384,2,6
1389,1,5
1394,1,5
1400,2,6
1405,1,5
1411,2,6
1416,1,5
1422,2,6
1427,1,5
1433,1,6
1439,2,6
1444,1,5
1449,1,5
1455,2,6
1460,1,5
1465,1,5
1471,2,6
1476,1,5
1482,2,6
1487,1,5
1492,1,5
1498,2,6
1503,1,5
1509,2,6
1514,2,5
1519,1,5
1525,2,6
1530,1,5
1536,2,6
1541,1,5
1547,1,6
1553,1,6
1559,1,6
1566,2,7
1572,1,6
1578,1,6
1584,1,6
1590,1,6
1596,1,6
1603,2,7
1609,2,6
1614,1,5
1619,1,5
1625,2,6
1630,1,5
1636,2,6
1641,1,5
1646,1,5
1652,2,6
1657,1,5
1662,1,5
1668,2,6
1673,1,5
1679,2,6
1684,1,5
1689,1,5
1695,2,6
1700,1,5
1706,2,6
1711,1,5
1716,1,5
1722,2,6
1727,1,5
1732,1,5
1738,1,6
1743,1,5
1749,2,6
1754,1,5
1760,2,6
1765,1,5
1770,1,5
1776,1,6
1781,1,5
1787,1,6
1792,1,5
1798,1,6
1803,1,5
1809,2,6
1814,1,5
1824,2,10
1829,1,5
1834,1,5
1840,2,6
1845,1,5
1851,2,6
1856,1,5
1861,1,5
1867,2,6
1872,1,5
1878,2,6
1883,1,5
1889,2,6
1894,1,5
1899,1,5
1905,2,6
1910,1,5
1915,1,5
1921,2,6
1926,1,5
1932,2,6
1937,1,5
1942,1,5
1948,2,6
1953,1,5
1958,1,5
1964,2,6
1969,1,5
1974,1,5
1980,2,6
1985,1,5
1991,2,6
1996,1,5
2001,1,5
2007,2,6
2012,1,5
2017,1,5
2023,2,6
2028,1,5
2034,2,6
2039,1,5
2044,1,5
2050,2,6
2055,1,5
2061,2,6
2066,1,5
2071,1,5
2077,1,6
2084,2,7
2090,2,6
2096,2,6
2102,2,6
2107,1,5
2113,2,6
2118,1,5
2123,1,5
2129,2,6
2135,2,6
2152,1,17
2158,2,6
2163,1,5
2169,2,6
2174,1,5
2180,1,6
2186,1,6
2192,1,6
2198,1,6
2204,1,6
2210,1,6
2216,1,6
2222,1,6
2228,1,6
2234,1,6
2240,2,6
2245,2,5
2250,1,5
2255,1,5
2261,2,6
2266,1,5
2272,2,6
2277,1,5
2283,1,6
2289,2,6
2294,1,5
2300,2,6
2305,1,5
2310,1,5
2316,2,6
2321,1,5
2326,1,5
2332,1,6
2337,1,5
2343,2,6
2348,1,5
2353,1,5
2359,2,6
2364,1,5
2369,1,5
2375,2,6
2380,1,5
2385,1,5
2391,2,6
2396,1,5
2403,3,7
2407,2,4
2412,1,5
2417,1,5
2423,2,6
2428,1,5
2433,1,5
2438,1,5
2444,1,6
2449,1,5
2454,1,5
2460,1,6
2465,1,5
2470,1,5
2476,1,6
2481,1,5
2486,1,5
2492,2,6
2497,1,5
2502,1,5
2508,2,6
2513,1,5
2520,3,7
2524,2,4
2529,1,5
2534,1,5
2539,1,5
2545,1,6
2550,1,5
2555,1,5
2561,2,6
2566,1,5
2571,1,5
2577,2,6
2582,1,5
2587,1,5
2593,2,6
2598,1,5
2603,1,5
2609,2,6
2614,1,5
2619,1,5
2625,2,6
2630,1,5
2635,1,5
2641,2,6
2646,1,5
2651,1,5
2657,2,6
2662,1,5
2667,1,5
2673,2,6
2678,1,5
2683,1,5
2689,2,6
2694,1,5
2702,4,8
2704,1,2
2710,1,6
2715,1,5
2720,1,5
2726,1,6
2731,1,5
2737,2,6
2742,1,5
2747,1,5
2752,1,5
2758,1,6
2763,1,5
2768,1,5
2774,1,6
2779,1,5
2787,4,8
2791,2,4
2795,1,4
2800,1,5
2806,1,6
2811,1,5
2817,2,6
2822,1,5
2828,2,6
2833,1,5
2839,2,6
2844,2,5
2849,1,5
2855,2,6
2860,1,5
2865,1,5
2871,1,6
2876,1,5
2881,1,5
2887,1,6
2892,1,5
2897,1,5
2903,1,6
2908,1,5
2913,1,5
2919,1,6
2924,1,5
2929,1,5
2935,1,6
2940,1,5
2945,1,5
2951,1,6
2956,1,5
2962,2,6
2967,1,5
2972,1,5
2978,2,6
2983,1,5
2988,1,5
2994,2,6
2999,1,5
3004,1,5
3010,2,6
3015,1,5
3020,1,5
3025,1,5
3031,1,6
3036,1,5
3041,1,5
3047,1,6
3052,1,5
3058,2,6
3063,1,5
3068,1,5
3074,2,6
3079,1,5
3084,1,5
3090,2,6
3095,1,5
3100,1,5
3106,2,6
3111,1,5
3116,1,5
3122,2,6
3127,1,5
3132,1,5
3138,2,6
3143,1,5
3148,1,5
3154,2,6
3159,1,5
3164,1,5
3169,1,5
3175,1,6
3180,1,5
3186,2,6
3191,1,5
3196,1,5
3201,1,5
3207,1,6
3212,1,5
3217,1,5
3223,1,6
3228,1,5
3233,0,5
3239,1,6
3244,1,5
3250,1,6
3255,1,5
3260,1,5
3266,1,6
3271,1,5
3276,1,5
3282,1,6
3287,1,5
3293,1,6
3298,1,5
3304,2,6
3309,1,5
3315,2,6
3320,2,5
3325,1,5
3330,1,5
3335,1,5
3341,1,6
3346,1,5
3351,1,5
3357,1,6
3362,1,5
3367,1,5
3373,1,6
3378,1,5
3384,2,6
3389,1,5
3394,1,5
3400,1,6
3405,1,5
3410,1,5
3416,1,6
3421,1,5
3427,2,6
3432,1,5
3437,1,5
3443,1,6
3450,2,7
3456,1,6
3462,1,6
