time (ms),latency (ms),consume (ms)
0,11,0
5,12,5
5,12,0
5,8,0
5,7,0
5,6,0
5,4,0
5,4,0
6,5,1
6,4,0
6,3,0
6,2,0
7,3,1
9,5,2
9,4,0
9,4,0
10,4,1
11,4,1
11,3,0
11,3,0
11,3,0
12,3,1
12,3,0
12,3,0
12,3,0
12,2,0
12,1,0
13,2,1
13,1,0
14,2,1
15,2,1
15,2,0
18,4,3
19,5,1
19,4,0
19,4,0
20,4,1
20,4,0
20,3,0
20,3,0
22,4,2
23,4,1
23,4,0
23,4,0
23,3,0
24,4,1
24,3,0
24,3,0
25,3,1
25,3,0
27,4,2
27,4,0
29,5,2
29,5,0
30,6,1
30,5,0
30,5,0
31,6,1
31,5,0
31,5,0
32,6,1
32,5,0
32,5,0
33,5,1
33,5,0
33,4,0
34,5,1
34,4,0
34,4,0
34,3,0
35,4,1
35,4,0
35,3,0
35,3,0
36,3,1
36,3,0
36,2,0
36,2,0
37,2,1
37,2,0
37,1,0
38,2,1
38,1,0
39,2,1
39,1,0
40,2,1
41,2,1
41,2,0
41,1,0
42,2,1
43,2,1
43,2,0
44,3,1
44,2,0
45,2,1
45,2,0
46,3,1
46,2,0
48,4,2
48,3,0
48,3,0
48,2,0
49,3,1
49,3,0
50,3,1
50,3,0
50,3,0
50,2,0
50,2,0
51,2,1
51,2,0
51,2,0
52,2,1
52,2,0
52,2,0
53,2,1
53,2,0
54,2,1
54,2,0
55,2,1
55,2,0
55,2,0
56,2,1
56,1,0
57,2,1
57,2,0
58,2,1
59,2,1
59,2,0
59,1,0
60,2,1
60,1,0
61,2,1
61,2,0
62,2,1
62,2,0
62,1,0
63,2,1
64,2,1
64,2,0
64,2,0
64,1,0
65,2,1
65,2,0
66,2,1
66,2,0
66,1,0
67,2,1
67,2,0
68,2,1
68,2,0
68,1,0
69,2,1
70,3,1
70,2,0
70,2,0
70,2,0
71,2,1
72,3,1
72,2,0
72,2,0
72,2,0
72,1,0
73,2,1
74,2,1
74,2,0
74,2,0
75,2,1
75,2,0
76,3,1
76,2,0
76,2,0
77,3,1
77,2,0
77,2,0
78,2,1
79,3,1
80,4,1
80,3,0
80,3,0
81,4,1
81,3,0
81,3,0
81,2,0
81,2,0
82,3,1
82,2,0
82,2,0
82,1,0
83,2,1
83,2,0
84,2,1
84,2,0
84,2,0
85,2,1
85,2,0
85,2,0
86,2,1
86,2,0
87,3,1
87,2,0
87,2,0
87,2,0
87,1,0
88,2,1
89,3,1
89,2,0
89,2,0
90,3,1
90,3,0
90,2,0
91,3,1
91,3,0
91,2,0
91,2,0
92,3,1
92,2,0
92,2,0
93,3,1
93,2,0
93,2,0
93,2,0
96,4,3
96,2,0
97,2,1
97,2,0
97,1,0
98,2,1
99,2,1
99,2,0
100,2,1
100,2,0
100,2,0
101,2,1
102,3,1
102,2,0
103,3,1
103,2,0
103,2,0
104,3,1
104,2,0
104,2,0
105,2,1
105,2,0
105,1,0
106,2,1
106,2,0
107,2,1
107,2,0
108,2,1
108,2,0
109,2,1
110,2,1
110,2,0
111,2,1
112,2,1
112,1,0
113,2,1
113,2,0
114,2,1
114,2,0
114,2,0
115,2,1
115,2,0
115,2,0
116,2,1
116,2,0
117,2,1
117,2,0
117,2,0
118,2,1
118,2,0
119,3,1
119,2,0
119,2,0
120,2,1
120,2,0
121,3,1
121,2,0
122,3,1
122,2,0
122,2,0
122,2,0
123,2,1
123,2,0
124,3,1
124,2,0
124,2,0
125,2,1
125,2,0
125,2,0
126,3,1
126,2,0
127,3,1
127,3,0
127,2,0
127,2,0
127,1,0
128,2,1
128,2,0
129,2,1
129,2,0
129,2,0
130,2,1
130,2,0
131,2,1
131,2,0
131,2,0
132,3,1
132,2,0
132,2,0
133,2,1
133,2,0
133,2,0
134,3,1
134,2,0
135,3,1
135,2,0
135,2,0
136,2,1
136,2,0
137,2,1
137,2,0
137,2,0
138,2,1
141,5,3
142,5,1
142,5,0
143,6,1
143,5,0
143,5,0
143,5,0
143,4,0
143,4,0
144,5,1
144,4,0
144,4,0
144,4,0
144,3,0
144,3,0
144,3,0
144,2,0
144,2,0
145,3,1
145,2,0
169,26,24
169,26,0
169,25,0
169,25,0
169,24,0
169,24,0
170,25,1
170,24,0
170,24,0
170,23,0
170,23,0
170,23,0
170,22,0
170,22,0
171,23,1
171,22,0
171,22,0
171,22,0
171,21,0
171,21,0
171,21,0
172,21,1
172,21,0
172,21,0
172,20,0
172,20,0
172,20,0
172,20,0
172,19,0
172,19,0
173,20,1
173,20,0
173,20,0
173,19,0
173,19,0
174,20,1
174,20,0
174,19,0
174,19,0
174,19,0
174,18,0
175,19,1
175,19,0
175,19,0
175,18,0
175,18,0
175,18,0
176,19,1
176,19,0
176,18,0
176,18,0
176,18,0
176,18,0
176,18,0
176,17,0
177,18,1
177,18,0
177,18,0
177,17,0
177,17,0
177,17,0
177,17,0
177,17,0
177,16,0
178,17,1
178,17,0
178,17,0
178,17,0
178,16,0
178,16,0
179,17,1
179,17,0
179,16,0
179,16,0
179,16,0
179,16,0
179,16,0
179,15,0
180,16,1
180,16,0
180,16,0
181,17,1
181,17,0
181,16,0
181,16,0
181,16,0
181,16,0
181,16,0
181,16,0
182,16,1
182,16,0
182,16,0
182,16,0
182,15,0
182,15,0
182,15,0
182,15,0
183,16,1
183,15,0
183,15,0
183,15,0
183,15,0
184,16,1
184,15,0
184,15,0
184,15,0
184,15,0
184,15,0
185,15,1
185,15,0
185,15,0
185,14,0
185,14,0
185,14,0
185,14,0
185,14,0
185,14,0
185,13,0
185,13,0
186,14,1
186,14,0
186,14,0
186,13,0
187,14,1
187,14,0
187,14,0
187,14,0
187,13,0
187,13,0
187,13,0
187,13,0
188,14,1
188,14,0
188,13,0
188,13,0
188,13,0
189,14,1
189,14,0
189,13,0
189,13,0
189,13,0
189,13,0
189,13,0
189,13,0
190,13,1
190,13,0
190,13,0
190,13,0
190,13,0
194,17,4
195,17,1
195,17,0
195,17,0
195,17,0
195,17,0
195,16,0
195,16,0
195,16,0
195,16,0
195,16,0
195,16,0
196,16,1
196,15,0
196,15,0
196,15,0
196,15,0
197,15,1
197,15,0
197,14,0
197,14,0
197,14,0
197,14,0
197,13,0
197,13,0
198,14,1
198,14,0
198,14,0
198,13,0
198,13,0
198,13,0
198,13,0
198,13,0
198,13,0
198,13,0
199,13,1
199,13,0
199,13,0
199,13,0
199,13,0
199,13,0
199,12,0
199,12,0
199,12,0
199,12,0
200,12,1
200,12,0
200,12,0
200,11,0
200,11,0
200,10,0
200,10,0
200,10,0
200,9,0
200,9,0
200,9,0
201,9,1
201,9,0
201,9,0
201,9,0
201,8,0
201,8,0
201,7,0
201,7,0
201,6,0
201,6,0
201,5,0
202,6,1
202,6,0
202,5,0
202,5,0
202,5,0
202,4,0
202,4,0
202,4,0
202,3,0
202,3,0
203,4,1
203,3,0
203,3,0
203,2,0
203,2,0
203,2,0
203,1,0
203,1,0
203,1,0
204,1,1
204,1,0
204,1,0
205,1,1
207,3,2
207,2,0
207,2,0
207,2,0
207,1,0
208,1,1
208,1,0
209,1,1
209,1,0
209,1,0
210,1,1
210,1,0
211,1,1
211,1,0
212,1,1
213,2,1
213,1,0
213,1,0
214,1,1
214,1,0
215,2,1
215,1,0
215,1,0
216,1,1
216,1,0
217,1,1
217,1,0
218,2,1
219,2,1
219,1,0
219,1,0
219,1,0
220,2,1
220,1,0
220,1,0
221,1,1
221,1,0
222,1,1
223,2,1
223,2,0
223,1,0
224,2,1
224,1,0
225,2,1
225,1,0
225,1,0
226,1,1
226,1,0
227,2,1
227,1,0
228,2,1
228,1,0
229,2,1
229,1,0
230,1,1
250,7,20
251,7,1
251,7,0
251,6,0
251,6,0
251,6,0
251,5,0
251,4,0
251,4,0
251,4,0
251,3,0
251,3,0
251,2,0
252,3,1
252,3,0
252,2,0
252,2,0
252,1,0
252,1,0
253,2,1
253,1,0
254,1,1
254,1,0
255,1,1
255,1,0
258,3,3
258,3,0
258,3,0
258,2,0
258,2,0
258,1,0
258,1,0
266,8,8
266,8,0
266,8,0
266,8,0
266,7,0
266,7,0
266,7,0
266,7,0
267,8,1
267,7,0
267,7,0
267,7,0
267,7,0
267,7,0
267,6,0
267,6,0
267,6,0
267,6,0
267,6,0
267,5,0
267,5,0
267,5,0
267,5,0
267,5,0
267,4,0
267,4,0
267,4,0
267,4,0
268,5,1
268,4,0
268,4,0
268,4,0
268,4,0
268,4,0
268,3,0
268,3,0
268,3,0
271,6,3
271,6,0
271,5,0
271,5,0
271,5,0
