time (ms),latency (ms),consume (ms)
0,20,0
1,12,1
45,50,44
45,43,0
46,38,1
46,31,0
46,25,0
46,19,0
47,15,1
51,13,4
51,3,0
55,2,4
101,42,46
102,37,1
103,33,1
103,27,0
103,18,0
104,13,1
141,37,37
144,34,3
144,29,0
145,24,1
145,18,0
146,14,1
180,37,34
181,30,1
181,25,0
181,20,0
181,13,0
182,8,1
184,2,2
192,4,8
240,45,48
240,38,0
241,33,1
241,27,0
241,22,0
241,16,0
241,10,0
242,6,1
280,38,38
280,32,0
280,26,0
281,22,1
281,17,0
281,12,0
281,6,0
324,42,43
324,36,0
325,31,1
325,26,0
325,20,0
325,15,0
326,11,1
326,5,0
364,33,38
364,27,0
364,21,0
364,16,0
365,11,1
365,5,0
408,43,43
408,37,0
408,32,0
409,26,1
409,19,0
409,14,0
412,11,3
448,37,36
448,32,0
448,27,0
448,21,0
449,15,1
449,9,0
492,47,43
493,39,1
493,33,0
494,29,1
494,23,0
496,20,2
497,16,1
498,11,1
532,36,34
532,31,0
549,42,17
550,38,1
551,33,1
551,28,0
551,22,0
596,57,45
596,36,0
597,32,1
597,26,0
597,21,0
597,16,0
597,10,0
598,5,1
636,38,38
636,33,0
636,28,0
637,23,1
637,17,0
637,12,0
637,6,0
681,44,44
681,38,0
681,32,0
681,27,0
681,22,0
682,18,1
682,12,0
682,6,0
720,38,38
720,33,0
720,28,0
720,23,0
721,18,1
721,12,0
721,6,0
764,43,43
764,37,0
764,32,0
765,27,1
765,21,0
765,16,0
765,8,0
803,38,38
804,32,1
804,26,0
804,20,0
804,12,0
850,50,46
850,37,0
850,32,0
850,27,0
851,23,1
851,17,0
851,11,0
887,42,36
887,36,0
888,31,1
888,25,0
888,20,0
888,15,0
888,10,0
890,6,2
932,42,42
932,37,0
933,32,1
933,26,0
933,21,0
933,16,0
933,11,0
934,6,1
972,38,38
972,33,0
972,27,0
973,22,1
973,17,0
973,11,0
974,7,1
1016,42,42
1016,36,0
1016,27,0
1017,23,1
1017,18,0
1017,13,0
1017,7,0
1056,39,39
1056,33,0
1056,28,0
1057,23,1
1057,18,0
1057,12,0
1058,8,1
1096,38,38
1096,32,0
1096,26,0
1096,21,0
1097,17,1
1097,12,0
1097,6,0
1136,39,39
1136,34,0
1137,30,1
1137,24,0
1138,20,1
1139,16,1
1139,10,0
