time (ms),latency (ms),consume (ms)
0,12,0
1,3,1
6,2,5
13,3,7
17,1,4
23,2,6
28,1,5
34,1,6
40,2,6
46,2,6
55,2,9
62,1,7
68,2,6
73,1,5
79,2,6
84,1,5
90,1,6
96,2,6
101,1,5
107,2,6
112,1,5
118,2,6
123,1,5
129,2,6
135,2,6
140,1,5
146,2,6
151,1,5
157,2,6
162,1,5
168,2,6
174,2,6
179,1,5
185,2,6
191,2,6
196,1,5
202,2,6
207,1,5
213,2,6
219,2,6
224,1,5
231,2,7
236,2,5
242,2,6
247,2,5
253,2,6
259,2,6
264,2,5
269,1,5
276,2,7
281,1,5
287,2,6
292,1,5
298,2,6
303,1,5
309,1,6
315,2,6
320,1,5
326,2,6
332,2,6
337,1,5
343,2,6
348,1,5
354,2,6
359,1,5
365,2,6
370,1,5
376,1,6
382,2,6
387,1,5
394,2,7
400,2,6
405,2,5
410,1,5
416,1,6
421,1,5
427,1,6
433,2,6
438,1,5
444,2,6
450,2,6
455,1,5
461,2,6
466,1,5
472,1,6
478,2,6
483,1,5
489,1,6
494,1,5
500,2,6
505,1,5
510,1,5
516,1,6
522,2,6
528,2,6
533,1,5
539,2,6
544,1,5
550,2,6
555,1,5
561,2,6
566,1,5
572,2,6
578,2,6
583,1,5
589,2,6
594,2,5
599,1,5
605,2,6
611,2,6
616,2,5
622,2,6
627,2,5
633,2,6
638,1,5
644,1,6
650,2,6
655,1,5
661,2,6
667,2,6
673,2,6
678,2,5
683,1,5
689,1,6
695,2,6
701,2,6
706,1,5
712,2,6
717,1,5
723,2,6
728,1,5
734,1,6
739,1,5
745,1,6
751,1,6
756,1,5
762,1,6
767,1,5
773,1,6
779,2,6
784,1,5
790,2,6
795,1,5
801,2,6
806,1,5
812,1,6
818,2,6
823,1,5
829,2,6
834,1,5
840,2,6
845,1,5
851,2,6
856,1,5
862,2,6
867,1,5
873,2,6
878,1,5
883,1,5
890,2,7
895,2,5
900,1,5
905,1,5
915,5,10
918,3,3
922,1,4
927,1,5
933,2,6
938,1,5
944,2,6
949,1,5
955,2,6
960,1,5
965,1,5
972,2,7
977,1,5
987,2,10
992,1,5
998,2,6
1003,1,5
1008,1,5
1014,2,6
1019,1,5
1024,1,5
1029,1,5
1035,1,6
1040,1,5
1046,2,6
1051,1,5
1056,1,5
1062,2,6
1067,1,5
1073,1,6
1079,2,6
1084,1,5
1089,1,5
1095,2,6
1100,1,5
1106,2,6
1111,1,5
1116,1,5
1122,1,6
1127,1,5
1133,2,6
1138,1,5
1144,1,6
1149,1,5
1154,1,5
1160,1,6
1165,1,5
1171,2,6
1176,1,5
1181,1,5
1187,1,6
1192,1,5
1198,2,6
1203,1,5
1221,14,18
1221,8,0
1221,3,0
1225,2,4
1230,1,5
1238,4,8
1244,2,6
1249,1,5
1256,2,7
1261,1,5
1267,2,6
1272,1,5
1277,1,5
1283,2,6
1288,1,5
1293,1,5
1299,1,6
1304,1,5
1310,2,6
1315,1,5
1320,1,5
1326,1,6
1331,1,5
1336,1,5
1342,1,6
1347,1,5
1353,1,6
1359,2,6
1364,1,5
1370,1,6
1376,1,6
1381,1,5
1387,2,6
1393,2,6
1399,2,6
1404,1,5
1410,2,6
1417,3,7
1426,6,9
1432,1,6
1437,1,5
1442,1,5
1449,2,7
1453,1,4
1459,2,6
1464,1,5
1469,1,5
1475,1,6
1481,2,6
1486,2,5
1491,1,5
1496,1,5
1502,2,6
1507,1,5
1513,2,6
1518,1,5
1523,1,5
1529,1,6
1535,2,6
1540,1,5
1545,1,5
1551,2,6
1556,1,5
1561,1,5
1567,2,6
1572,1,5
1578,2,6
1583,1,5
1589,2,6
1594,2,5
1599,1,5
1605,2,6
1610,1,5
1615,1,5
1621,2,6
1626,1,5
1632,2,6
1637,1,5
1642,1,5
1648,1,6
1653,1,5
1659,2,6
1664,1,5
1669,1,5
1675,2,6
1680,1,5
1685,1,5
1691,1,6
1696,1,5
1702,2,6
1707,1,5
1712,1,5
1718,1,6
1723,1,5
1729,2,6
1734,1,5
1739,1,5
1745,1,6
1750,1,5
1756,1,6
1761,1,5
1767,1,6
1773,2,6
1778,1,5
1784,1,6
1789,1,5
1795,1,6
1800,1,5
1806,1,6
1812,2,6
1817,1,5
1822,1,5
1828,1,6
1833,1,5
1839,2,6
1844,1,5
1849,1,5
1855,1,6
1860,1,5
1866,2,6
1871,1,5
1876,1,5
1882,2,6
1887,1,5
1893,2,6
1898,1,5
1903,1,5
1910,2,7
1916,1,6
1921,1,5
1927,2,6
1932,1,5
1937,1,5
1943,2,6
1948,1,5
1953,1,5
1959,2,6
1964,1,5
1969,1,5
1975,2,6
1980,1,5
1986,2,6
1994,1,8
2000,2,6
2005,1,5
2010,1,5
2016,2,6
2021,1,5
2026,1,5
2032,1,6
2037,1,5
2042,1,5
2048,1,6
2053,1,5
2059,2,6
2064,1,5
2069,1,5
2075,2,6
2080,1,5
2085,1,5
2091,2,6
2097,2,6
2102,1,5
2108,2,6
2113,1,5
2119,2,6
2138,2,19
2143,2,5
2150,1,7
2156,2,6
2161,1,5
2166,1,5
2172,2,6
2177,1,5
2182,1,5
2188,2,6
2193,1,5
2198,1,5
2204,2,6
2209,1,5
2214,1,5
2220,2,6
2225,1,5
2230,1,5
2236,2,6
2241,1,5
2246,1,5
2252,2,6
2257,1,5
2262,1,5
2268,2,6
2273,1,5
2278,1,5
2284,2,6
2290,1,6
2295,1,5
2301,2,6
2306,1,5
2311,1,5
2317,2,6
2322,1,5
2328,2,6
2333,1,5
2338,1,5
2344,2,6
2349,1,5
2354,1,5
2360,2,6
2365,1,5
2370,1,5
2376,2,6
2381,1,5
2386,1,5
2392,2,6
2397,1,5
2402,1,5
2408,2,6
2413,1,5
2419,2,6
2424,1,5
2429,1,5
2435,2,6
2440,1,5
2445,1,5
2451,2,6
2456,1,5
2462,2,6
2467,2,5
2472,1,5
2477,1,5
2483,1,6
2488,1,5
2494,2,6
2499,1,5
