time (ms),latency (ms),consume (ms)
0,18,0
2,15,2
2,13,0
2,11,0
3,10,1
35,40,32
36,35,1
36,33,0
36,32,0
37,31,1
38,31,1
38,30,0
38,29,0
38,28,0
41,29,3
41,26,0
42,25,1
43,25,1
44,25,1
44,24,0
45,22,1
68,40,23
70,31,2
71,29,1
73,30,2
73,28,0
74,28,1
74,26,0
75,25,1
76,25,1
76,24,0
78,25,2
78,23,0
78,22,0
79,21,1
80,21,1
80,19,0
103,41,23
104,31,1
104,30,0
104,29,0
104,27,0
105,24,1
105,23,0
105,20,0
105,19,0
105,18,0
105,17,0
107,17,2
107,15,0
108,15,1
108,14,0
109,14,1
140,43,31
140,32,0
141,32,1
141,31,0
141,29,0
141,27,0
142,27,1
142,25,0
142,23,0
142,22,0
142,20,0
143,19,1
144,17,1
144,15,0
144,13,0
145,13,1
174,40,29
175,31,1
175,29,0
175,27,0
175,26,0
176,26,1
176,23,0
176,22,0
176,19,0
176,17,0
177,17,1
177,15,0
180,17,3
181,16,1
181,14,0
181,13,0
212,43,31
212,34,0
213,33,1
213,32,0
213,31,0
213,28,0
214,27,1
214,25,0
215,24,1
215,22,0
215,21,0
216,20,1
217,20,1
217,18,0
217,17,0
218,16,1
243,39,25
243,29,0
243,27,0
244,27,1
244,25,0
244,24,0
244,22,0
244,20,0
245,20,1
245,19,0
245,18,0
246,17,1
246,16,0
247,16,1
247,14,0
247,12,0
287,50,40
287,41,0
287,38,0
287,37,0
287,36,0
288,36,1
288,34,0
288,33,0
325,66,37
328,68,3
328,66,0
328,64,0
328,60,0
329,54,1
341,63,12
344,49,3
345,49,1
345,47,0
345,46,0
348,47,3
348,46,0
349,46,1
349,44,0
349,43,0
350,42,1
350,41,0
352,41,2
352,39,0
352,37,0
353,36,1
353,34,0
356,34,3
358,35,2
358,33,0
360,34,2
360,29,0
360,27,0
362,27,2
363,26,1
363,24,0
364,22,1
366,23,2
366,20,0
370,23,4
370,20,0
372,20,2
372,18,0
374,19,2
374,17,0
374,15,0
374,13,0
376,13,2
378,13,2
378,11,0
378,9,0
378,7,0
378,5,0
381,6,3
381,4,0
381,2,0
384,2,3
386,3,2
387,2,1
389,2,2
391,2,2
392,1,1
394,2,2
396,2,2
398,2,2
400,2,2
402,2,2
403,1,1
405,2,2
407,2,2
409,2,2
410,1,1
412,2,2
414,2,2
416,2,2
419,3,3
421,2,2
423,2,2
425,2,2
427,2,2
428,1,1
430,1,2
432,1,2
434,2,2
436,2,2
438,2,2
439,1,1
441,2,2
443,2,2
445,2,2
447,2,2
449,2,2
450,1,1
452,1,2
454,2,2
456,2,2
458,2,2
459,1,1
461,1,2
463,2,2
465,2,2
467,2,2
468,1,1
470,2,2
472,2,2
474,2,2
476,2,2
477,1,1
479,1,2
481,2,2
483,2,2
485,2,2
486,1,1
488,1,2
490,2,2
492,2,2
494,2,2
495,1,1
497,1,2
499,2,2
501,2,2
503,2,2
504,1,1
506,1,2
508,2,2
510,2,2
512,2,2
514,2,2
515,1,1
517,1,2
519,2,2
521,2,2
523,2,2
524,1,1
526,1,2
528,2,2
530,2,2
532,2,2
534,2,2
535,1,1
537,1,2
539,2,2
541,2,2
543,2,2
544,1,1
546,1,2
548,2,2
551,3,3
553,1,2
555,1,2
559,4,4
562,3,3
563,2,1
565,2,2
567,2,2
569,2,2
571,2,2
573,2,2
575,2,2
576,1,1
578,1,2
580,2,2
582,2,2
584,2,2
586,2,2
587,1,1
589,1,2
591,2,2
593,2,2
595,2,2
597,2,2
599,2,2
601,2,2
603,2,2
604,1,1
606,1,2
608,2,2
610,2,2
612,2,2
614,2,2
615,1,1
617,2,2
619,2,2
621,2,2
623,2,2
624,1,1
626,1,2
628,2,2
630,2,2
632,2,2
633,1,1
636,2,3
638,2,2
640,2,2
641,1,1
643,1,2
645,2,2
647,2,2
649,2,2
651,2,2
652,1,1
693,40,41
694,36,1
694,34,0
696,33,2
697,33,1
697,31,0
697,29,0
700,29,3
700,28,0
701,27,1
701,24,0
