time (ms),latency (ms),consume (ms)
0,16,0
5,3,5
14,4,9
22,3,8
30,3,8
39,3,9
52,2,13
59,2,7
68,3,9
80,2,12
88,2,8
104,11,16
110,3,6
117,3,7
124,1,7
132,2,8
145,7,13
153,1,8
163,6,10
174,2,11
182,2,8
189,2,7
196,2,7
203,2,7
209,1,6
217,2,8
224,1,7
232,2,8
239,1,7
250,1,11
258,1,8
270,2,12
279,3,9
286,2,7
294,2,8
301,1,7
309,2,8
318,2,9
326,2,8
334,2,8
343,4,9
351,2,8
358,2,7
365,2,7
375,2,10
385,4,10
411,16,26
412,9,1
428,9,16
440,13,12
442,3,2
446,1,4
452,1,6
457,1,5
463,1,6
468,1,5
475,3,7
480,2,5
485,1,5
491,2,6
496,2,5
502,2,6
509,3,7
516,1,7
522,1,6
527,1,5
533,2,6
538,1,5
544,2,6
549,1,5
555,2,6
562,3,7
568,2,6
574,2,6
579,2,5
584,1,5
590,2,6
595,1,5
601,1,6
608,3,7
616,1,8
625,2,9
633,2,8
643,4,10
651,1,8
660,1,9
667,1,7
674,1,7
681,1,7
698,10,17
705,2,7
713,1,8
720,1,7
727,2,7
733,1,6
743,3,10
750,2,7
757,2,7
764,2,7
772,3,8
778,1,6
785,1,7
792,1,7
800,2,8
807,2,7
814,2,7
821,1,7
829,2,8
836,1,7
844,2,8
851,2,7
862,5,11
870,1,8
877,1,7
889,1,12
897,1,8
906,2,9
913,1,7
920,1,7
928,2,8
936,2,8
943,1,7
951,2,8
959,1,8
966,1,7
979,7,13
1005,20,26
1005,14,0
1005,9,0
1005,3,0
1009,2,4
1016,2,7
1023,2,7
1030,2,7
1037,1,7
1045,3,8
1052,2,7
1059,1,7
1066,2,7
1072,1,6
1079,1,7
1086,2,7
1093,1,7
1102,3,9
1109,2,7
1116,2,7
1123,2,7
1130,1,7
1137,2,7
1144,2,7
1151,2,7
1159,2,8
1165,1,6
1172,1,7
1178,1,6
1185,1,7
1192,1,7
1199,2,7
1211,3,12
1218,2,7
1226,3,8
1233,2,7
1241,2,8
1249,2,8
1256,2,7
1264,2,8
1271,2,7
1280,3,9
1289,4,9
1296,2,7
1303,2,7
1310,2,7
1318,2,8
1324,1,6
1331,1,7
1338,1,7
1345,1,7
1352,2,7
1359,2,7
1366,1,7
1373,2,7
1381,3,8
1387,1,6
1396,2,9
1402,1,6
1409,1,7
1417,3,8
1426,2,9
1435,2,9
1442,1,7
1449,1,7
1463,2,14
1473,1,10
1480,1,7
1487,2,7
1493,1,6
1500,1,7
1507,1,7
1514,1,7
1522,2,8
1528,1,6
1535,1,7
1554,1,19
1561,1,7
1568,1,7
1574,1,6
1581,1,7
1588,1,7
1595,1,7
1601,1,6
1608,1,7
1616,2,8
1622,1,6
1628,1,6
1635,1,7
1642,1,7
1649,1,7
1671,16,22
1671,7,0
1673,2,2
1680,2,7
1686,1,6
1697,6,11
1703,1,6
1710,1,7
1717,2,7
1724,1,7
1736,2,12
1744,2,8
1752,2,8
1760,2,8
1772,2,12
1780,2,8
1788,2,8
1795,2,7
1804,3,9
1816,6,12
1825,4,9
1834,3,9
1845,2,11
1853,2,8
1864,5,11
1875,4,11
1887,5,12
1896,2,9
1905,2,9
1913,2,8
1921,2,8
1931,5,10
1943,3,12
1951,2,8
1962,2,11
1971,3,9
1979,2,8
1989,4,10
1998,2,9
2006,2,8
2014,2,8
2022,2,8
2030,2,8
2037,2,7
2045,2,8
2052,2,7
2059,1,7
2067,2,8
2074,2,7
2081,1,7
2088,2,7
2096,2,8
2103,2,7
2111,2,8
2118,2,7
2126,2,8
2135,4,9
2143,2,8
2151,2,8
2159,3,8
2166,2,7
2174,2,8
2182,2,8
2190,2,8
2197,2,7
2204,2,7
2211,2,7
2219,2,8
2226,1,7
2233,2,7
2241,2,8
2249,2,8
2260,2,11
2268,2,8
2275,2,7
2284,3,9
2292,3,8
2300,2,8
2307,2,7
2319,6,12
2326,2,7
2333,2,7
2341,2,8
2351,5,10
2359,2,8
2365,1,6
2372,1,7
2380,2,8
2387,2,7
2394,2,7
2403,3,9
2411,2,8
2417,1,6
2425,2,8
2432,1,7
2440,2,8
2447,2,7
2454,1,7
2462,2,8
2468,1,6
2475,1,7
2483,2,8
2500,3,17
2508,2,8
2517,4,9
2525,2,8
2532,2,7
2539,2,7
2547,3,8
2554,2,7
2561,1,7
2569,2,8
2576,1,7
2583,1,7
2590,2,7
2596,1,6
2603,2,7
2609,1,6
2618,3,9
2625,2,7
2632,2,7
2639,2,7
2646,1,7
2653,1,7
2660,2,7
2667,1,7
2674,2,7
2681,2,7
2687,1,6
2694,1,7
2701,1,7
2708,1,7
2715,1,7
2722,2,7
2729,1,7
2736,2,7
2742,1,6
2749,2,7
2756,2,7
2763,2,7
2770,2,7
2776,1,6
2783,2,7
2789,1,6
2796,1,7
2803,2,7
2810,2,7
2816,1,6
2823,1,7
2829,1,6
2836,1,7
2843,2,7
2849,1,6
2858,3,9
2864,1,6
2871,1,7
2878,2,7
2884,1,6
2891,1,7
2899,3,8
2908,3,9
2921,8,13
2934,2,13
2940,1,6
2947,1,7
2954,2,7
2987,11,33
2997,1,10
3004,1,7
3011,2,7
3017,1,6
3024,1,7
3030,1,6
3037,1,7
3044,1,7
3051,1,7
3058,1,7
3065,2,7
3073,3,8
3080,1,7
3087,1,7
3093,1,6
3101,2,8
3108,2,7
3114,1,6
3120,1,6
