time (ms),latency (ms),consume (ms)
0,1,0
8,0,8
15,0,7
21,0,6
26,0,5
32,1,6
38,0,6
45,0,7
50,0,5
58,1,8
64,0,6
69,0,5
76,0,7
82,1,6
89,1,7
95,0,6
101,0,6
106,0,5
113,0,7
118,0,5
125,0,7
131,1,6
137,0,6
143,1,6
149,0,6
155,1,6
161,0,6
167,0,6
172,0,5
178,0,6
183,0,5
190,0,7
197,0,7
203,0,6
209,0,6
216,0,7
222,0,6
227,0,5
234,0,7
240,0,6
246,1,6
252,0,6
259,0,7
265,1,6
271,0,6
278,0,7
284,0,6
290,1,6
296,0,6
303,0,7
309,1,6
315,0,6
321,0,6
326,0,5
333,0,7
339,1,6
346,1,7
352,0,6
359,0,7
365,0,6
370,0,5
377,0,7
383,1,6
389,0,6
395,0,6
401,0,6
407,1,6
414,1,7
420,0,6
426,0,6
431,0,5
437,0,6
442,0,5
448,0,6
453,0,5
459,0,6
464,0,5
471,0,7
476,0,5
483,0,7
488,0,5
495,0,7
501,0,6
507,1,6
513,0,6
519,0,6
524,0,5
530,0,6
536,1,6
542,0,6
548,0,6
554,0,6
560,0,6
565,0,5
571,1,6
577,0,6
583,0,6
589,1,6
596,1,7
603,1,7
609,0,6
616,0,7
622,0,6
627,0,5
633,0,6
638,0,5
644,0,6
649,0,5
655,0,6
660,0,5
667,0,7
672,0,5
679,0,7
685,1,6
691,0,6
697,1,6
703,0,6
709,1,6
715,0,6
721,0,6
726,0,5
733,0,7
738,0,5
745,0,7
751,1,6
757,0,6
764,0,7
769,0,5
776,0,7
781,0,5
789,0,8
801,1,12
808,0,7
813,0,5
820,0,7
825,0,5
831,0,6
836,0,5
843,0,7
849,1,6
855,0,6
861,0,6
866,0,5
873,0,7
878,0,5
885,0,7
891,1,6
897,0,6
904,0,7
910,1,6
916,0,6
923,0,7
929,1,6
935,0,6
942,0,7
947,0,5
954,0,7
959,0,5
966,0,7
971,0,5
978,0,7
983,0,5
990,0,7
996,1,6
1002,0,6
1008,1,6
1014,0,6
1020,0,6
1025,0,5
1031,0,6
1036,0,5
1042,0,6
1047,0,5
1054,0,7
1059,0,5
1066,0,7
1072,1,6
1078,0,6
1084,1,6
1090,0,6
1096,1,6
1102,0,6
1108,1,6
1114,0,6
1121,0,7
1126,0,5
1133,0,7
1138,0,5
1145,0,7
1151,1,6
1157,0,6
1163,1,6
1169,0,6
1175,1,6
1181,0,6
1188,0,7
1195,1,7
1202,1,7
1208,0,6
1214,0,6
1219,0,5
1226,0,7
1232,1,6
1238,0,6
1244,0,6
1249,0,5
1256,0,7
1262,1,6
1268,0,6
1274,1,6
1280,0,6
1287,0,7
1293,1,6
1299,0,6
1305,0,6
1311,1,6
1317,0,6
1323,0,6
1328,0,5
1335,0,7
1340,0,5
1347,0,7
1353,1,6
1359,0,6
1366,0,7
1372,1,6
1378,0,6
1384,0,6
1390,0,6
1396,0,6
1401,0,5
1407,0,6
1412,0,5
1418,0,6
1423,0,5
1430,0,7
1436,1,6
1443,1,7
1449,0,6
1456,0,7
1462,0,6
1468,1,6
1475,1,7
1481,0,6
