time (ms),latency (ms),consume (ms)
0,34,0
1,24,1
1,23,0
2,21,1
3,18,1
3,17,0
4,16,1
4,14,0
17,26,13
18,24,1
18,19,0
18,17,0
18,13,0
18,12,0
19,6,1
19,5,0
19,3,0
30,10,11
31,8,1
34,8,3
34,7,0
40,8,6
40,6,0
44,9,4
44,7,0
45,7,1
45,5,0
47,1,2
49,2,2
53,2,4
54,1,1
59,2,5
63,2,4
64,1,1
66,1,2
67,1,1
70,1,3
75,2,5
77,2,2
80,2,3
82,2,2
85,2,3
90,1,5
92,1,2
94,2,2
97,3,3
98,1,1
104,5,6
106,2,2
108,2,2
110,1,2
112,1,2
114,1,2
118,1,4
120,2,2
122,2,2
125,3,3
126,1,1
129,1,3
131,2,2
135,1,4
137,2,2
138,1,1
142,2,4
146,1,4
147,1,1
149,1,2
150,1,1
152,1,2
153,1,1
155,1,2
161,6,6
169,4,8
169,3,0
169,2,0
173,3,4
181,2,8
185,4,4
189,4,4
189,3,0
197,2,8
213,16,16
214,11,1
214,9,0
217,3,3
221,2,4
225,4,4
230,5,5
230,4,0
230,4,0
241,4,11
249,8,8
249,7,0
250,8,1
250,7,0
250,5,0
257,7,7
257,7,0
265,8,8
265,7,0
268,3,3
268,2,0
268,2,0
283,6,15
283,6,0
283,5,0
284,6,1
284,5,0
284,3,0
289,5,5
293,4,4
293,3,0
294,3,1
302,1,8
305,3,3
307,1,2
322,9,15
322,9,0
322,5,0
342,5,20
342,5,0
345,3,3
355,6,10
355,6,0
355,5,0
356,6,1
356,5,0
356,3,0
366,5,10
369,3,3
378,5,9
379,2,1
382,1,3
385,3,3
387,2,2
388,3,1
388,2,0
393,5,5
401,8,8
401,7,0
401,4,0
407,5,6
407,3,0
409,2,2
410,1,1
413,3,3
415,2,2
415,2,0
425,2,10
429,4,4
433,4,4
433,3,0
433,2,0
437,4,4
445,8,8
445,8,0
445,6,0
451,5,6
451,5,0
451,5,0
452,4,1
452,3,0
467,6,15
467,6,0
467,5,0
467,5,0
467,5,0
468,5,1
481,13,13
483,1,2
485,2,2
489,4,4
494,5,5
494,4,0
494,4,0
497,7,3
503,4,6
503,2,0
503,2,0
508,2,5
510,2,2
511,1,1
512,1,1
514,1,2
518,1,4
520,2,2
524,4,4
526,1,2
530,2,4
533,2,3
534,1,1
538,1,4
542,1,4
543,1,1
545,1,2
546,1,1
548,1,2
549,1,1
550,1,1
552,1,2
554,1,2
558,1,4
562,1,4
563,1,1
565,2,2
566,1,1
567,1,1
569,1,2
570,1,1
571,1,1
573,1,2
575,1,2
578,1,3
579,1,1
581,2,2
582,1,1
587,2,5
588,1,1
590,1,2
591,1,1
592,1,1
594,1,2
603,9,9
603,3,0
603,2,0
610,1,7
612,2,2
613,1,1
614,1,1
616,1,2
617,1,1
619,2,2
620,1,1
621,1,1
622,1,1
624,1,2
627,3,3
628,1,1
630,1,2
634,1,4
635,1,1
637,2,2
640,3,3
643,3,3
645,1,2
647,1,2
649,2,2
650,1,1
654,1,4
656,2,2
660,2,4
664,2,4
666,2,2
670,2,4
675,2,5
678,2,3
733,48,55
733,40,0
733,32,0
733,32,0
733,31,0
733,31,0
733,31,0
734,31,1
734,25,0
734,25,0
734,24,0
738,28,4
738,26,0
739,25,1
739,24,0
739,18,0
740,19,1
740,19,0
740,15,0
741,16,1
741,15,0
741,15,0
742,16,1
742,15,0
742,15,0
743,16,1
744,1,1
745,1,1
747,1,2
748,1,1
754,1,6
755,1,1
756,0,1
757,0,1
758,1,1
758,0,0
759,1,1
759,0,0
760,1,1
760,0,0
761,0,1
762,1,1
762,0,0
763,1,1
765,2,2
766,1,1
767,1,1
767,0,0
768,1,1
768,0,0
769,1,1
769,0,0
770,1,1
771,1,1
771,0,0
772,1,1
772,0,0
777,0,5
778,1,1
778,0,0
779,0,1
780,1,1
781,0,1
785,0,4
786,1,1
787,1,1
787,0,0
789,0,2
792,1,3
792,0,0
793,1,1
793,0,0
797,3,4
797,0,0
798,1,1
798,0,0
799,0,1
800,1,1
800,0,0
801,0,1
802,1,1
802,0,0
805,0,3
806,1,1
806,0,0
807,0,1
808,1,1
808,0,0
809,1,1
809,0,0
810,1,1
810,0,0
811,1,1
812,1,1
812,0,0
813,1,1
813,0,0
814,1,1
814,0,0
815,1,1
815,0,0
816,1,1
816,0,0
817,0,1
818,1,1
818,0,0
819,1,1
825,4,6
826,1,1
826,0,0
827,1,1
828,1,1
828,0,0
829,1,1
830,1,1
831,1,1
831,0,0
832,1,1
832,0,0
833,1,1
833,0,0
834,0,1
837,2,3
839,1,2
841,0,2
842,1,1
843,0,1
846,2,3
846,0,0
848,2,2
848,0,0
849,1,1
849,0,0
850,1,1
850,0,0
851,0,1
852,1,1
853,0,1
857,0,4
860,0,3
861,1,1
862,1,1
862,0,0
863,1,1
863,0,0
864,1,1
864,0,0
