time (ms),latency (ms),consume (ms)
0,16,0
24,29,24
25,23,1
28,19,3
28,14,0
50,30,22
52,25,2
53,20,1
55,16,2
82,37,27
83,29,1
84,19,1
85,14,1
113,37,28
114,28,1
115,22,1
116,17,1
138,33,22
139,27,1
140,21,1
140,16,0
163,32,23
164,23,1
164,15,0
165,11,1
188,28,23
189,23,1
189,17,0
189,11,0
213,29,24
213,22,0
214,18,1
214,12,0
236,27,22
236,21,0
238,17,2
238,12,0
260,28,22
260,21,0
261,17,1
261,11,0
285,28,24
285,22,0
286,17,1
286,11,0
324,43,38
324,37,0
326,19,2
326,14,0
345,27,19
346,21,1
346,16,0
346,10,0
367,26,21
368,22,1
368,16,0
370,12,2
390,26,20
390,21,0
390,15,0
391,11,1
414,28,23
417,26,3
417,20,0
418,14,1
438,28,20
438,22,0
438,16,0
440,12,2
459,26,19
459,20,0
460,16,1
460,10,0
481,26,21
482,21,1
482,16,0
483,11,1
506,28,23
508,25,2
508,18,0
511,15,3
530,27,19
531,21,1
531,15,0
531,10,0
554,27,23
554,20,0
555,15,1
555,10,0
577,26,22
577,21,0
577,15,0
579,11,2
600,26,21
601,21,1
601,15,0
602,10,1
623,26,21
624,21,1
624,15,0
625,11,1
646,26,21
646,20,0
647,16,1
647,10,0
673,30,26
673,25,0
674,21,1
674,16,0
695,27,21
695,20,0
696,15,1
696,10,0
719,27,23
719,22,0
719,15,0
720,11,1
743,28,23
745,24,2
745,18,0
749,17,4
773,35,24
774,28,1
777,22,3
778,17,1
802,33,24
802,26,0
838,57,36
839,51,1
839,46,0
840,34,1
844,26,4
850,24,6
857,26,7
857,21,0
858,16,1
858,11,0
881,28,23
882,23,1
883,19,1
883,13,0
904,28,21
905,24,1
905,18,0
906,13,1
925,26,19
927,21,2
928,17,1
928,12,0
948,26,20
948,20,0
948,14,0
949,10,1
970,26,21
970,20,0
971,16,1
971,10,0
992,25,21
992,20,0
993,15,1
994,11,1
1015,26,21
1015,21,0
1016,15,1
1016,10,0
1038,26,22
1038,20,0
1039,16,1
1039,10,0
1060,25,21
1060,20,0
1061,15,1
1061,10,0
1081,24,20
1081,19,0
1082,15,1
1082,10,0
1104,26,22
1104,20,0
1105,15,1
1105,10,0
1125,24,20
1125,19,0
1126,15,1
1126,10,0
1149,27,23
1150,22,1
1150,16,0
1150,10,0
1171,26,21
1172,21,1
1172,15,0
1172,10,0
1193,26,21
1193,20,0
1194,15,1
1194,10,0
1215,26,21
1215,20,0
1215,15,0
1216,10,1
1236,25,20
1237,20,1
1237,15,0
1237,9,0
1258,25,21
1259,21,1
1259,16,0
1272,24,13
1280,26,8
1281,20,1
1282,16,1
1282,11,0
1302,26,20
1303,22,1
1304,18,1
1304,13,0
1323,26,19
1323,20,0
1323,15,0
1324,10,1
1346,27,22
1346,22,0
1346,16,0
1347,11,1
1367,26,20
1368,21,1
1369,17,1
1369,12,0
1389,26,20
1389,21,0
1390,16,1
1390,10,0
1411,26,21
1412,21,1
1413,16,1
1413,11,0
1434,26,21
1434,20,0
1435,16,1
1435,10,0
1456,25,21
1456,20,0
1457,16,1
1457,11,0
1478,26,21
1479,21,1
1479,16,0
1479,11,0
1500,26,21
1500,20,0
1501,15,1
1501,10,0
1521,24,20
1523,21,2
1523,16,0
1523,10,0
1544,26,21
1544,20,0
1544,14,0
1545,10,1
1566,26,21
1566,20,0
1567,15,1
1567,10,0
1587,24,20
1588,20,1
1588,15,0
1588,9,0
1609,25,21
1610,20,1
1610,14,0
1610,9,0
1632,26,22
1632,20,0
1632,15,0
1633,10,1
1653,24,20
1653,19,0
1653,14,0
1654,9,1
1674,24,20
1674,19,0
1674,14,0
1675,9,1
1695,24,20
1696,20,1
1696,15,0
1697,10,1
1718,26,21
1718,19,0
1718,14,0
1719,10,1
1740,26,21
1740,20,0
1740,14,0
1741,10,1
1762,26,21
1762,20,0
1762,14,0
1763,10,1
1783,24,20
1784,19,1
1784,14,0
1785,9,1
1805,24,20
1805,19,0
1805,14,0
1806,9,1
1827,25,21
1827,20,0
1827,15,0
1828,10,1
1847,23,19
1848,19,1
1848,14,0
1848,9,0
1870,25,22
1871,20,1
1871,15,0
1871,9,0
1892,24,21
1893,20,1
1893,14,0
1893,9,0
1915,25,22
1915,20,0
1915,14,0
1916,10,1
1937,25,21
1937,19,0
1937,14,0
1938,9,1
1960,26,22
1960,20,0
1960,14,0
1961,10,1
1981,24,20
1981,19,0
1981,14,0
1982,9,1
2003,25,21
2003,20,0
2003,15,0
2004,10,1
2026,26,22
2026,20,0
2026,15,0
2026,9,0
2049,26,23
2049,20,0
2050,16,1
2050,10,0
2072,26,22
2073,21,1
2073,15,0
2073,9,0
2095,26,22
2096,20,1
2096,15,0
2097,10,1
2118,25,21
2119,20,1
2119,15,0
2119,9,0
2141,25,22
2142,21,1
2143,16,1
2143,10,0
2163,24,20
2164,20,1
2174,24,10
2175,20,1
2187,27,12
2188,22,1
2188,16,0
2188,10,0
2209,26,21
2210,21,1
2210,15,0
2210,10,0
2231,25,21
2232,21,1
2232,15,0
2232,10,0
2255,27,23
2255,22,0
2256,17,1
2256,11,0
2291,41,35
2291,34,0
2292,30,1
2292,24,0
2319,44,27
2321,28,2
2321,23,0
2321,17,0
2335,26,14
2335,19,0
2336,15,1
2336,9,0
2356,24,20
2356,19,0
2356,14,0
2357,9,1
2381,28,24
2381,23,0
2382,19,1
2382,13,0
2401,26,19
2401,21,0
2402,15,1
2403,11,1
2424,27,21
2424,21,0
2424,15,0
2425,10,1
2447,27,22
2447,21,0
2447,15,0
2448,11,1
2468,25,20
2468,19,0
2469,15,1
2469,9,0
2490,25,21
2490,20,0
2490,15,0
2491,10,1
2511,25,20
2512,20,1
2512,15,0
2512,9,0
2534,26,22
2535,21,1
2535,16,0
2535,10,0
2556,25,21
2557,21,1
2557,15,0
2557,9,0
2579,26,22
2579,19,0
2579,14,0
2580,9,1
2602,26,22
2602,21,0
2603,16,1
2603,11,0
2626,28,23
2626,22,0
2640,31,14
2644,29,4
2650,30,6
2652,24,2
2652,18,0
2653,13,1
2684,38,31
2686,35,2
2687,31,1
2688,26,1
2693,25,5
2694,21,1
2695,16,1
2697,13,2
2715,25,18
2716,20,1
2716,15,0
2716,10,0
2736,24,20
2736,19,0
2737,15,1
2737,10,0
2757,24,20
2757,19,0
2757,13,0
2758,9,1
2780,26,22
2780,21,0
2780,14,0
2781,10,1
2801,24,20
2802,20,1
2802,15,0
2802,9,0
2824,25,22
2825,21,1
2825,15,0
2825,9,0
2848,27,23
2848,21,0
2848,15,0
2849,10,1
