time (ms),latency (ms),consume (ms)
0,6,0
7,2,7
15,3,8
22,2,7
28,1,6
35,2,7
41,1,6
47,1,6
55,3,8
61,1,6
68,2,7
74,1,6
80,1,6
90,4,10
96,1,6
103,1,7
109,1,6
116,1,7
124,3,8
131,1,7
137,1,6
143,1,6
150,1,7
156,1,6
162,1,6
168,1,6
175,1,7
182,1,7
188,1,6
197,2,9
205,2,8
214,1,9
222,2,8
229,1,7
235,0,6
241,0,6
248,1,7
254,1,6
261,1,7
267,1,6
273,1,6
280,2,7
286,1,6
292,1,6
298,0,6
306,2,8
312,1,6
319,1,7
326,1,7
333,1,7
339,1,6
345,0,6
351,0,6
358,1,7
365,2,7
372,1,7
378,1,6
384,1,6
390,1,6
397,1,7
403,1,6
410,1,7
417,2,7
425,2,8
432,1,7
439,1,7
446,1,7
452,1,6
458,1,6
464,1,6
471,1,7
478,1,7
485,1,7
491,1,6
497,1,6
504,1,7
510,1,6
517,1,7
524,1,7
531,2,7
538,1,7
545,2,7
553,2,8
561,3,8
569,1,8
576,1,7
583,1,7
590,1,7
598,2,8
605,2,7
611,1,6
618,2,7
628,1,10
634,1,6
641,2,7
650,3,9
659,2,9
668,3,9
675,1,7
682,1,7
689,2,7
696,2,7
703,1,7
711,2,8
718,2,7
725,2,7
733,2,8
740,2,7
748,2,8
755,2,7
762,2,7
773,5,11
781,2,8
789,2,8
799,2,10
807,2,8
815,2,8
822,2,7
830,2,8
838,2,8
846,3,8
853,2,7
862,2,9
870,2,8
877,2,7
885,2,8
891,1,6
899,2,8
906,2,7
913,2,7
920,2,7
926,1,6
933,1,7
940,1,7
948,2,8
954,1,6
961,1,7
972,6,11
990,12,18
991,8,1
991,3,0
995,1,4
1001,2,6
1008,3,7
1015,2,7
1023,2,8
1032,3,9
1039,1,7
1046,1,7
1053,1,7
1060,2,7
1069,2,9
1078,2,9
1085,2,7
1091,1,6
1098,1,7
1107,2,9
1114,2,7
1127,2,13
1134,2,7
1141,2,7
1149,2,8
1157,2,8
1165,3,8
1172,2,7
1183,5,11
1191,2,8
1199,2,8
1208,3,9
1216,2,8
1227,2,11
1235,2,8
1243,2,8
1251,2,8
1260,3,9
1267,2,7
1275,2,8
1283,2,8
1291,2,8
1299,2,8
1307,2,8
1315,3,8
1323,2,8
1330,2,7
1337,1,7
1347,3,10
1359,6,12
1370,3,11
1379,2,9
1388,3,9
1396,3,8
1409,2,13
1418,3,9
1425,2,7
1432,1,7
1440,2,8
1448,3,8
1456,2,8
1465,3,9
1473,2,8
1482,3,9
1490,3,8
1498,2,8
1508,3,10
1516,2,8
1525,2,9
1532,2,7
1540,2,8
1547,2,7
1554,2,7
1561,1,7
1567,1,6
1574,1,7
1580,1,6
1587,1,7
1594,1,7
1602,3,8
1634,26,32
1635,14,1
1635,7,0
1638,2,3
1646,3,8
1658,7,12
1665,2,7
1673,2,8
1680,1,7
1688,2,8
1696,3,8
1706,2,10
1714,2,8
1722,2,8
1730,2,8
1738,2,8
1747,3,9
1755,2,8
1763,2,8
1774,6,11
1784,4,10
1794,3,10
1801,2,7
1810,3,9
1821,3,11
1835,5,14
1846,5,11
1854,2,8
1864,3,10
1873,2,9
1881,3,8
1888,2,7
1900,3,12
1908,2,8
1919,2,11
1928,3,9
1940,3,12
1948,3,8
1956,2,8
1964,2,8
1971,2,7
1978,1,7
1986,2,8
1993,2,7
2001,2,8
2008,2,7
2015,2,7
2022,2,7
2029,1,7
2037,2,8
2044,2,7
2052,2,8
2060,2,8
2068,2,8
2076,2,8
2085,2,9
2095,4,10
2103,3,8
2110,2,7
2118,2,8
2125,2,7
2133,2,8
2142,3,9
2150,2,8
2157,2,7
2165,2,8
2173,2,8
2182,3,9
2189,2,7
2197,2,8
2205,2,8
2213,2,8
2221,2,8
2228,2,7
2236,2,8
2244,2,8
2251,2,7
2258,1,7
2266,2,8
2273,2,7
2284,6,11
2291,2,7
2299,2,8
2308,4,9
2316,3,8
2323,2,7
2330,1,7
2338,2,8
2345,2,7
2352,2,7
2359,1,7
2367,2,8
2374,2,7
2381,2,7
2389,2,8
2396,2,7
2403,1,7
2411,2,8
2419,2,8
2427,3,8
2435,2,8
2442,2,7
2462,3,20
2470,3,8
2478,3,8
2485,2,7
2493,2,8
2504,6,11
2512,3,8
2519,2,7
2527,2,8
2537,4,10
2545,2,8
2552,2,7
2560,2,8
2567,2,7
2574,1,7
2582,2,8
2589,2,7
2597,2,8
2608,3,11
2615,2,7
2623,2,8
2631,2,8
2639,2,8
2647,2,8
2655,2,8
2663,2,8
2672,3,9
2679,2,7
2687,2,8
2694,1,7
2702,2,8
2711,3,9
2719,2,8
2731,2,12
2739,2,8
2747,2,8
2754,1,7
2761,1,7
2769,2,8
2776,2,7
2785,4,9
2792,2,7
2799,1,7
2806,1,7
2815,3,9
2823,2,8
2833,2,10
2841,2,8
2849,3,8
2856,2,7
2864,2,8
2875,5,11
2883,2,8
2891,2,8
2898,2,7
2906,2,8
2913,2,7
2923,4,10
2935,5,12
2950,8,15
2960,3,10
2973,4,13
2981,3,8
2989,3,8
3036,7,47
3046,2,10
3053,1,7
3060,1,7
3067,2,7
3074,2,7
3081,2,7
3087,1,6
3094,1,7
3101,2,7
3108,2,7
3115,1,7
3122,2,7
3129,1,7
3136,2,7
3142,1,6
3150,2,8
3157,2,7
3165,3,8
3173,2,8
3181,2,8
3188,2,7
3195,2,7
3204,3,9
3212,2,8
3221,2,9
3229,2,8
3236,2,7
