time (ms),latency (ms),consume (ms)
0,12,0
4,9,4
4,7,0
4,6,0
4,4,0
5,3,1
6,2,1
7,2,1
10,3,3
11,2,1
14,2,3
15,2,1
17,2,2
19,2,2
20,1,1
22,1,2
24,2,2
26,2,2
28,2,2
30,2,2
31,1,1
33,2,2
35,2,2
36,1,1
38,1,2
40,2,2
41,1,1
42,1,1
43,0,1
44,0,1
46,1,2
47,1,1
49,1,2
50,1,1
51,1,1
52,0,1
54,1,2
55,1,1
56,0,1
58,1,2
59,1,1
60,0,1
62,1,2
63,1,1
64,0,1
65,0,1
67,1,2
68,1,1
72,3,4
72,2,0
72,0,0
74,1,2
75,1,1
76,1,1
77,0,1
79,1,2
80,1,1
81,1,1
82,0,1
84,1,2
85,1,1
86,1,1
87,0,1
89,1,2
90,1,1
91,0,1
92,0,1
94,1,2
95,1,1
96,0,1
97,0,1
99,1,2
100,1,1
101,0,1
102,0,1
104,1,2
105,1,1
106,1,1
107,0,1
109,1,2
110,1,1
113,2,3
113,1,0
115,1,2
116,1,1
118,1,2
119,1,1
120,1,1
121,1,1
122,0,1
123,0,1
125,1,2
126,1,1
127,0,1
129,1,2
130,1,1
131,1,1
132,0,1
134,1,2
135,1,1
136,1,1
137,0,1
138,0,1
140,1,2
141,1,1
142,1,1
143,0,1
144,0,1
146,1,2
147,1,1
148,1,1
149,0,1
151,1,2
152,1,1
153,1,1
154,0,1
155,0,1
157,1,2
158,1,1
159,0,1
161,1,2
162,1,1
163,0,1
164,0,1
166,1,2
167,1,1
168,0,1
170,1,2
171,1,1
172,1,1
173,0,1
174,0,1
176,1,2
177,1,1
179,2,2
180,1,1
182,2,2
183,1,1
185,2,2
186,1,1
187,1,1
189,1,2
190,1,1
192,2,2
193,1,1
195,1,2
197,2,2
198,1,1
199,1,1
201,2,2
202,1,1
204,2,2
205,1,1
206,1,1
208,2,2
210,2,2
210,1,0
212,1,2
215,3,3
216,2,1
217,1,1
218,1,1
220,1,2
222,2,2
223,1,1
225,1,2
226,1,1
228,1,2
230,2,2
231,1,1
233,1,2
235,1,2
236,1,1
238,1,2
240,2,2
241,1,1
243,1,2
245,2,2
247,2,2
248,1,1
250,2,2
251,1,1
252,1,1
254,2,2
256,2,2
258,2,2
259,1,1
261,1,2
263,1,2
264,1,1
266,1,2
268,1,2
269,1,1
272,2,3
273,1,1
275,1,2
276,1,1
278,1,2
280,1,2
282,1,2
284,1,2
285,1,1
298,2,13
299,1,1
310,11,11
310,9,0
310,8,0
310,6,0
311,6,1
314,7,3
315,7,1
315,5,0
315,4,0
315,2,0
317,2,2
318,1,1
319,1,1
333,14,14
333,12,0
333,11,0
333,10,0
333,8,0
334,8,1
334,6,0
334,4,0
334,3,0
339,6,5
339,4,0
341,4,2
341,3,0
344,4,3
344,2,0
345,2,1
346,1,1
348,2,2
349,1,1
352,3,3
352,1,0
354,2,2
355,2,1
356,1,1
357,1,1
360,2,3
361,2,1
363,2,2
364,2,1
365,1,1
366,1,1
367,1,1
369,1,2
370,1,1
371,1,1
373,1,2
375,2,2
376,1,1
378,1,2
380,2,2
381,1,1
383,2,2
384,1,1
385,1,1
387,1,2
388,1,1
390,1,2
391,1,1
393,1,2
396,3,3
396,2,0
397,1,1
398,1,1
400,2,2
401,1,1
402,1,1
404,2,2
405,1,1
406,1,1
408,1,2
409,1,1
410,0,1
412,1,2
413,1,1
415,1,2
416,1,1
417,1,1
419,1,2
420,1,1
422,1,2
423,1,1
425,1,2
426,1,1
427,1,1
429,1,2
430,1,1
432,1,2
433,1,1
434,1,1
436,1,2
437,1,1
439,1,2
440,1,1
441,1,1
443,1,2
444,1,1
446,1,2
447,1,1
449,2,2
450,1,1
451,1,1
453,1,2
454,1,1
456,1,2
458,2,2
459,1,1
461,1,2
463,1,2
464,1,1
466,1,2
468,2,2
469,1,1
471,1,2
473,1,2
475,2,2
476,1,1
478,1,2
479,1,1
481,1,2
482,1,1
484,1,2
487,3,3
488,2,1
490,2,2
490,1,0
492,1,2
494,2,2
495,1,1
497,1,2
499,1,2
500,1,1
502,1,2
504,2,2
505,1,1
507,2,2
508,1,1
509,1,1
511,2,2
513,2,2
513,1,0
515,1,2
517,2,2
518,1,1
520,2,2
521,1,1
523,2,2
524,1,1
526,2,2
527,1,1
529,2,2
530,1,1
532,2,2
533,1,1
535,1,2
537,2,2
538,1,1
540,2,2
541,1,1
543,2,2
544,1,1
546,2,2
547,1,1
549,2,2
550,1,1
552,2,2
553,1,1
555,2,2
556,1,1
558,2,2
559,1,1
561,2,2
562,1,1
564,1,2
566,2,2
567,1,1
569,2,2
570,1,1
572,2,2
573,1,1
574,1,1
576,2,2
578,2,2
579,1,1
580,1,1
582,1,2
583,1,1
584,1,1
586,1,2
587,1,1
588,1,1
590,1,2
591,1,1
593,2,2
594,1,1
595,1,1
597,2,2
598,1,1
599,1,1
601,2,2
602,1,1
603,1,1
604,1,1
606,1,2
607,1,1
608,1,1
610,1,2
611,1,1
612,1,1
614,1,2
615,1,1
