time (ms),latency (ms),consume (ms)
0,21,0
9,18,9
10,18,1
10,16,0
10,12,0
10,9,0
10,7,0
11,6,1
23,17,12
23,12,0
24,11,1
24,10,0
25,10,1
29,12,4
29,4,0
30,2,1
31,1,1
34,2,3
37,3,3
40,1,3
41,1,1
43,1,2
44,1,1
45,1,1
54,8,9
55,1,1
58,1,3
60,1,2
61,1,1
64,1,3
67,2,3
75,2,8
78,1,3
80,1,2
81,1,1
83,2,2
84,1,1
91,2,7
93,2,2
95,2,2
98,1,3
100,1,2
101,1,1
102,1,1
103,1,1
106,2,3
109,1,3
114,5,5
118,1,4
122,2,4
125,2,3
126,1,1
130,1,4
132,1,2
134,2,2
135,1,1
138,1,3
141,2,3
143,1,2
146,1,3
150,1,4
152,1,2
153,1,1
158,1,5
162,1,4
163,1,1
164,1,1
166,2,2
167,1,1
168,1,1
170,1,2
174,1,4
178,1,4
181,1,3
183,1,2
184,1,1
185,1,1
187,1,2
190,1,3
191,1,1
198,1,7
200,1,2
206,1,6
209,1,3
211,1,2
214,1,3
215,1,1
216,1,1
217,1,1
219,1,2
220,1,1
226,2,6
230,1,4
231,1,1
234,1,3
235,1,1
236,1,1
238,1,2
240,1,2
241,1,1
242,1,1
243,1,1
246,1,3
250,1,4
251,1,1
252,1,1
258,2,6
259,1,1
260,1,1
261,1,1
263,1,2
264,1,1
266,1,2
267,1,1
269,1,2
270,1,1
271,1,1
275,1,4
276,1,1
277,1,1
278,1,1
281,1,3
285,1,4
287,1,2
288,1,1
290,1,2
294,2,4
295,1,1
296,1,1
298,2,2
302,1,4
303,1,1
304,1,1
306,2,2
307,1,1
310,1,3
311,1,1
312,1,1
314,1,2
315,1,1
318,1,3
322,1,4
325,2,3
326,1,1
328,2,2
330,1,2
331,1,1
332,1,1
336,1,4
338,1,2
340,2,2
341,1,1
343,2,2
345,1,2
346,1,1
347,0,1
349,1,2
350,1,1
351,1,1
354,1,3
355,1,1
356,1,1
357,1,1
358,1,1
359,0,1
362,1,3
363,1,1
364,1,1
365,1,1
367,1,2
369,1,2
370,1,1
377,1,7
379,1,2
382,1,3
383,1,1
390,7,7
390,6,0
390,5,0
390,4,0
390,2,0
390,1,0
390,1,0
393,1,3
394,1,1
394,0,0
395,0,1
396,1,1
396,0,0
397,0,1
399,1,2
399,0,0
400,0,1
401,1,1
401,0,0
402,1,1
403,1,1
408,1,5
409,0,1
410,1,1
410,0,0
411,0,1
412,1,1
412,0,0
413,1,1
414,1,1
414,0,0
415,1,1
415,0,0
416,0,1
417,1,1
419,1,2
419,0,0
420,1,1
420,0,0
421,0,1
422,1,1
424,1,2
425,1,1
