time (ms),latency (ms),consume (ms)
0,13,0
33,29,33
34,18,1
35,9,1
38,1,3
48,1,10
59,2,11
69,1,10
79,1,10
90,2,11
101,1,11
113,3,12
121,1,8
132,2,11
144,3,12
154,1,10
164,1,10
176,3,12
187,2,11
197,2,10
208,3,11
219,3,11
227,1,8
238,2,11
250,2,12
261,2,11
272,1,11
285,4,13
294,1,9
305,2,11
316,1,11
326,1,10
337,1,11
347,1,10
358,2,11
370,2,12
379,1,9
391,3,12
401,1,10
412,2,11
424,2,12
435,2,11
447,2,12
457,2,10
467,1,10
477,1,10
488,2,11
498,1,10
508,1,10
519,2,11
529,1,10
540,2,11
551,1,11
564,3,13
574,1,10
584,1,10
595,2,11
605,2,10
615,1,10
628,4,13
636,1,8
650,5,14
659,3,9
668,1,9
679,2,11
691,3,12
700,1,9
710,1,10
720,1,10
731,2,11
741,2,10
751,1,10
762,2,11
774,3,12
783,2,9
793,1,10
805,3,12
815,1,10
826,2,11
836,1,10
846,1,10
859,4,13
870,2,11
880,1,10
891,2,11
901,1,10
912,2,11
923,1,11
933,1,10
946,4,13
957,1,11
967,1,10
977,1,10
988,2,11
999,2,11
1009,1,10
1019,1,10
1030,2,11
1040,1,10
1050,1,10
1061,2,11
1071,1,10
1082,2,11
1092,1,10
1102,1,10
1112,1,10
1123,2,11
1133,1,10
1143,1,10
1154,2,11
1165,1,11
1175,1,10
1186,2,11
1197,1,11
1207,1,10
1218,2,11
1229,1,11
1240,2,11
1251,2,11
1261,1,10
1271,1,10
1282,2,11
1292,1,10
1303,2,11
1316,5,13
1328,3,12
1338,2,10
1351,5,13
1372,14,21
1378,10,6
1390,3,12
1406,7,16
1415,1,9
1426,2,11
1436,1,10
1446,1,10
1457,2,11
1467,1,10
1480,4,13
1490,2,10
1500,1,10
1510,1,10
1521,2,11
1531,1,10
1541,1,10
1580,30,39
1581,20,1
1582,11,1
1620,39,38
1621,29,1
1622,20,1
1623,10,1
1660,37,37
1661,27,1
1662,18,1
1663,8,1
1700,35,37
1701,25,1
1702,16,1
1702,5,0
1741,33,39
1741,23,0
1742,13,1
1743,3,1
1752,1,9
1792,31,40
1793,22,1
1794,12,1
1832,40,38
1833,30,1
1834,21,1
1835,11,1
1872,38,37
1873,28,1
1874,19,1
1875,9,1
1912,36,37
1913,26,1
1914,17,1
1914,6,0
1952,34,38
1954,25,2
1955,16,1
1956,6,1
1964,1,8
2004,31,40
2005,21,1
2006,12,1
2044,39,38
2045,29,1
2046,20,1
2047,10,1
2084,37,37
2085,27,1
2086,17,1
2087,7,1
2124,34,37
2125,24,1
2126,15,1
2126,5,0
2164,33,38
2165,23,1
2166,14,1
2167,1,1
2177,1,10
2216,30,39
2217,21,1
2218,11,1
2256,38,38
2257,28,1
2258,19,1
2259,9,1
2296,36,37
2297,26,1
2298,17,1
2298,6,0
2336,34,38
2337,24,1
2338,15,1
2339,5,1
2376,32,37
2377,22,1
2378,13,1
2379,2,1
2390,1,11
2428,29,38
2429,20,1
2430,10,1
2468,38,38
2469,29,1
2470,20,1
2471,10,1
2508,37,37
2509,27,1
2510,18,1
2510,7,0
2548,35,38
2549,26,1
2550,17,1
2550,7,0
2588,35,38
2589,26,1
2590,17,1
2590,7,0
2628,35,38
2629,26,1
2630,17,1
2630,6,0
2668,34,38
2669,24,1
2670,15,1
2671,5,1
2708,32,37
2709,22,1
2710,13,1
2711,3,1
2720,2,9
2760,30,40
2761,21,1
2762,11,1
2800,39,38
2801,29,1
2802,20,1
2803,10,1
2840,36,37
2841,27,1
2842,17,1
2843,8,1
2880,34,37
2881,25,1
2882,15,1
2883,6,1
2920,32,37
2921,23,1
2922,13,1
2923,3,1
2932,2,9
2972,30,40
2973,21,1
2974,11,1
3012,39,38
3013,29,1
3014,20,1
3015,10,1
3052,36,37
3053,27,1
3054,17,1
3055,8,1
3092,34,37
3093,25,1
3094,15,1
3094,5,0
3132,33,38
3133,24,1
3134,14,1
3134,4,0
3172,31,38
3173,22,1
3174,12,1
3175,3,1
3185,2,10
3231,37,46
3232,27,1
3233,18,1
3264,38,31
3265,29,1
3266,20,1
3266,9,0
3304,36,38
3305,27,1
3306,17,1
3306,7,0
3344,34,38
3345,25,1
3346,15,1
3347,6,1
3384,33,37
3386,25,2
3387,15,1
3388,6,1
3424,31,36
3428,25,4
3429,15,1
3430,6,1
3436,1,6
3476,31,40
3477,21,1
3478,12,1
3516,39,38
3517,29,1
3518,20,1
3518,9,0
3556,37,38
3557,27,1
3558,18,1
3559,8,1
3596,35,37
3597,25,1
3598,16,1
3598,5,0
3635,32,37
3636,22,1
3636,12,0
3637,3,1
3676,32,39
3677,23,1
3677,12,0
3677,2,0
3685,0,8
3723,28,38
3724,18,1
3724,8,0
3763,36,39
3764,27,1
3764,16,0
3765,7,1
3803,35,38
3804,26,1
3804,15,0
3805,6,1
3844,35,39
3844,24,0
3845,15,1
3845,5,0
3883,32,38
3884,23,1
3884,13,0
3885,4,1
3924,32,39
3925,23,1
3925,13,0
3925,2,0
3935,1,10
3971,26,36
3972,17,1
3972,7,0
4011,36,39
4012,26,1
4012,16,0
4013,6,1
4051,34,38
4052,25,1
4052,14,0
4053,5,1
4093,35,40
4096,28,3
4098,20,2
4099,4,1
4108,1,9
4148,30,40
4149,20,1
4151,12,2
4188,37,37
4196,33,8
4198,7,2
4202,1,4
4240,29,38
4241,19,1
4242,10,1
4280,38,38
4281,29,1
4282,19,1
4283,10,1
4320,36,37
4321,27,1
4321,17,0
4322,7,1
4360,35,38
4361,25,1
4362,16,1
4362,6,0
4400,34,38
4401,25,1
4401,15,0
4402,6,1
4440,34,38
4441,24,1
4442,15,1
4442,4,0
4480,32,38
4481,22,1
4482,13,1
4483,3,1
4492,1,9
4532,31,40
4533,22,1
4534,12,1
4572,40,38
4573,30,1
4574,21,1
4575,11,1
4612,38,37
4613,29,1
4614,20,1
4615,11,1
4652,38,37
4653,28,1
4653,18,0
4654,8,1
4692,36,38
4693,27,1
4694,18,1
4694,7,0
4732,35,38
4733,25,1
4734,16,1
4734,5,0
4772,33,38
4773,24,1
4774,14,1
4775,5,1
4783,1,8
4824,32,41
4825,22,1
4826,13,1
4864,40,38
4865,31,1
4866,21,1
4867,12,1
4904,39,37
4905,29,1
4906,20,1
4906,9,0
4944,37,38
4945,27,1
4946,18,1
4946,7,0
4984,35,38
4985,25,1
4986,14,1
4986,4,0
5024,31,38
5025,22,1
5026,13,1
5027,3,1
5035,1,8
5072,28,37
5073,19,1
5074,10,1
5112,38,38
5113,29,1
5114,19,1
5114,9,0
5152,36,38
5153,27,1
5153,16,0
5154,7,1
5192,34,38
5195,27,3
5196,18,1
5196,7,0
5232,33,36
5233,23,1
5234,14,1
5235,3,1
5244,2,9
5284,30,40
5285,21,1
5286,11,1
5324,38,38
5325,29,1
5326,19,1
5326,9,0
5364,36,38
5365,27,1
5366,17,1
5366,7,0
5404,35,38
5405,25,1
5405,15,0
5406,5,1
5444,33,38
5445,23,1
5446,14,1
5447,5,1
5484,32,37
5489,27,5
5490,18,1
5492,9,2
5495,1,3
5536,30,41
5537,21,1
5538,11,1
5584,47,46
5585,38,1
5591,33,6
5592,24,1
5616,33,24
5618,25,2
5618,14,0
5619,4,1
5626,1,7
5664,29,38
5665,19,1
5666,10,1
5704,37,38
5705,28,1
5706,19,1
5707,10,1
5744,37,37
5745,28,1
5746,18,1
5747,9,1
5784,35,37
5785,26,1
5786,16,1
5787,7,1
5824,29,37
5825,20,1
5826,10,1
5827,1,1
5837,1,10
5876,30,39
5877,20,1
5878,11,1
5916,38,38
5917,29,1
5918,20,1
5919,11,1
5956,37,37
5957,28,1
5958,18,1
5959,9,1
5996,35,37
5997,26,1
5998,16,1
5999,7,1
6036,33,37
6037,24,1
6038,15,1
6039,6,1
6079,35,40
6082,28,3
6083,19,1
6084,10,1
6090,1,6
6128,28,38
6129,18,1
6131,10,2
6168,36,37
6169,27,1
6170,17,1
6172,8,2
6208,34,36
6209,25,1
6211,16,2
6212,7,1
6249,33,37
6250,24,1
6251,14,1
6251,3,0
6260,1,9
6300,31,40
6301,22,1
6302,12,1
6340,39,38
6341,30,1
6342,20,1
6343,11,1
6381,38,38
6382,29,1
6383,19,1
6385,11,2
6420,35,35
6421,26,1
6422,16,1
6424,8,2
6461,34,37
6462,24,1
6462,14,0
6463,3,1
6472,1,9
6512,31,40
6514,22,2
6515,13,1
6552,39,37
6553,29,1
6554,20,1
6555,10,1
6592,37,37
6593,27,1
6594,17,1
6595,8,1
6632,34,37
6634,26,2
6634,15,0
6635,5,1
6672,32,37
6673,22,1
6674,13,1
6675,3,1
6684,2,9
6724,30,40
6725,21,1
6726,11,1
6764,39,38
6765,29,1
6766,20,1
6766,9,0
6804,37,38
6805,27,1
6806,18,1
6807,8,1
6844,35,37
6845,25,1
6846,15,1
6847,5,1
6884,32,37
6886,23,2
6887,13,1
6889,4,2
6896,1,7
6936,31,40
6937,22,1
6938,13,1
6976,40,38
6977,31,1
6978,21,1
6979,12,1
7016,38,37
7017,29,1
7018,19,1
7018,9,0
7056,36,38
7057,27,1
7058,17,1
7058,7,0
7096,34,38
7097,25,1
7097,14,0
7098,5,1
7136,32,38
7137,23,1
7138,13,1
7139,3,1
7148,2,9
7188,30,40
7189,21,1
7190,11,1
7228,39,38
7229,29,1
7230,20,1
7230,9,0
7268,37,38
7269,27,1
7270,18,1
7270,7,0
7308,35,38
7309,25,1
7309,15,0
7310,5,1
7348,33,38
7349,23,1
7350,14,1
7351,3,1
7359,1,8
7396,28,37
7397,18,1
7398,9,1
7436,36,38
7437,27,1
7438,18,1
7438,8,0
7476,36,38
7477,27,1
7478,18,1
7478,8,0
7516,35,38
7517,26,1
7517,15,0
7518,6,1
7556,33,38
7557,24,1
7558,14,1
7559,5,1
7569,1,10
7608,30,39
7609,20,1
7610,11,1
7648,38,38
7649,29,1
7649,19,0
7650,9,1
7688,36,38
7689,27,1
7690,17,1
7690,7,0
7728,34,38
7729,25,1
7730,15,1
7730,5,0
7768,33,38
7769,24,1
7769,14,0
7770,5,1
7808,33,38
7809,24,1
7810,14,1
7811,5,1
7821,1,10
7860,30,39
7861,21,1
7861,11,0
7900,38,39
7901,29,1
7902,19,1
7902,9,0
7940,36,38
7941,27,1
7942,17,1
7942,7,0
7980,34,38
7981,25,1
7982,15,1
7983,6,1
8020,32,37
8021,23,1
8021,12,0
8023,1,2
8033,1,10
8072,30,39
8073,20,1
8074,10,1
8112,38,38
8113,28,1
8114,19,1
8114,8,0
8152,36,38
8153,26,1
8154,17,1
8154,6,0
8192,34,38
8193,24,1
8194,15,1
8194,4,0
8250,50,56
8250,39,0
8251,30,1
8252,17,1
8253,8,1
8284,28,31
8285,19,1
8285,8,0
8324,37,39
8325,27,1
8325,17,0
8326,7,1
8364,35,38
8364,24,0
8365,15,1
8366,6,1
8404,34,38
8404,24,0
8405,15,1
8406,5,1
8444,33,38
8445,23,1
8445,13,0
8446,4,1
8484,31,38
8485,22,1
8486,12,1
8487,3,1
8496,1,9
8536,31,40
8537,21,1
8538,12,1
8576,39,38
8577,30,1
8578,20,1
8578,10,0
8616,37,38
8617,27,1
8618,18,1
8618,7,0
8656,35,38
8657,25,1
8658,16,1
8659,6,1
8696,33,37
8697,24,1
8698,15,1
8698,5,0
8736,33,38
8737,24,1
8738,15,1
8738,5,0
8776,33,38
8777,24,1
8778,15,1
8778,5,0
8816,33,38
8817,24,1
8817,14,0
8818,4,1
8856,32,38
8857,23,1
8858,14,1
8858,4,0
8896,32,38
8897,22,1
8898,13,1
8899,3,1
8908,2,9
8948,30,40
8949,21,1
8950,11,1
8988,39,38
8989,29,1
8990,20,1
8991,10,1
9028,37,37
9029,27,1
9030,18,1
9031,8,1
9068,35,37
9069,25,1
9070,16,1
9070,5,0
9108,33,38
9109,23,1
9110,14,1
9111,3,1
9121,3,10
9160,30,39
9162,22,2
9164,13,2
9201,38,37
9202,28,1
9204,20,2
9205,10,1
9241,36,36
9242,26,1
9243,17,1
9244,8,1
9280,33,36
9281,24,1
9282,14,1
9284,6,2
9294,1,10
9333,30,39
9334,20,1
9336,12,2
9373,36,37
9374,27,1
9375,18,1
9377,9,2
9413,35,36
9414,26,1
9416,17,2
9418,8,2
9428,1,10
9468,31,40
9469,22,1
9470,13,1
9508,37,38
9509,28,1
9510,19,1
9511,10,1
9548,37,37
9549,27,1
9550,18,1
9551,8,1
9588,35,37
9589,25,1
9590,15,1
9591,6,1
9628,33,37
9629,24,1
9630,14,1
9632,1,2
9643,2,11
9680,28,37
9681,19,1
9682,9,1
9721,38,39
9722,28,1
9724,20,2
9725,10,1
9760,34,35
9762,26,2
9762,15,0
9763,5,1
9800,32,37
9801,23,1
9801,13,0
9802,4,1
9840,32,38
9841,23,1
9842,14,1
9843,2,1
9854,1,11
9892,29,38
9893,20,1
9894,11,1
9932,39,38
9933,28,1
9934,19,1
9934,8,0
9972,36,38
9973,26,1
9974,17,1
9975,7,1
10012,34,37
10013,24,1
10013,14,0
10014,4,1
10052,32,38
10053,22,1
10054,13,1
10055,1,1
10065,1,10
10104,29,39
10105,20,1
10105,9,0
10144,38,39
10145,28,1
10146,18,1
10146,8,0
10184,36,38
10186,28,2
10187,19,1
10188,9,1
10224,35,36
10226,26,2
10227,16,1
10228,7,1
10264,33,36
10265,24,1
10267,15,2
10269,7,2
10279,1,10
10316,28,37
10317,18,1
10319,9,2
10356,36,37
10358,28,2
10359,19,1
10360,9,1
10396,35,36
10397,25,1
10397,15,0
10398,5,1
10436,33,38
10437,23,1
10437,13,0
10439,2,2
10450,1,11
10488,29,38
10489,19,1
10490,9,1
10528,37,38
10529,27,1
10530,18,1
10530,7,0
10568,35,38
10569,25,1
10570,16,1
10570,5,0
10608,33,38
10609,23,1
10610,14,1
10611,5,1
10621,1,10
10660,30,39
10661,20,1
10662,11,1
10700,38,38
10701,29,1
10702,20,1
10703,10,1
10740,37,37
10741,27,1
10741,17,0
10742,7,1
10780,35,38
10781,25,1
10781,15,0
10782,6,1
10820,34,38
10821,25,1
10821,15,0
10822,5,1
10860,33,38
10861,23,1
10861,13,0
10862,4,1
10900,32,38
10901,22,1
10902,13,1
10903,3,1
10911,1,8
10948,28,37
10949,19,1
10949,8,0
10988,37,39
10989,27,1
10990,18,1
10990,7,0
11028,35,38
11029,25,1
11029,15,0
11030,5,1
11068,33,38
11069,23,1
11070,14,1
11072,5,2
11080,1,8
11120,31,40
11121,22,1
11122,13,1
11160,40,38
11161,31,1
11163,22,2
11164,13,1
11200,38,36
11201,28,1
11202,19,1
11203,10,1
11240,37,37
11241,27,1
11242,18,1
11243,8,1
11280,35,37
11281,25,1
11282,16,1
11283,6,1
11321,34,38
11322,24,1
11323,15,1
11324,4,1
11331,1,7
11368,28,37
11370,19,2
11371,10,1
11408,36,37
11409,27,1
11410,17,1
11411,7,1
11448,34,37
11449,24,1
11450,15,1
11451,5,1
11489,33,38
11491,24,2
11492,15,1
11493,5,1
11500,1,7
11540,31,40
11542,22,2
11542,12,0
11580,39,38
11581,29,1
11582,20,1
11584,12,2
11620,37,36
11626,32,6
11627,23,1
11628,13,1
11660,35,32
11661,25,1
11662,16,1
11663,7,1
11700,34,37
11701,25,1
11702,16,1
11703,6,1
11742,35,39
11743,25,1
11744,15,1
11745,5,1
11753,1,8
11792,30,39
11794,21,2
11795,12,1
11832,39,37
11833,29,1
11834,20,1
11835,11,1
11872,38,37
11873,28,1
11874,19,1
11875,9,1
11912,36,37
11913,26,1
11914,17,1
11915,8,1
11952,35,37
11953,26,1
11954,17,1
11955,8,1
11992,35,37
11993,26,1
11994,17,1
11995,8,1
12032,35,37
12033,25,1
12034,16,1
12035,6,1
12073,34,38
12074,24,1
12075,15,1
12076,4,1
12083,1,7
12120,28,37
12121,19,1
12122,9,1
