time (ms),latency (ms),consume (ms)
0,21,0
0,11,0
41,46,41
41,40,0
41,34,0
42,30,1
42,24,0
42,18,0
43,13,1
47,12,4
47,3,0
51,2,4
97,43,46
98,38,1
99,32,1
99,26,0
99,18,0
100,13,1
137,37,37
141,35,4
141,30,0
142,25,1
142,19,0
143,15,1
176,36,33
177,29,1
177,24,0
177,18,0
177,11,0
177,5,0
180,2,3
188,4,8
236,45,48
236,38,0
237,33,1
237,27,0
237,22,0
237,16,0
238,11,1
238,6,0
276,38,38
276,32,0
276,26,0
277,21,1
277,15,0
277,9,0
320,47,43
321,37,1
321,31,0
321,24,0
321,18,0
321,13,0
322,8,1
360,38,38
360,32,0
360,27,0
361,22,1
361,16,0
361,11,0
361,5,0
400,38,39
400,33,0
401,28,1
401,23,0
401,16,0
401,10,0
401,4,0
442,40,41
442,35,0
442,29,0
442,24,0
443,19,1
443,12,0
443,7,0
480,37,37
480,31,0
481,26,1
481,21,0
482,17,1
484,14,2
484,8,0
521,38,37
521,32,0
522,27,1
538,38,16
538,32,0
538,26,0
564,47,26
564,36,0
564,30,0
564,12,0
565,8,1
604,39,39
604,34,0
605,29,1
605,23,0
605,18,0
605,12,0
605,7,0
644,39,39
644,33,0
644,27,0
645,23,1
645,17,0
645,11,0
645,6,0
684,39,39
684,33,0
684,27,0
685,23,1
685,18,0
685,13,0
685,7,0
724,39,39
724,33,0
724,27,0
725,22,1
725,17,0
725,11,0
725,5,0
789,64,64
789,58,0
792,55,3
792,50,0
792,45,0
792,38,0
803,41,11
804,37,1
804,30,0
804,24,0
804,15,0
846,47,42
846,34,0
846,29,0
846,23,0
847,18,1
847,13,0
847,7,0
884,37,37
884,32,0
885,28,1
885,22,0
885,16,0
885,11,0
886,7,1
924,38,38
924,33,0
925,28,1
925,22,0
925,17,0
925,12,0
925,7,0
964,39,39
964,33,0
964,28,0
965,24,1
965,18,0
965,13,0
965,8,0
1004,39,39
1005,34,1
1005,28,0
1005,23,0
1005,14,0
1006,9,1
1048,42,42
1049,38,1
1049,32,0
1049,26,0
1049,21,0
1050,17,1
1050,12,0
1050,6,0
1088,38,38
1089,33,1
1090,28,1
1090,23,0
1090,18,0
1090,13,0
1091,8,1
1132,41,41
1132,36,0
1133,31,1
1133,25,0
1133,20,0
1133,15,0
1133,10,0
1134,5,1
1172,37,38
1172,30,0
1172,24,0
1172,18,0
1172,13,0
1173,9,1
1217,48,44
1217,38,0
1217,33,0
1217,27,0
1218,22,1
1218,17,0
1218,12,0
1218,7,0
1256,37,38
1256,32,0
1257,28,1
1257,23,0
1257,17,0
1257,11,0
1257,6,0
1300,42,43
1301,38,1
1301,33,0
1301,28,0
1301,23,0
1301,17,0
1302,12,1
1302,7,0
1340,38,38
1340,33,0
1340,28,0
1341,23,1
1341,17,0
1341,12,0
1341,6,0
1384,43,43
1386,39,2
1398,45,12
1398,40,0
1398,34,0
1398,28,0
1398,23,0
1399,18,1
1424,30,25
1424,25,0
1424,20,0
1424,15,0
1425,10,1
1425,5,0
1468,43,43
1468,37,0
1469,32,1
1469,27,0
1469,22,0
1469,17,0
1469,11,0
1470,6,1
1508,38,38
1508,33,0
1508,27,0
1508,22,0
1509,18,1
1509,12,0
1509,7,0
1552,43,43
1552,38,0
1553,34,1
1553,28,0
1553,22,0
1553,17,0
1554,12,1
1554,6,0
1592,38,38
1592,32,0
1592,27,0
1592,21,0
1593,16,1
1593,11,0
1593,5,0
1636,42,43
1636,37,0
1637,32,1
1637,26,0
1637,21,0
1637,16,0
1637,10,0
1638,6,1
1676,38,38
1676,32,0
1676,27,0
1676,21,0
1677,16,1
1677,11,0
1677,5,0
1720,43,43
1720,37,0
1720,32,0
1721,28,1
1721,23,0
1721,17,0
1721,11,0
1721,6,0
1760,38,39
1760,33,0
1760,27,0
1760,21,0
1761,17,1
1761,11,0
1761,5,0
1804,43,43
1804,37,0
1804,31,0
1805,27,1
1805,21,0
