time (ms),latency (ms),consume (ms)
0,11,0
0,3,0
7,3,7
11,2,4
19,3,8
24,3,5
29,2,5
34,1,5
41,2,7
46,1,5
53,2,7
58,1,5
64,2,6
69,1,5
75,2,6
80,1,5
86,2,6
92,2,6
97,2,5
103,2,6
108,2,5
114,2,6
120,2,6
126,1,6
132,1,6
139,2,7
145,2,6
151,2,6
157,1,6
164,2,7
170,2,6
176,2,6
181,1,5
187,2,6
192,1,5
198,2,6
203,1,5
209,2,6
215,2,6
220,1,5
226,2,6
232,2,6
237,1,5
243,1,6
249,2,6
255,2,6
261,2,6
266,2,5
272,2,6
278,2,6
283,2,5
289,2,6
294,2,5
300,2,6
305,2,5
311,2,6
316,1,5
322,2,6
327,1,5
333,2,6
339,2,6
344,2,5
350,2,6
356,2,6
361,2,5
367,2,6
372,1,5
378,2,6
383,1,5
389,2,6
394,2,5
400,2,6
405,2,5
411,2,6
416,1,5
422,2,6
427,2,5
433,2,6
438,2,5
444,2,6
449,2,5
455,2,6
461,2,6
466,2,5
472,2,6
477,2,5
482,1,5
488,2,6
493,1,5
499,2,6
504,1,5
510,2,6
515,1,5
521,2,6
528,3,7
533,2,5
538,2,5
543,1,5
549,2,6
554,1,5
560,2,6
565,1,5
571,2,6
576,1,5
582,2,6
587,1,5
592,1,5
598,2,6
604,2,6
609,2,5
614,1,5
620,2,6
625,1,5
631,2,6
636,1,5
642,1,6
648,2,6
653,2,5
659,2,6
664,2,5
669,1,5
675,2,6
680,1,5
686,1,6
692,2,6
697,1,5
703,2,6
708,1,5
714,2,6
719,1,5
725,2,6
730,1,5
735,1,5
741,1,6
746,1,5
752,2,6
757,1,5
763,2,6
769,2,6
774,2,5
779,1,5
785,2,6
790,1,5
796,2,6
801,1,5
807,2,6
812,2,5
817,1,5
824,3,7
828,1,4
834,2,6
842,4,8
845,2,3
850,1,5
857,3,7
861,2,4
866,1,5
872,2,6
877,1,5
883,2,6
888,1,5
894,2,6
899,2,5
904,1,5
910,2,6
915,1,5
921,2,6
926,1,5
931,1,5
937,1,6
942,1,5
948,2,6
953,1,5
959,2,6
964,1,5
970,2,6
975,1,5
981,2,6
986,1,5
992,2,6
997,1,5
1003,2,6
1008,1,5
1014,2,6
1019,1,5
1025,2,6
1030,1,5
1036,2,6
1041,1,5
1047,2,6
1052,1,5
1058,2,6
1064,2,6
1069,1,5
1074,1,5
1080,1,6
1085,1,5
1091,2,6
1096,1,5
1102,2,6
1107,1,5
1112,1,5
1118,1,6
1123,1,5
1129,2,6
1134,1,5
1140,2,6
1145,1,5
1151,2,6
1156,1,5
1161,1,5
1167,2,6
1172,1,5
1178,2,6
1183,1,5
1189,2,6
1194,1,5
1212,14,18
1212,9,0
1212,3,0
1216,1,4
1221,1,5
1227,2,6
1233,2,6
1238,1,5
1244,1,6
1249,1,5
1256,2,7
1262,1,6
1268,1,6
1275,2,7
1281,1,6
1287,1,6
1293,2,6
1298,1,5
1304,2,6
1309,2,5
1314,1,5
1320,2,6
1325,1,5
1331,2,6
1336,1,5
1341,1,5
1347,1,6
1352,1,5
1358,2,6
1363,1,5
1369,2,6
1374,1,5
1380,2,6
1385,1,5
1391,2,6
1396,1,5
1402,2,6
1412,6,10
1416,2,4
1422,2,6
