time (ms),latency (ms),consume (ms)
0,1,0
8,1,8
15,1,7
21,0,6
27,0,6
33,0,6
40,0,7
46,1,6
52,0,6
58,0,6
63,0,5
69,0,6
75,0,6
82,0,7
88,1,6
94,0,6
101,0,7
107,1,6
113,0,6
120,0,7
126,1,6
132,0,6
138,0,6
143,0,5
150,0,7
156,1,6
162,0,6
168,0,6
174,1,6
180,0,6
186,0,6
191,0,5
198,0,7
204,1,6
210,0,6
216,0,6
222,1,6
228,0,6
234,0,6
240,1,6
246,0,6
253,0,7
259,0,6
264,0,5
271,0,7
277,0,6
283,0,6
290,0,7
296,0,6
301,0,5
308,0,7
314,1,6
320,0,6
326,0,6
331,0,5
338,0,7
344,0,6
350,1,6
356,0,6
363,0,7
369,1,6
375,0,6
382,0,7
388,1,6
394,0,6
402,1,8
408,0,6
414,0,6
420,0,6
427,0,7
433,1,6
439,0,6
445,0,6
451,1,6
457,0,6
464,0,7
470,0,6
476,0,6
483,0,7
489,1,6
495,0,6
502,0,7
508,1,6
514,0,6
520,0,6
525,0,5
532,0,7
539,0,7
545,1,6
551,0,6
557,0,6
562,0,5
568,0,6
573,0,5
580,0,7
586,1,6
592,0,6
598,0,6
604,0,6
609,0,5
616,0,7
622,1,6
628,0,6
634,0,6
640,0,6
647,0,7
653,1,6
659,0,6
666,0,7
672,1,6
678,0,6
685,0,7
691,1,6
697,0,6
704,0,7
710,1,6
716,0,6
723,0,7
729,1,6
735,0,6
741,0,6
747,1,6
753,0,6
759,0,6
764,0,5
771,0,7
777,0,6
783,1,6
789,0,6
796,0,7
805,0,9
822,1,17
831,0,9
837,0,6
843,1,6
849,0,6
855,0,6
861,1,6
867,0,6
873,0,6
880,0,7
887,0,7
893,1,6
899,0,6
906,0,7
913,0,7
919,0,6
925,1,6
931,0,6
938,0,7
947,0,9
957,0,10
966,0,9
972,0,6
978,1,6
984,0,6
991,0,7
997,1,6
1003,0,6
1010,0,7
1016,1,6
1022,0,6
1029,0,7
1035,1,6
1041,0,6
1049,0,8
1055,0,6
1061,0,6
1068,0,7
1074,0,6
1081,1,7
1087,0,6
1094,0,7
1100,0,6
1106,1,6
1113,1,7
1119,0,6
1126,0,7
1132,0,6
1138,1,6
1144,0,6
1150,0,6
1156,1,6
1162,0,6
1169,0,7
1175,0,6
1182,1,7
1188,0,6
1195,0,7
1201,0,6
1207,0,6
1212,0,5
1219,0,7
1225,0,6
1232,1,7
1241,1,9
1250,3,9
1259,1,9
1266,1,7
1272,0,6
1278,0,6
1284,1,6
1290,0,6
1297,0,7
1304,0,7
1310,0,6
1317,1,7
1323,0,6
1330,0,7
1337,0,7
1343,1,6
1349,0,6
1356,0,7
1362,1,6
1369,1,7
1375,0,6
1382,0,7
1388,1,6
1394,0,6
1401,0,7
1407,0,6
1412,0,5
1419,0,7
1425,1,6
1431,0,6
1438,0,7
1444,1,6
1450,0,6
1456,0,6
1462,0,6
1468,0,6
1473,0,5
1480,0,7
1486,1,6
1492,0,6
1498,1,6
1504,0,6
1510,0,6
1515,0,5
1522,0,7
1527,0,5
1534,0,7
1539,0,5
1546,0,7
1552,1,6
1558,0,6
1564,0,6
1569,0,5
1576,0,7
1582,1,6
1588,0,6
1595,0,7
1601,1,6
1607,0,6
1613,0,6
1619,1,6
1625,0,6
1631,0,6
1636,0,5
1643,0,7
1649,0,6
1656,0,7
1663,0,7
1670,0,7
1677,0,7
1684,0,7
1690,0,6
1696,1,6
1702,0,6
1708,0,6
1713,0,5
1720,0,7
1726,0,6
1732,0,6
1739,1,7
1745,0,6
1752,0,7
1758,0,6
1764,1,6
1771,1,7
1777,0,6
1784,0,7
1790,0,6
1796,1,6
1802,0,6
1809,0,7
1815,1,6
1822,1,7
1828,0,6
1835,0,7
1841,0,6
1847,1,6
1853,0,6
1860,0,7
1867,0,7
1874,0,7
1880,0,6
1886,1,6
1893,1,7
1899,0,6
1905,0,6
1911,1,6
1917,0,6
1924,0,7
1930,0,6
1936,0,6
1942,1,6
1948,0,6
1954,0,6
1960,1,6
1966,0,6
1972,0,6
1978,1,6
1985,1,7
1991,0,6
1998,0,7
2004,1,6
2010,0,6
2016,0,6
2022,1,6
2028,0,6
2035,0,7
2041,1,6
2047,0,6
2054,0,7
2060,1,6
2067,1,7
2073,0,6
2080,0,7
2086,0,6
2092,1,6
2099,1,7
2105,0,6
2112,0,7
2118,1,6
2124,0,6
2131,0,7
2137,1,6
2143,0,6
2150,0,7
2156,1,6
2162,0,6
2169,0,7
2175,1,6
2182,1,7
2188,0,6
2195,0,7
