time (ms),latency (ms),consume (ms)
0,17,0
18,29,18
29,36,11
39,19,10
52,21,13
63,22,11
72,20,9
77,13,5
83,9,6
89,10,6
95,11,6
101,10,6
106,9,5
112,10,6
117,9,5
153,40,36
159,38,6
163,36,4
165,35,2
168,26,3
173,24,5
174,20,1
183,18,9
190,18,7
194,15,4
198,14,4
200,11,2
208,15,8
210,11,2
215,11,5
220,11,5
224,10,4
229,10,5
234,9,5
240,10,6
245,10,5
249,9,4
260,15,11
262,12,2
298,43,36
300,40,2
302,34,2
304,31,2
308,31,4
318,37,10
324,37,6
329,8,5
336,11,7
344,13,8
351,14,7
352,11,1
359,13,7
359,9,0
368,14,9
373,13,5
377,13,4
382,14,5
389,17,7
390,12,1
391,9,1
415,29,24
423,32,8
431,35,8
469,66,38
473,65,4
482,68,9
486,68,4
490,67,4
496,69,6
500,68,4
501,63,1
505,63,4
509,63,4
513,63,4
514,59,1
519,59,5
523,59,4
525,56,2
528,54,3
532,55,4
534,52,2
543,57,9
544,53,1
557,62,13
564,64,7
566,62,2
573,64,7
574,59,1
601,83,27
601,77,0
601,72,0
613,80,12
617,79,4
617,75,0
622,75,5
623,71,1
623,64,0
628,63,5
628,61,0
628,56,0
632,52,4
633,51,1
634,47,1
634,46,0
635,46,1
637,44,2
638,44,1
639,43,1
639,41,0
642,42,3
642,41,0
645,41,3
646,40,1
649,42,3
661,52,12
662,47,1
663,44,1
663,43,0
666,42,3
668,42,2
669,40,1
669,38,0
671,38,2
678,42,7
684,46,6
686,45,2
690,47,4
697,53,7
700,53,3
702,52,2
703,46,1
709,49,6
718,52,9
719,51,1
719,48,0
723,51,4
723,49,0
728,52,5
755,75,27
755,73,0
757,73,2
757,71,0
757,69,0
759,69,2
759,66,0
759,64,0
761,65,2
761,63,0
761,61,0
763,60,2
763,58,0
764,58,1
764,56,0
765,54,1
770,57,5
774,60,4
781,65,7
781,63,0
787,66,6
787,65,0
790,65,3
794,68,4
797,69,3
817,87,20
817,84,0
818,84,1
821,85,3
824,86,3
825,85,1
826,84,1
827,83,1
827,81,0
829,80,2
833,82,4
834,80,1
836,69,2
837,69,1
837,67,0
837,64,0
841,64,4
844,66,3
845,64,1
845,62,0
845,60,0
848,60,3
851,62,3
851,59,0
856,63,5
864,69,8
865,68,1
866,67,1
866,65,0
872,69,6
872,67,0
876,69,4
877,68,1
877,67,0
877,64,0
878,63,1
879,63,1
879,60,0
885,65,6
885,63,0
886,62,1
887,61,1
887,58,0
893,62,6
893,61,0
893,59,0
896,60,3
897,58,1
903,63,6
903,61,0
904,60,1
921,75,17
922,74,1
922,72,0
927,75,5
932,78,5
932,59,0
936,60,4
937,60,1
937,58,0
941,57,4
944,59,3
944,57,0
948,57,4
953,61,5
953,60,0
953,57,0
958,61,5
958,57,0
959,57,1
962,59,3
966,61,4
966,59,0
967,59,1
974,62,7
989,76,15
992,77,3
993,76,1
993,75,0
993,72,0
998,76,5
998,73,0
999,71,1
999,69,0
1003,72,4
1004,72,1
1004,70,0
1005,69,1
1008,71,3
1011,71,3
1012,69,1
1012,67,0
1012,66,0
1015,66,3
1017,67,2
1017,66,0
1017,62,0
1022,66,5
1027,67,5
1028,67,1
1046,60,18
1047,59,1
1049,59,2
1053,61,4
1059,65,6
1059,63,0
1064,66,5
1064,64,0
1067,65,3
1069,66,2
1069,63,0
1071,64,2
1073,64,2
1073,62,0
1076,62,3
1076,61,0
1076,58,0
1077,57,1
1077,55,0
1079,56,2
1080,55,1
1080,53,0
1081,51,1
1081,50,0
1083,50,2
1085,48,2
1106,68,21
1110,70,4
1110,69,0
1111,68,1
1114,69,3
1116,69,2
1119,71,3
1121,71,2
1122,70,1
1130,73,8
1134,76,4
1135,75,1
1137,75,2
1139,74,2
1139,73,0
1142,73,3
1144,73,2
1146,73,2
1148,60,2
1149,59,1
1150,58,1
1152,58,2
1154,58,2
1155,57,1
1155,55,0
1174,73,19
1176,72,2
1176,70,0
1176,68,0
1178,69,2
1178,66,0
1178,64,0
1180,65,2
1180,63,0
1180,61,0
1181,60,1
1182,59,1
1182,57,0
1183,55,1
1184,53,1
1184,51,0
1191,56,7
1192,55,1
1193,54,1
1193,52,0
1196,53,3
1198,54,2
1199,53,1
1199,51,0
1199,49,0
1219,67,20
1225,71,6
1227,70,2
1228,70,1
1229,69,1
1229,67,0
1231,67,2
1235,69,4
1235,68,0
1235,66,0
1239,67,4
1239,66,0
1239,53,0
1243,55,4
1245,54,2
1245,51,0
1246,50,1
1246,48,0
1251,51,5
1253,51,2
1254,50,1
1255,50,1
1257,49,2
1260,51,3
1260,49,0
1277,64,17
1277,62,0
1279,62,2
1279,60,0
1279,58,0
1281,58,2
1281,56,0
1281,55,0
1282,54,1
1283,52,1
1283,51,0
1283,49,0
1284,47,1
1285,45,1
1285,44,0
1289,46,4
1291,46,2
1291,44,0
1291,42,0
1295,44,4
1295,42,0
1297,42,2
1300,43,3
1302,43,2
1303,40,1
1303,38,0
1325,58,22
1326,57,1
1326,56,0
1333,58,7
1335,49,2
1340,52,5
1342,52,2
1343,50,1
1346,52,3
1347,50,1
1349,51,2
1349,49,0
1350,48,1
1350,46,0
1353,47,3
1356,49,3
1359,50,3
1361,50,2
1362,48,1
1362,47,0
1362,45,0
1367,48,5
1369,48,2
1370,47,1
1371,46,1
1382,55,11
1382,53,0
1383,52,1
1383,50,0
1384,49,1
1384,46,0
1386,46,2
1388,45,2
1388,44,0
1389,43,1
1397,49,8
1397,46,0
1400,47,3
1400,46,0
1401,45,1
1404,45,3
1408,47,4
1408,45,0
1410,45,2
1414,47,4
1415,47,1
1415,45,0
1415,42,0
1419,36,4
1419,34,0
1448,61,29
1450,60,2
1450,58,0
1455,61,5
1456,59,1
1457,58,1
1457,55,0
1458,54,1
1461,55,3
1463,55,2
1465,55,2
1467,55,2
1468,54,1
1470,54,2
1471,53,1
1471,50,0
1473,51,2
1476,52,3
1477,51,1
1478,50,1
1479,50,1
1479,47,0
1480,46,1
1488,53,8
1488,51,0
1502,63,14
1503,62,1
1503,60,0
1507,62,4
1508,61,1
1508,59,0
1511,60,3
1511,58,0
1511,57,0
1515,59,4
1516,57,1
1516,56,0
1516,54,0
1516,52,0
1517,51,1
1517,49,0
1520,50,3
1532,60,12
1535,52,3
1538,48,3
1540,48,2
1544,51,4
1546,49,2
1548,50,2
1549,50,1
1573,72,24
1574,72,1
1582,79,8
1582,75,0
1583,75,1
1584,74,1
1584,73,0
1586,71,2
1586,69,0
1587,67,1
1587,64,0
1587,62,0
1588,62,1
1591,64,3
1592,64,1
1592,63,0
1593,63,1
1598,66,5
1600,67,2
1602,67,2
1603,67,1
1606,69,3
1608,68,2
1609,67,1
1613,70,4
1614,67,1
1632,82,18
1633,81,1
1634,81,1
1634,78,0
1639,79,5
1644,79,5
1646,79,2
1646,78,0
1648,79,2
1649,79,1
1652,80,3
1653,64,1
1654,63,1
1655,61,1
1655,60,0
1660,63,5
1661,62,1
1663,62,2
1664,61,1
1664,59,0
1666,59,2
1669,61,3
1690,80,21
1691,79,1
1691,77,0
1700,84,9
1701,83,1
1701,81,0
1703,82,2
1704,81,1
1705,80,1
1705,78,0
1708,79,3
1710,79,2
1711,78,1
1715,80,4
1715,78,0
1715,76,0
1720,78,5
1724,80,4
1724,78,0
1726,78,2
1728,78,2
1729,77,1
1729,75,0
1730,74,1
1734,76,4
1735,76,1
1735,74,0
1735,72,0
1761,95,26
1761,94,0
1762,93,1
1766,78,4
1770,80,4
1770,66,0
1771,64,1
1771,63,0
1773,63,2
1775,63,2
1775,61,0
1779,61,4
1780,60,1
1782,60,2
1783,59,1
1783,57,0
1785,57,2
1791,60,6
1792,60,1
1792,58,0
1793,57,1
1796,58,3
1796,56,0
1796,54,0
1797,53,1
1817,72,20
1822,75,5
1823,74,1
1823,72,0
1823,70,0
1827,72,4
1827,71,0
1827,69,0
1832,72,5
1834,71,2
1835,71,1
1835,69,0
1835,67,0
1839,69,4
1839,67,0
1841,66,2
1844,67,3
1844,66,0
1845,65,1
1845,63,0
1849,65,4
1852,66,3
1854,67,2
1854,64,0
1861,59,7
1883,79,22
1885,79,2
1887,79,2
1888,78,1
1888,76,0
1889,75,1
1891,74,2
1891,73,0
1892,72,1
1893,71,1
1893,69,0
1894,68,1
1894,65,0
1895,65,1
1896,64,1
1896,62,0
1899,63,3
1900,62,1
1901,61,1
1901,59,0
1905,61,4
1907,61,2
1910,62,3
1911,61,1
1911,59,0
1913,59,2
1931,75,18
1934,76,3
1936,76,2
1937,74,1
1937,71,0
1944,76,7
1944,74,0
1949,77,5
1949,74,0
1950,73,1
1955,77,5
1956,76,1
1956,74,0
1957,73,1
1962,76,5
1964,76,2
1964,74,0
1966,66,2
1969,67,3
1969,65,0
1970,64,1
1970,62,0
1972,62,2
1977,65,5
1978,64,1
1991,75,13
1991,73,0
1992,72,1
1992,71,0
1995,72,3
1995,70,0
1995,68,0
1996,67,1
1996,65,0
1996,63,0
2000,65,4
2001,65,1
2008,69,7
2010,69,2
2010,66,0
2014,67,4
2015,67,1
2015,64,0
2015,61,0
2018,62,3
2019,61,1
2019,59,0
2023,61,4
2024,61,1
2025,59,1
2047,80,22
2048,79,1
2049,77,1
2049,75,0
2052,77,3
2055,78,3
2057,78,2
2058,77,1
2058,73,0
2058,72,0
2060,72,2
2064,66,4
2065,65,1
2065,63,0
2066,61,1
2067,59,1
2074,64,7
2075,63,1
2079,65,4
2086,69,7
2086,67,0
2088,67,2
2088,66,0
2093,69,5
2093,67,0
2109,81,16
2111,82,2
2113,82,2
2117,82,4
2117,80,0
2117,79,0
2119,79,2
2119,77,0
2119,76,0
2124,79,5
2125,78,1
2125,75,0
2126,74,1
2127,74,1
2127,72,0
2127,70,0
2131,72,4
2131,70,0
2131,68,0
2137,73,6
2137,70,0
2137,66,0
2143,71,6
2147,73,4
2147,70,0
2152,73,5
2192,110,40
2193,106,1
2193,105,0
2193,101,0
2197,87,4
2199,87,2
2202,89,3
2204,86,2
2205,86,1
2206,83,1
2206,82,0
